n_hands,seed,final_money,mean_tile_idle_fraction,n_days_with_crops,idle_action_fraction,productive_action_rate,movement_fraction,crop_fraction,n_farmer_actions,n_hand_actions
4,700000,39428.0,0.0732,30,0.0017,0.994,0.5708,0.4275,720,2756
4,700001,39348.0,0.074,30,0.0017,0.9937,0.5702,0.4281,720,2756
4,700002,39348.0,0.074,30,0.0017,0.9937,0.5699,0.4284,720,2756
4,700003,39348.0,0.074,30,0.0017,0.9937,0.5705,0.4278,720,2756
5,700000,38001.0,0.0648,30,0.0017,0.9928,0.6048,0.3935,720,3445
5,700001,37601.0,0.0655,30,0.0017,0.9923,0.6029,0.3954,720,3445
5,700002,37841.0,0.0648,30,0.0017,0.9928,0.6036,0.3947,720,3445
5,700003,37841.0,0.0642,30,0.0017,0.993,0.6043,0.394,720,3445
6,700000,36640.0,0.0695,30,0.008,0.986,0.6263,0.3657,720,4134
6,700001,36398.0,0.0822,30,0.0078,0.985,0.6263,0.3659,720,4134
6,700002,36398.0,0.0822,30,0.0078,0.985,0.6261,0.3661,720,4134
6,700003,36398.0,0.0822,30,0.0078,0.985,0.6263,0.3659,720,4134
7,700000,32920.0,0.0594,30,0.0141,0.9827,0.5995,0.3864,720,4823
7,700001,33080.0,0.0601,30,0.0134,0.9834,0.6011,0.3855,720,4823
7,700002,33486.0,0.0613,30,0.0152,0.9811,0.5999,0.385,720,4823
7,700003,33080.0,0.0601,30,0.015,0.9818,0.5997,0.3854,720,4823
8,700000,30666.0,0.0642,30,0.0239,0.9708,0.5982,0.3779,720,5512
8,700001,30186.0,0.0564,30,0.0225,0.9738,0.6032,0.3744,720,5512
8,700002,30266.0,0.0543,30,0.0237,0.973,0.6027,0.3736,720,5512
8,700003,30266.0,0.0543,30,0.0237,0.973,0.6029,0.3734,720,5512
9,700000,28874.0,0.065,30,0.0389,0.9554,0.6006,0.3605,720,6201
9,700001,28874.0,0.065,30,0.0314,0.9629,0.6084,0.3602,720,6201
9,700002,28314.0,0.0724,30,0.0334,0.9594,0.6025,0.3641,720,6201
9,700003,28394.0,0.0729,30,0.0334,0.9593,0.6025,0.3641,720,6201
10,700000,25725.0,0.0709,30,0.0403,0.9537,0.6074,0.3523,720,6879
10,700001,25329.0,0.0713,30,0.0399,0.9536,0.607,0.3532,720,6880
10,700002,25725.0,0.0714,30,0.0408,0.953,0.6072,0.352,720,6879
10,700003,25725.0,0.0714,30,0.0408,0.953,0.6072,0.352,720,6879
11,700000,21821.0,0.0653,30,0.0444,0.9512,0.6198,0.3358,720,7539
11,700001,22541.0,0.0614,30,0.0466,0.9496,0.6186,0.3348,720,7539
11,700002,22461.0,0.0622,30,0.0487,0.9473,0.6156,0.3358,720,7539
11,700003,22461.0,0.0614,30,0.0493,0.9468,0.6161,0.3347,720,7539
12,700000,16638.0,0.0532,30,0.0951,0.902,0.5759,0.329,720,8198
12,700001,16638.0,0.0532,30,0.0954,0.9017,0.5757,0.3289,720,8198
12,700002,16638.0,0.0532,30,0.0953,0.9018,0.5757,0.329,720,8198
12,700003,16638.0,0.0532,30,0.0954,0.9017,0.5757,0.3289,720,8198
13,700000,10264.0,0.0461,30,0.1412,0.8557,0.5449,0.3139,720,8855
13,700001,10264.0,0.0464,30,0.1423,0.8544,0.5439,0.3137,720,8855
13,700002,10102.0,0.0462,30,0.1436,0.8536,0.5427,0.3136,720,8855
13,700003,10264.0,0.0464,30,0.1423,0.8544,0.5439,0.3137,720,8855
