n_animals,seed,final_money,total_income,total_expenditure
6,700000,74722.0,70587.9999,25066.0
6,700001,73656.0,69612.9999,25157.0
6,700002,68034.0,63976.0,25142.0
6,700003,77127.0,73125.0,25198.0
7,700000,73716.0,71813.9388,26797.9388
7,700001,55822.0,53941.9517,26819.9517
7,700002,77731.0,75563.7363,26532.7363
7,700003,74967.0,72838.9689,26571.9689
8,700000,61836.0,65475.431,32839.431
8,700001,49473.0,53252.5598,32979.5598
8,700002,51471.0,54832.0693,32561.0693
8,700003,72976.0,76600.153,32824.153
9,700000,64112.0,68725.0834,33413.0834
9,700001,66443.0,71140.9048,33497.9048
9,700002,41700.0,46038.1201,33138.12
9,700003,73470.0,78164.4314,33494.4314
10,700000,55600.0,64525.2267,36225.2267
10,700001,53012.0,61875.214,36163.214
10,700002,69421.0,77963.7603,35842.7603
10,700003,73263.0,82097.7875,36134.7874
11,700000,48665.0,59285.0894,38420.0895
11,700001,67551.0,77738.9541,37987.9541
11,700002,65062.0,75786.241,38524.2411
11,700003,66225.0,76874.1286,38449.1286
12,700000,67431.0,82245.2104,42614.2106
12,700001,38511.0,53375.4292,42664.4291
12,700002,56303.0,70156.6828,41653.6826
12,700003,64964.0,79613.4612,42449.4612
13,700000,72605.0,88788.4109,44083.4108
13,700001,34623.0,51077.6876,44354.6876
13,700002,41494.0,58168.0704,44574.0706
13,700003,43740.0,60084.8399,44244.84
14,700000,54614.0,72949.3797,45735.3798
14,700001,56772.0,74967.8443,45595.8443
14,700002,55542.0,74547.6307,46405.6306
14,700003,55919.0,74413.4067,45894.4067
