n_hands,seed,final_money,mean_crop_tile_idle_fraction,mean_animal_idle_fraction,idle_action_fraction,productive_action_rate
4,700000,43528.0,0.0229,0.4298,0.0544,0.9419
4,700001,35447.0,0.0229,0.4298,0.0544,0.9419
4,700002,37845.0,0.0229,0.4298,0.0544,0.9419
4,700003,43503.0,0.0229,0.4298,0.0544,0.9419
5,700000,55354.0,0.0102,0.3856,0.086,0.91
5,700001,34397.0,0.0102,0.3856,0.086,0.91
5,700002,47131.0,0.0102,0.3856,0.086,0.91
5,700003,53243.0,0.0102,0.3856,0.086,0.91
6,700000,65191.0,0.0056,0.4113,0.1512,0.8457
6,700001,33424.0,0.0056,0.4113,0.1512,0.8457
6,700002,55407.0,0.0056,0.4113,0.1512,0.8457
6,700003,62127.0,0.0056,0.4113,0.1512,0.8457
7,700000,77225.0,0.0032,0.356,0.2076,0.79
7,700001,48647.0,0.0032,0.356,0.2076,0.79
7,700002,65918.0,0.0032,0.356,0.2076,0.79
7,700003,74662.0,0.0032,0.356,0.2076,0.79
8,700000,75137.0,0.0029,0.3646,0.23,0.7671
8,700001,40529.0,0.0029,0.3646,0.23,0.7671
8,700002,62212.0,0.0029,0.3646,0.23,0.7671
8,700003,71544.0,0.0029,0.3646,0.23,0.7671
9,700000,74214.0,0.0015,0.3651,0.2687,0.7288
9,700001,38055.0,0.0015,0.3651,0.2687,0.7288
9,700002,61241.0,0.0015,0.3651,0.2687,0.7288
9,700003,70600.0,0.0015,0.3651,0.2687,0.7288
10,700000,67431.0,0.0,0.3617,0.3258,0.6722
10,700001,38511.0,0.0,0.3617,0.3258,0.6722
10,700002,56303.0,0.0,0.3617,0.3258,0.6722
10,700003,64964.0,0.0,0.3617,0.3258,0.6722
11,700000,67148.0,0.0,0.3494,0.3611,0.6368
11,700001,37574.0,0.0,0.3494,0.3611,0.6368
11,700002,55563.0,0.0,0.3494,0.3611,0.6368
11,700003,64571.0,0.0,0.3494,0.3611,0.6368
12,700000,57157.0,0.0,0.4012,0.3753,0.6223
12,700001,27822.0,0.0,0.4012,0.3753,0.6223
12,700002,46050.0,0.0,0.4012,0.3753,0.6223
12,700003,54529.0,0.0,0.4012,0.3753,0.6223
13,700000,60755.0,0.0014,0.3433,0.3975,0.6011
13,700001,25121.0,0.0014,0.3433,0.3975,0.6011
13,700002,47317.0,0.0014,0.3433,0.3975,0.6011
13,700003,57891.0,0.0014,0.3433,0.3975,0.6011
