n_hands,seed,final_money,total_income,total_expenditure
4,700000,43528.0,49394.6976,34566.6975
4,700001,35447.0,41315.7537,34568.7536
4,700002,37845.0,43205.3053,34060.3051
4,700003,43503.0,49338.7933,34535.7933
5,700000,55354.0,64855.0824,37301.082
5,700001,34397.0,44176.041,37579.0411
5,700002,47131.0,55978.0115,36647.0115
5,700003,53243.0,62653.9255,37210.9255
6,700000,65191.0,75146.5183,38755.5183
6,700001,33424.0,43383.0017,38759.0016
6,700002,55407.0,64597.5055,37990.5056
6,700003,62127.0,72035.6809,38708.6809
7,700000,77225.0,81744.0524,33319.0524
7,700001,48647.0,53536.3443,33689.344
7,700002,65918.0,69502.0861,32384.0861
7,700003,74662.0,79017.9997,33155.9999
8,700000,75137.0,85599.2836,38862.2836
8,700001,40529.0,51132.3271,39003.3272
8,700002,62212.0,71678.9279,37866.9278
8,700003,71544.0,81815.0452,38671.0452
9,700000,74214.0,87183.9726,41269.9727
9,700001,38055.0,51391.6083,41650.6083
9,700002,61241.0,73190.0075,40249.0076
9,700003,70600.0,83372.2605,41072.2602
10,700000,67431.0,82245.2104,42614.2106
10,700001,38511.0,53375.4292,42664.4291
10,700002,56303.0,70156.6828,41653.6826
10,700003,64964.0,79613.4612,42449.4612
11,700000,67148.0,83274.1012,44326.101
11,700001,37574.0,53700.722,44326.722
11,700002,55563.0,70772.1415,43409.1414
11,700003,64571.0,80524.2614,44153.2612
12,700000,57157.0,82128.6524,53171.6523
12,700001,27822.0,52828.2396,53206.2396
12,700002,46050.0,70105.2582,52255.2582
12,700003,54529.0,79323.4054,52994.4053
13,700000,60755.0,88731.611,55676.6106
13,700001,25121.0,53245.5682,55824.568
13,700002,47317.0,74297.8913,54680.8913
13,700003,57891.0,85699.7748,55508.7748
