n_hands,seed,before_fed_frac,after_fed_frac,improvement
4,700000,0.5989,0.6651,0.0661
4,700001,0.5989,0.6651,0.0661
4,700002,0.5989,0.6651,0.0661
4,700003,0.5989,0.6651,0.0661
5,700000,0.6293,0.6472,0.0179
5,700001,0.6293,0.6472,0.0179
5,700002,0.6293,0.6472,0.0179
5,700003,0.6293,0.6472,0.0179
6,700000,0.6265,0.7076,0.0811
6,700001,0.6265,0.71,0.0834
6,700002,0.6265,0.7076,0.0811
6,700003,0.6265,0.7076,0.0811
7,700000,0.6702,0.7538,0.0836
7,700001,0.6702,0.7538,0.0836
7,700002,0.6702,0.7538,0.0836
7,700003,0.6702,0.7538,0.0836
8,700000,0.6785,0.7867,0.1082
8,700001,0.6785,0.7867,0.1082
8,700002,0.6785,0.7867,0.1082
8,700003,0.6785,0.7867,0.1082
9,700000,0.6743,0.7938,0.1194
9,700001,0.6743,0.7938,0.1194
9,700002,0.6743,0.7938,0.1194
9,700003,0.6743,0.7938,0.1194
10,700000,0.6745,0.8689,0.1945
10,700001,0.6745,0.8689,0.1945
10,700002,0.6745,0.8689,0.1945
10,700003,0.6745,0.8689,0.1945
11,700000,0.7064,0.9101,0.2037
11,700001,0.7064,0.9101,0.2037
11,700002,0.7064,0.9101,0.2037
11,700003,0.7064,0.9101,0.2037
12,700000,0.6535,0.9195,0.266
12,700001,0.6535,0.9195,0.266
12,700002,0.6535,0.9195,0.266
12,700003,0.6535,0.9195,0.266
13,700000,0.672,0.9325,0.2605
13,700001,0.672,0.9325,0.2605
13,700002,0.672,0.9325,0.2605
13,700003,0.672,0.9325,0.2605
