n_hands,seed,before_fed_frac,after_fed_frac,improvement
2,700000,0.8067,0.7461,-0.0606
2,700001,0.8067,0.8,-0.0067
2,700002,0.8067,0.7522,-0.0544
2,700003,0.8067,0.8,-0.0067
3,700000,0.7378,0.7456,0.0078
3,700001,0.7378,0.7456,0.0078
3,700002,0.7378,0.7456,0.0078
3,700003,0.7378,0.7456,0.0078
4,700000,0.6844,0.7328,0.0483
4,700001,0.6844,0.7328,0.0483
4,700002,0.6844,0.7328,0.0483
4,700003,0.6844,0.7328,0.0483
5,700000,0.7583,0.7461,-0.0122
5,700001,0.7583,0.7461,-0.0122
5,700002,0.7583,0.7461,-0.0122
5,700003,0.7583,0.7461,-0.0122
6,700000,0.8422,0.8267,-0.0156
6,700001,0.8422,0.8267,-0.0156
6,700002,0.8422,0.8267,-0.0156
6,700003,0.8422,0.8267,-0.0156
7,700000,0.8722,0.8706,-0.0017
7,700001,0.8722,0.8706,-0.0017
7,700002,0.8722,0.8706,-0.0017
7,700003,0.8722,0.8706,-0.0017
8,700000,0.8722,0.9278,0.0556
8,700001,0.8722,0.9278,0.0556
8,700002,0.8722,0.9278,0.0556
8,700003,0.8722,0.9278,0.0556
