experiment_id,episode_id,seed,opponent,crop,crop_allocation,starting_money,final_money,profit,revenue,seed_cost,other_direct_cost,harvest_units,harvest_events,sold_units,unsold_units,avg_realized_price,tile_days,revenue_per_tile_day,productive_actions,movement_actions,market_actions,revenue_per_action,first_harvest_day,last_harvest_day,capital_locked,land_used,win,money_margin,validation_overall,condition
allocation_WHEAT_25_MELON_75_vs_pass,allocation_WHEAT_25_MELON_75_vs_pass_seed70000,70000,pass,WHEAT,0.25,3000.0,17919.0,14919.0,1532.6603,510,,46,46,44,2,34.8332,94,16.3049,422,288,107,2.1287,2,29,510,2,1,14919.0,PASS,allocation_0.25_0.75
allocation_WHEAT_25_MELON_75_vs_pass,allocation_WHEAT_25_MELON_75_vs_pass_seed70000,70000,pass,MELON,0.75,3000.0,17919.0,14919.0,16136.3397,2240,,65,15,65,0,248.2514,262,61.5891,422,288,107,22.4116,10,23,2240,2,1,14919.0,PASS,allocation_0.25_0.75
allocation_WHEAT_25_MELON_75_vs_pass,allocation_WHEAT_25_MELON_75_vs_pass_seed70001,70001,pass,WHEAT,0.25,3000.0,17852.0,14852.0,1462.4604,510,,46,46,44,2,33.2377,94,15.5581,422,288,107,2.0312,2,29,510,2,1,14852.0,PASS,allocation_0.25_0.75
allocation_WHEAT_25_MELON_75_vs_pass,allocation_WHEAT_25_MELON_75_vs_pass_seed70001,70001,pass,MELON,0.75,3000.0,17852.0,14852.0,16139.5396,2240,,65,15,65,0,248.3006,262,61.6013,422,288,107,22.416,10,23,2240,2,1,14852.0,PASS,allocation_0.25_0.75
allocation_WHEAT_25_MELON_75_vs_pass,allocation_WHEAT_25_MELON_75_vs_pass_seed70002,70002,pass,WHEAT,0.25,3000.0,18037.0,15037.0,1650.2686,510,,46,46,44,2,37.5061,94,17.556,422,288,107,2.292,2,29,510,2,1,15037.0,PASS,allocation_0.25_0.75
allocation_WHEAT_25_MELON_75_vs_pass,allocation_WHEAT_25_MELON_75_vs_pass_seed70002,70002,pass,MELON,0.75,3000.0,18037.0,15037.0,16136.7314,2240,,65,15,65,0,248.2574,262,61.5906,422,288,107,22.4121,10,23,2240,2,1,15037.0,PASS,allocation_0.25_0.75
allocation_WHEAT_25_MELON_75_vs_pass,allocation_WHEAT_25_MELON_75_vs_pass_seed70003,70003,pass,WHEAT,0.25,3000.0,17978.0,14978.0,1592.9082,510,,46,46,44,2,36.2025,94,16.9458,422,288,107,2.2124,2,29,510,2,1,14978.0,PASS,allocation_0.25_0.75
allocation_WHEAT_25_MELON_75_vs_pass,allocation_WHEAT_25_MELON_75_vs_pass_seed70003,70003,pass,MELON,0.75,3000.0,17978.0,14978.0,16135.0918,2240,,65,15,65,0,248.2322,262,61.5843,422,288,107,22.4098,10,23,2240,2,1,14978.0,PASS,allocation_0.25_0.75
allocation_WHEAT_25_MELON_75_vs_pass,allocation_WHEAT_25_MELON_75_vs_pass_seed70004,70004,pass,WHEAT,0.25,3000.0,19928.0,16928.0,1339.7254,410,,37,37,36,1,37.2146,76,17.628,404,304,99,1.8607,2,29,410,2,1,16928.0,PASS,allocation_0.25_0.75
allocation_WHEAT_25_MELON_75_vs_pass,allocation_WHEAT_25_MELON_75_vs_pass_seed70004,70004,pass,MELON,0.75,3000.0,19928.0,16928.0,18398.2746,2400,,75,17,75,0,245.3103,268,68.6503,404,304,99,25.5532,10,23,2400,2,1,16928.0,PASS,allocation_0.25_0.75
allocation_WHEAT_25_MELON_75_vs_pass,allocation_WHEAT_25_MELON_75_vs_pass_seed70005,70005,pass,WHEAT,0.25,3000.0,18069.0,15069.0,1681.3939,510,,46,46,44,2,38.2135,94,17.8872,422,288,107,2.3353,2,29,510,2,1,15069.0,PASS,allocation_0.25_0.75
allocation_WHEAT_25_MELON_75_vs_pass,allocation_WHEAT_25_MELON_75_vs_pass_seed70005,70005,pass,MELON,0.75,3000.0,18069.0,15069.0,16137.6061,2240,,65,15,65,0,248.2709,262,61.5939,422,288,107,22.4133,10,23,2240,2,1,15069.0,PASS,allocation_0.25_0.75
allocation_WHEAT_25_MELON_75_vs_pass,allocation_WHEAT_25_MELON_75_vs_pass_seed70006,70006,pass,WHEAT,0.25,3000.0,18081.0,15081.0,1695.3922,510,,46,46,44,2,38.5316,94,18.0361,422,288,107,2.3547,2,29,510,2,1,15081.0,PASS,allocation_0.25_0.75
allocation_WHEAT_25_MELON_75_vs_pass,allocation_WHEAT_25_MELON_75_vs_pass_seed70006,70006,pass,MELON,0.75,3000.0,18081.0,15081.0,16135.6078,2240,,65,15,65,0,248.2401,262,61.5863,422,288,107,22.4106,10,23,2240,2,1,15081.0,PASS,allocation_0.25_0.75
allocation_WHEAT_25_MELON_75_vs_pass,allocation_WHEAT_25_MELON_75_vs_pass_seed70007,70007,pass,WHEAT,0.25,3000.0,17767.0,14767.0,1377.2657,510,,46,46,44,2,31.3015,94,14.6518,422,288,107,1.9129,2,29,510,2,1,14767.0,PASS,allocation_0.25_0.75
allocation_WHEAT_25_MELON_75_vs_pass,allocation_WHEAT_25_MELON_75_vs_pass_seed70007,70007,pass,MELON,0.75,3000.0,17767.0,14767.0,16139.7343,2240,,65,15,65,0,248.3036,262,61.602,422,288,107,22.4163,10,23,2240,2,1,14767.0,PASS,allocation_0.25_0.75
allocation_WHEAT_75_MELON_25_vs_pass,allocation_WHEAT_75_MELON_25_vs_pass_seed70000,70000,pass,WHEAT,0.75,3000.0,10066.0,7066.0,3883.4918,1380,,126,126,121,5,32.095,257,15.1109,483,225,182,5.3937,2,29,1380,2,1,7066.0,PASS,allocation_0.75_0.25
allocation_WHEAT_75_MELON_25_vs_pass,allocation_WHEAT_75_MELON_25_vs_pass_seed70000,70000,pass,MELON,0.25,3000.0,10066.0,7066.0,5602.5082,1040,,16,5,21,-5,266.7861,94,59.6012,483,225,182,7.7813,10,22,1040,2,1,7066.0,PASS,allocation_0.75_0.25
allocation_WHEAT_75_MELON_25_vs_pass,allocation_WHEAT_75_MELON_25_vs_pass_seed70001,70001,pass,WHEAT,0.75,3000.0,10011.0,7011.0,3829.9935,1380,,126,126,121,5,31.6528,257,14.9027,483,225,182,5.3194,2,29,1380,2,1,7011.0,PASS,allocation_0.75_0.25
allocation_WHEAT_75_MELON_25_vs_pass,allocation_WHEAT_75_MELON_25_vs_pass_seed70001,70001,pass,MELON,0.25,3000.0,10011.0,7011.0,5601.0065,1040,,16,5,21,-5,266.7146,94,59.5852,483,225,182,7.7792,10,22,1040,2,1,7011.0,PASS,allocation_0.75_0.25
allocation_WHEAT_75_MELON_25_vs_pass,allocation_WHEAT_75_MELON_25_vs_pass_seed70002,70002,pass,WHEAT,0.75,3000.0,10674.0,7674.0,4474.011,1440,,130,130,125,5,35.7921,266,16.8196,493,217,187,6.2139,2,29,1440,2,1,7674.0,PASS,allocation_0.75_0.25
allocation_WHEAT_75_MELON_25_vs_pass,allocation_WHEAT_75_MELON_25_vs_pass_seed70002,70002,pass,MELON,0.25,3000.0,10674.0,7674.0,5599.989,960,,12,4,21,-9,266.6661,88,63.6362,493,217,187,7.7778,10,20,960,2,1,7674.0,PASS,allocation_0.75_0.25
allocation_WHEAT_75_MELON_25_vs_pass,allocation_WHEAT_75_MELON_25_vs_pass_seed70003,70003,pass,WHEAT,0.75,3000.0,10650.0,7650.0,4449.9211,1440,,130,130,125,5,35.5994,266,16.729,493,217,187,6.1804,2,29,1440,2,1,7650.0,PASS,allocation_0.75_0.25
allocation_WHEAT_75_MELON_25_vs_pass,allocation_WHEAT_75_MELON_25_vs_pass_seed70003,70003,pass,MELON,0.25,3000.0,10650.0,7650.0,5600.0789,960,,12,4,21,-9,266.6704,88,63.6373,493,217,187,7.7779,10,20,960,2,1,7650.0,PASS,allocation_0.75_0.25
allocation_WHEAT_75_MELON_25_vs_pass,allocation_WHEAT_75_MELON_25_vs_pass_seed70004,70004,pass,WHEAT,0.75,3000.0,10565.0,7565.0,4364.1788,1360,,125,125,120,5,36.3682,255,17.1144,481,221,180,6.0614,2,29,1360,2,1,7565.0,PASS,allocation_0.75_0.25
allocation_WHEAT_75_MELON_25_vs_pass,allocation_WHEAT_75_MELON_25_vs_pass_seed70004,70004,pass,MELON,0.25,3000.0,10565.0,7565.0,5600.8212,1040,,16,5,21,-5,266.7058,89,62.9306,481,221,180,7.7789,10,22,1040,2,1,7565.0,PASS,allocation_0.75_0.25
allocation_WHEAT_75_MELON_25_vs_pass,allocation_WHEAT_75_MELON_25_vs_pass_seed70005,70005,pass,WHEAT,0.75,3000.0,10501.0,7501.0,4304.1907,1440,,130,130,125,5,34.4335,266,16.1812,493,217,187,5.978,2,29,1440,2,1,7501.0,PASS,allocation_0.75_0.25
allocation_WHEAT_75_MELON_25_vs_pass,allocation_WHEAT_75_MELON_25_vs_pass_seed70005,70005,pass,MELON,0.25,3000.0,10501.0,7501.0,5596.8093,960,,12,4,21,-9,266.5147,88,63.6001,493,217,187,7.7733,10,20,960,2,1,7501.0,PASS,allocation_0.75_0.25
allocation_WHEAT_75_MELON_25_vs_pass,allocation_WHEAT_75_MELON_25_vs_pass_seed70006,70006,pass,WHEAT,0.75,3000.0,8628.0,5628.0,4925.2497,1510,,137,137,132,5,37.3125,280,17.5902,496,211,189,6.8406,2,29,1510,2,1,5628.0,PASS,allocation_0.75_0.25
allocation_WHEAT_75_MELON_25_vs_pass,allocation_WHEAT_75_MELON_25_vs_pass_seed70006,70006,pass,MELON,0.25,3000.0,8628.0,5628.0,2932.7503,720,,6,2,11,-5,266.6137,65,45.1192,496,211,189,4.0733,10,10,720,2,1,5628.0,PASS,allocation_0.75_0.25
allocation_WHEAT_75_MELON_25_vs_pass,allocation_WHEAT_75_MELON_25_vs_pass_seed70007,70007,pass,WHEAT,0.75,3000.0,10444.0,7444.0,4244.6209,1440,,130,130,125,5,33.957,266,15.9572,493,217,187,5.8953,2,29,1440,2,1,7444.0,PASS,allocation_0.75_0.25
allocation_WHEAT_75_MELON_25_vs_pass,allocation_WHEAT_75_MELON_25_vs_pass_seed70007,70007,pass,MELON,0.25,3000.0,10444.0,7444.0,5599.3791,960,,12,4,21,-9,266.6371,88,63.6293,493,217,187,7.7769,10,20,960,2,1,7444.0,PASS,allocation_0.75_0.25
