experiment_id,episode_id,seed,opponent,crop,crop_allocation,starting_money,final_money,profit,revenue,seed_cost,other_direct_cost,harvest_units,harvest_events,sold_units,unsold_units,avg_realized_price,tile_days,revenue_per_tile_day,productive_actions,movement_actions,market_actions,revenue_per_action,first_harvest_day,last_harvest_day,capital_locked,land_used,win,money_margin,validation_overall,condition
h2h_WHEAT_vs_baseline,h2h_WHEAT_vs_baseline_seed50000,50000,baseline_agent,WHEAT,1.0,3000.0,5874.0,2874.0,4584.0,1710,,153,153,148,5,30.973,326,14.0613,509,196,198,6.3667,2,29,1710,1,1,1000.0,PASS,no_fertilizer_no_delay
h2h_WHEAT_vs_baseline,h2h_WHEAT_vs_baseline_seed50001,50001,baseline_agent,WHEAT,1.0,3000.0,4992.0,1992.0,3702.0,1710,,153,153,148,5,25.0135,326,11.3558,509,196,198,5.1417,2,29,1710,1,1,1000.0,PASS,no_fertilizer_no_delay
h2h_WHEAT_vs_baseline,h2h_WHEAT_vs_baseline_seed50002,50002,baseline_agent,WHEAT,1.0,3000.0,5948.0,2948.0,4658.0,1710,,153,153,148,5,31.473,326,14.2883,509,196,198,6.4694,2,29,1710,1,1,1000.0,PASS,no_fertilizer_no_delay
h2h_WHEAT_vs_baseline,h2h_WHEAT_vs_baseline_seed50003,50003,baseline_agent,WHEAT,1.0,3000.0,6280.0,3280.0,4990.0,1710,,153,153,148,5,33.7162,326,15.3067,509,196,198,6.9306,2,29,1710,1,1,1000.0,PASS,no_fertilizer_no_delay
h2h_WHEAT_vs_baseline,h2h_WHEAT_vs_baseline_seed50004,50004,baseline_agent,WHEAT,1.0,3000.0,5639.0,2639.0,4329.0,1690,,152,152,147,5,29.449,324,13.3611,506,198,196,6.0125,2,29,1690,1,1,998.0,PASS,no_fertilizer_no_delay
h2h_WHEAT_vs_baseline,h2h_WHEAT_vs_baseline_seed50005,50005,baseline_agent,WHEAT,1.0,3000.0,5840.0,2840.0,4550.0,1710,,153,153,148,5,30.7432,326,13.9571,509,196,198,6.3194,2,29,1710,1,1,1000.0,PASS,no_fertilizer_no_delay
h2h_WHEAT_vs_baseline,h2h_WHEAT_vs_baseline_seed50006,50006,baseline_agent,WHEAT,1.0,3000.0,5501.0,2501.0,4211.0,1710,,153,153,148,5,28.4527,326,12.9172,509,196,198,5.8486,2,29,1710,1,1,1000.0,PASS,no_fertilizer_no_delay
h2h_WHEAT_vs_baseline,h2h_WHEAT_vs_baseline_seed50007,50007,baseline_agent,WHEAT,1.0,3000.0,6121.0,3121.0,4831.0,1710,,153,153,148,5,32.6419,326,14.819,509,196,198,6.7097,2,29,1710,1,1,1000.0,PASS,no_fertilizer_no_delay
h2h_WHEAT_vs_baseline,h2h_WHEAT_vs_baseline_seed50008,50008,baseline_agent,WHEAT,1.0,3000.0,5240.0,2240.0,3950.0,1710,,153,153,148,5,26.6892,326,12.1166,509,196,198,5.4861,2,29,1710,1,1,1000.0,PASS,no_fertilizer_no_delay
h2h_WHEAT_vs_baseline,h2h_WHEAT_vs_baseline_seed50009,50009,baseline_agent,WHEAT,1.0,3000.0,6192.0,3192.0,4902.0,1710,,153,153,148,5,33.1216,326,15.0368,509,196,198,6.8083,2,29,1710,1,1,1000.0,PASS,no_fertilizer_no_delay
h2h_WHEAT_vs_baseline,h2h_WHEAT_vs_baseline_seed50010,50010,baseline_agent,WHEAT,1.0,3000.0,6251.0,3251.0,4961.0,1710,,153,153,148,5,33.5203,326,15.2178,509,196,198,6.8903,2,29,1710,1,1,1000.0,PASS,no_fertilizer_no_delay
h2h_WHEAT_vs_baseline,h2h_WHEAT_vs_baseline_seed50011,50011,baseline_agent,WHEAT,1.0,3000.0,5136.0,2136.0,3846.0,1710,,153,153,148,5,25.9865,326,11.7975,509,196,198,5.3417,2,29,1710,1,1,1001.0,PASS,no_fertilizer_no_delay
h2h_WHEAT_vs_baseline,h2h_WHEAT_vs_baseline_seed50012,50012,baseline_agent,WHEAT,1.0,3000.0,6288.0,3288.0,4958.0,1670,,151,151,148,3,33.5,322,15.3975,505,200,194,6.8861,2,29,1670,1,1,1043.0,PASS,no_fertilizer_no_delay
h2h_WHEAT_vs_baseline,h2h_WHEAT_vs_baseline_seed50013,50013,baseline_agent,WHEAT,1.0,3000.0,5235.0,2235.0,3945.0,1710,,153,153,148,5,26.6554,326,12.1012,509,196,198,5.4792,2,29,1710,1,1,982.0,PASS,no_fertilizer_no_delay
