experiment_id,episode_id,seed,opponent,crop,crop_allocation,starting_money,final_money,profit,revenue,seed_cost,other_direct_cost,harvest_units,harvest_events,sold_units,unsold_units,avg_realized_price,tile_days,revenue_per_tile_day,productive_actions,movement_actions,market_actions,revenue_per_action,first_harvest_day,last_harvest_day,capital_locked,land_used,win,money_margin,validation_overall,condition
isolated_WHEAT_vs_pass,isolated_WHEAT_vs_pass_seed10000,10000,pass,WHEAT,1.0,3000.0,5867.0,2867.0,4577.0,1710,,153,153,148,5,30.9257,326,14.0399,509,196,198,6.3569,2,29,1710,1,1,2867.0,PASS,no_fertilizer_no_delay
isolated_WHEAT_vs_pass,isolated_WHEAT_vs_pass_seed10001,10001,pass,WHEAT,1.0,3000.0,6782.0,3782.0,5492.0,1710,,153,153,148,5,37.1081,326,16.8466,509,196,198,7.6278,2,29,1710,1,1,3782.0,PASS,no_fertilizer_no_delay
isolated_WHEAT_vs_pass,isolated_WHEAT_vs_pass_seed10002,10002,pass,WHEAT,1.0,3000.0,6152.0,3152.0,4862.0,1710,,153,153,148,5,32.8514,326,14.9141,509,196,198,6.7528,2,29,1710,1,1,3152.0,PASS,no_fertilizer_no_delay
isolated_WHEAT_vs_pass,isolated_WHEAT_vs_pass_seed10003,10003,pass,WHEAT,1.0,3000.0,6279.0,3279.0,4989.0,1710,,153,153,148,5,33.7095,326,15.3037,509,196,198,6.9292,2,29,1710,1,1,3279.0,PASS,no_fertilizer_no_delay
isolated_WHEAT_vs_pass,isolated_WHEAT_vs_pass_seed10004,10004,pass,WHEAT,1.0,3000.0,5397.0,2397.0,4107.0,1710,,153,153,148,5,27.75,326,12.5982,509,196,198,5.7042,2,29,1710,1,1,2397.0,PASS,no_fertilizer_no_delay
isolated_WHEAT_vs_pass,isolated_WHEAT_vs_pass_seed10005,10005,pass,WHEAT,1.0,3000.0,6308.0,3308.0,5018.0,1710,,153,153,148,5,33.9054,326,15.3926,509,196,198,6.9694,2,29,1710,1,1,3308.0,PASS,no_fertilizer_no_delay
isolated_WHEAT_vs_pass,isolated_WHEAT_vs_pass_seed10006,10006,pass,WHEAT,1.0,3000.0,6616.0,3616.0,5326.0,1710,,153,153,148,5,35.9865,326,16.3374,509,196,198,7.3972,2,29,1710,1,1,3616.0,PASS,no_fertilizer_no_delay
isolated_WHEAT_vs_pass,isolated_WHEAT_vs_pass_seed10007,10007,pass,WHEAT,1.0,3000.0,5716.0,2716.0,4426.0,1710,,153,153,148,5,29.9054,326,13.5767,509,196,198,6.1472,2,29,1710,1,1,2716.0,PASS,no_fertilizer_no_delay
isolated_WHEAT_vs_pass,isolated_WHEAT_vs_pass_seed10008,10008,pass,WHEAT,1.0,3000.0,4618.0,1618.0,3328.0,1710,,153,153,148,5,22.4865,326,10.2086,509,196,198,4.6222,2,29,1710,1,1,1618.0,PASS,no_fertilizer_no_delay
isolated_WHEAT_vs_pass,isolated_WHEAT_vs_pass_seed10009,10009,pass,WHEAT,1.0,3000.0,4777.0,1777.0,3487.0,1710,,153,153,148,5,23.5608,326,10.6963,509,196,198,4.8431,2,29,1710,1,1,1777.0,PASS,no_fertilizer_no_delay
isolated_WHEAT_vs_pass,isolated_WHEAT_vs_pass_seed10010,10010,pass,WHEAT,1.0,3000.0,6828.0,3828.0,5538.0,1710,,153,153,148,5,37.4189,326,16.9877,509,196,198,7.6917,2,29,1710,1,1,3828.0,PASS,no_fertilizer_no_delay
isolated_WHEAT_vs_pass,isolated_WHEAT_vs_pass_seed10011,10011,pass,WHEAT,1.0,3000.0,6763.0,3763.0,5473.0,1710,,153,153,148,5,36.9797,326,16.7883,509,196,198,7.6014,2,29,1710,1,1,3763.0,PASS,no_fertilizer_no_delay
isolated_WHEAT_vs_pass,isolated_WHEAT_vs_pass_seed10012,10012,pass,WHEAT,1.0,3000.0,6279.0,3279.0,4989.0,1710,,153,153,148,5,33.7095,326,15.3037,509,196,198,6.9292,2,29,1710,1,1,3279.0,PASS,no_fertilizer_no_delay
isolated_WHEAT_vs_pass,isolated_WHEAT_vs_pass_seed10013,10013,pass,WHEAT,1.0,3000.0,6433.0,3433.0,5143.0,1710,,153,153,148,5,34.75,326,15.7761,509,196,198,7.1431,2,29,1710,1,1,3433.0,PASS,no_fertilizer_no_delay
isolated_WHEAT_vs_pass,isolated_WHEAT_vs_pass_seed10014,10014,pass,WHEAT,1.0,3000.0,6153.0,3153.0,4863.0,1710,,153,153,148,5,32.8581,326,14.9172,509,196,198,6.7542,2,29,1710,1,1,3153.0,PASS,no_fertilizer_no_delay
isolated_WHEAT_vs_starter,isolated_WHEAT_vs_starter_seed20000,20000,starter,WHEAT,1.0,3000.0,6353.0,3353.0,5063.0,1710,,153,153,148,5,34.2095,326,15.5307,509,196,198,7.0319,2,29,1710,1,1,2928.0,PASS,no_fertilizer_no_delay
isolated_WHEAT_vs_starter,isolated_WHEAT_vs_starter_seed20001,20001,starter,WHEAT,1.0,3000.0,6823.0,3823.0,5533.0,1710,,153,153,148,5,37.3851,326,16.9724,509,196,198,7.6847,2,29,1710,1,1,3291.0,PASS,no_fertilizer_no_delay
isolated_WHEAT_vs_starter,isolated_WHEAT_vs_starter_seed20002,20002,starter,WHEAT,1.0,3000.0,5434.0,2434.0,4144.0,1710,,153,153,148,5,28.0,326,12.7117,509,196,198,5.7556,2,29,1710,1,1,2013.0,PASS,no_fertilizer_no_delay
isolated_WHEAT_vs_starter,isolated_WHEAT_vs_starter_seed20003,20003,starter,WHEAT,1.0,3000.0,6551.0,3551.0,5261.0,1710,,153,153,148,5,35.5473,326,16.138,509,196,198,7.3069,2,29,1710,1,1,2771.0,PASS,no_fertilizer_no_delay
isolated_WHEAT_vs_starter,isolated_WHEAT_vs_starter_seed20004,20004,starter,WHEAT,1.0,3000.0,5591.0,2591.0,4301.0,1710,,153,153,148,5,29.0608,326,13.1933,509,196,198,5.9736,2,29,1710,1,1,2170.0,PASS,no_fertilizer_no_delay
