experiment_id,episode_id,seed,opponent,crop,crop_allocation,starting_money,final_money,profit,revenue,seed_cost,other_direct_cost,harvest_units,harvest_events,sold_units,unsold_units,avg_realized_price,tile_days,revenue_per_tile_day,productive_actions,movement_actions,market_actions,revenue_per_action,first_harvest_day,last_harvest_day,capital_locked,land_used,win,money_margin,validation_overall,condition
timing_WHEAT_early_vs_pass,timing_WHEAT_early_vs_pass_seed40000,40000,pass,WHEAT,1.0,3000.0,6012.0,3012.0,4722.0,1710,,153,153,148,5,31.9054,326,14.4847,509,196,198,6.5583,2,29,1710,1,1,3012.0,PASS,plant_delay_day=0
timing_WHEAT_early_vs_pass,timing_WHEAT_early_vs_pass_seed40001,40001,pass,WHEAT,1.0,3000.0,6318.0,3318.0,5028.0,1710,,153,153,148,5,33.973,326,15.4233,509,196,198,6.9833,2,29,1710,1,1,3318.0,PASS,plant_delay_day=0
timing_WHEAT_early_vs_pass,timing_WHEAT_early_vs_pass_seed40002,40002,pass,WHEAT,1.0,3000.0,6653.0,3653.0,5363.0,1710,,153,153,148,5,36.2365,326,16.4509,509,196,198,7.4486,2,29,1710,1,1,3653.0,PASS,plant_delay_day=0
timing_WHEAT_early_vs_pass,timing_WHEAT_early_vs_pass_seed40003,40003,pass,WHEAT,1.0,3000.0,6582.0,3582.0,5292.0,1710,,153,153,148,5,35.7568,326,16.2331,509,196,198,7.35,2,29,1710,1,1,3582.0,PASS,plant_delay_day=0
timing_WHEAT_early_vs_pass,timing_WHEAT_early_vs_pass_seed40004,40004,pass,WHEAT,1.0,3000.0,6514.0,3514.0,5224.0,1710,,153,153,148,5,35.2973,326,16.0245,509,196,198,7.2556,2,29,1710,1,1,3514.0,PASS,plant_delay_day=0
timing_WHEAT_early_vs_pass,timing_WHEAT_early_vs_pass_seed40005,40005,pass,WHEAT,1.0,3000.0,6653.0,3653.0,5363.0,1710,,153,153,148,5,36.2365,326,16.4509,509,196,198,7.4486,2,29,1710,1,1,3653.0,PASS,plant_delay_day=0
timing_WHEAT_mid_vs_pass,timing_WHEAT_mid_vs_pass_seed41000,41000,pass,WHEAT,1.0,3000.0,5508.0,2508.0,3668.0,1160,,98,98,93,5,39.4409,216,16.9815,339,131,133,5.0944,12,29,1160,1,1,2508.0,PASS,plant_delay_day=10
timing_WHEAT_mid_vs_pass,timing_WHEAT_mid_vs_pass_seed41001,41001,pass,WHEAT,1.0,3000.0,5514.0,2514.0,3674.0,1160,,98,98,93,5,39.5054,216,17.0093,339,131,133,5.1028,12,29,1160,1,1,2514.0,PASS,plant_delay_day=10
timing_WHEAT_mid_vs_pass,timing_WHEAT_mid_vs_pass_seed41002,41002,pass,WHEAT,1.0,3000.0,5779.0,2779.0,3909.0,1130,,99,99,94,5,41.5851,205,19.0683,335,134,130,5.4292,12,29,1130,1,1,2779.0,PASS,plant_delay_day=10
timing_WHEAT_mid_vs_pass,timing_WHEAT_mid_vs_pass_seed41003,41003,pass,WHEAT,1.0,3000.0,4879.0,1879.0,3039.0,1160,,98,98,93,5,32.6774,216,14.0694,339,131,133,4.2208,12,29,1160,1,1,1879.0,PASS,plant_delay_day=10
timing_WHEAT_mid_vs_pass,timing_WHEAT_mid_vs_pass_seed41004,41004,pass,WHEAT,1.0,3000.0,5754.0,2754.0,3874.0,1120,,96,96,93,3,41.6559,209,18.5359,335,136,129,5.3806,12,29,1120,1,1,2754.0,PASS,plant_delay_day=10
