stage,group,cell_id,episode_id,seed,opponent,config_json,starting_money,final_money,profit,revenue_total,cost_seed,cost_hire,cost_land,cost_animal,cost_buy_wheat,cost_buy_fertilizer,cost_other,harvest_units_json,animal_units_json,animals_placed,animals_escaped,hands_hired_events,land_quadrants_end,productive_action_rate,movement_fraction,market_action_fraction,win,money_margin,validation_overall,inventory_overflow_flag
A,a1_labor_sweep,labor_WHEAT_0h,labor_WHEAT_0h_seed100000,100000,pass,"{""crops"": ""WHEAT"", ""n_hands"": 0}",3000.0,6024.0,3024.0,4524.0,1500,0,0,0,0,0,0,"{""WHEAT"": 138}",{},0,0,0,1,0.9611,0.3458,0.2458,1,3024.0,PASS,0
A,a1_labor_sweep,labor_WHEAT_0h,labor_WHEAT_0h_seed100001,100001,pass,"{""crops"": ""WHEAT"", ""n_hands"": 0}",3000.0,5715.0,2715.0,4215.0,1500,0,0,0,0,0,0,"{""WHEAT"": 138}",{},0,0,0,1,0.9611,0.3458,0.2458,1,2715.0,PASS,0
A,a1_labor_sweep,labor_WHEAT_0h,labor_WHEAT_0h_seed100002,100002,pass,"{""crops"": ""WHEAT"", ""n_hands"": 0}",3000.0,6533.0,3533.0,5033.0,1500,0,0,0,0,0,0,"{""WHEAT"": 138}",{},0,0,0,1,0.9611,0.3458,0.2458,1,3533.0,PASS,0
A,a1_labor_sweep,labor_WHEAT_0h,labor_WHEAT_0h_seed100003,100003,pass,"{""crops"": ""WHEAT"", ""n_hands"": 0}",3000.0,5934.0,2934.0,4434.0,1500,0,0,0,0,0,0,"{""WHEAT"": 138}",{},0,0,0,1,0.9611,0.3458,0.2458,1,2934.0,PASS,0
A,a1_labor_sweep,labor_WHEAT_0h,labor_WHEAT_0h_seed100004,100004,pass,"{""crops"": ""WHEAT"", ""n_hands"": 0}",3000.0,5340.0,2340.0,3840.0,1500,0,0,0,0,0,0,"{""WHEAT"": 138}",{},0,0,0,1,0.9611,0.3458,0.2458,1,2340.0,PASS,0
A,a1_labor_sweep,labor_WHEAT_0h,labor_WHEAT_0h_seed100005,100005,pass,"{""crops"": ""WHEAT"", ""n_hands"": 0}",3000.0,5848.0,2848.0,4348.0,1500,0,0,0,0,0,0,"{""WHEAT"": 138}",{},0,0,0,1,0.9611,0.3458,0.2458,1,2848.0,PASS,0
A,a1_labor_sweep,labor_WHEAT_1h,labor_WHEAT_1h_seed100000,100000,pass,"{""crops"": ""WHEAT"", ""n_hands"": 1}",3000.0,6206.0,3206.0,5496.0,2260,30,0,0,0,0,0,"{""WHEAT"": 209}",{},0,0,30,1,0.9674,0.4372,0.1789,1,3206.0,PASS,0
A,a1_labor_sweep,labor_WHEAT_1h,labor_WHEAT_1h_seed100001,100001,pass,"{""crops"": ""WHEAT"", ""n_hands"": 1}",3000.0,7336.0,4336.0,6626.0,2260,30,0,0,0,0,0,"{""WHEAT"": 209}",{},0,0,30,1,0.9674,0.4372,0.1789,1,4336.0,PASS,0
A,a1_labor_sweep,labor_WHEAT_1h,labor_WHEAT_1h_seed100002,100002,pass,"{""crops"": ""WHEAT"", ""n_hands"": 1}",3000.0,7909.0,4909.0,7199.0,2260,30,0,0,0,0,0,"{""WHEAT"": 209}",{},0,0,30,1,0.9674,0.4365,0.1789,1,4909.0,PASS,0
A,a1_labor_sweep,labor_WHEAT_1h,labor_WHEAT_1h_seed100003,100003,pass,"{""crops"": ""WHEAT"", ""n_hands"": 1}",3000.0,7705.0,4705.0,6995.0,2260,30,0,0,0,0,0,"{""WHEAT"": 209}",{},0,0,30,1,0.9674,0.4372,0.1789,1,4705.0,PASS,0
A,a1_labor_sweep,labor_WHEAT_1h,labor_WHEAT_1h_seed100004,100004,pass,"{""crops"": ""WHEAT"", ""n_hands"": 1}",3000.0,7769.0,4769.0,7059.0,2260,30,0,0,0,0,0,"{""WHEAT"": 209}",{},0,0,30,1,0.9674,0.4365,0.1789,1,4769.0,PASS,0
A,a1_labor_sweep,labor_WHEAT_1h,labor_WHEAT_1h_seed100005,100005,pass,"{""crops"": ""WHEAT"", ""n_hands"": 1}",3000.0,6892.0,3892.0,6182.0,2260,30,0,0,0,0,0,"{""WHEAT"": 209}",{},0,0,30,1,0.9674,0.4372,0.1789,1,3892.0,PASS,0
A,a1_labor_sweep,labor_WHEAT_2h,labor_WHEAT_2h_seed100000,100000,pass,"{""crops"": ""WHEAT"", ""n_hands"": 2}",3000.0,8139.0,5139.0,8239.0,3040,60,0,0,0,0,0,"{""WHEAT"": 279}",{},0,0,60,1,0.9847,0.4719,0.1725,1,5139.0,PASS,0
A,a1_labor_sweep,labor_WHEAT_2h,labor_WHEAT_2h_seed100001,100001,pass,"{""crops"": ""WHEAT"", ""n_hands"": 2}",3000.0,8468.0,5468.0,8568.0,3040,60,0,0,0,0,0,"{""WHEAT"": 279}",{},0,0,60,1,0.9847,0.4719,0.1597,1,5468.0,PASS,0
A,a1_labor_sweep,labor_WHEAT_2h,labor_WHEAT_2h_seed100002,100002,pass,"{""crops"": ""WHEAT"", ""n_hands"": 2}",3000.0,8991.0,5991.0,9241.0,3190,60,0,0,0,0,0,"{""WHEAT"": 293}",{},0,0,60,1,0.9838,0.4643,0.1644,1,5991.0,PASS,0
A,a1_labor_sweep,labor_WHEAT_2h,labor_WHEAT_2h_seed100003,100003,pass,"{""crops"": ""WHEAT"", ""n_hands"": 2}",3000.0,6901.0,3901.0,7011.0,3050,60,0,0,0,0,0,"{""WHEAT"": 279}",{},0,0,60,1,0.9847,0.4719,0.1578,1,3901.0,PASS,0
A,a1_labor_sweep,labor_WHEAT_2h,labor_WHEAT_2h_seed100004,100004,pass,"{""crops"": ""WHEAT"", ""n_hands"": 2}",3000.0,7892.0,4892.0,7992.0,3040,60,0,0,0,0,0,"{""WHEAT"": 279}",{},0,0,60,1,0.9847,0.4719,0.1578,1,4892.0,PASS,0
A,a1_labor_sweep,labor_WHEAT_2h,labor_WHEAT_2h_seed100005,100005,pass,"{""crops"": ""WHEAT"", ""n_hands"": 2}",3000.0,6390.0,3390.0,6500.0,3050,60,0,0,0,0,0,"{""WHEAT"": 279}",{},0,0,60,1,0.9847,0.4719,0.1578,1,3390.0,PASS,0
A,a1_labor_sweep,labor_WHEAT_3h,labor_WHEAT_3h_seed100000,100000,pass,"{""crops"": ""WHEAT"", ""n_hands"": 3}",3000.0,8336.0,5336.0,8926.0,3470,120,0,0,0,0,0,"{""WHEAT"": 316}",{},0,0,90,1,0.976,0.5249,0.1511,1,5336.0,PASS,0
A,a1_labor_sweep,labor_WHEAT_3h,labor_WHEAT_3h_seed100001,100001,pass,"{""crops"": ""WHEAT"", ""n_hands"": 3}",3000.0,9275.0,6275.0,9865.0,3470,120,0,0,0,0,0,"{""WHEAT"": 316}",{},0,0,90,1,0.976,0.5249,0.1511,1,6275.0,PASS,0
A,a1_labor_sweep,labor_WHEAT_3h,labor_WHEAT_3h_seed100002,100002,pass,"{""crops"": ""WHEAT"", ""n_hands"": 3}",3000.0,9377.0,6377.0,9967.0,3470,120,0,0,0,0,0,"{""WHEAT"": 316}",{},0,0,90,1,0.9763,0.5249,0.1514,1,6377.0,PASS,0
A,a1_labor_sweep,labor_WHEAT_3h,labor_WHEAT_3h_seed100003,100003,pass,"{""crops"": ""WHEAT"", ""n_hands"": 3}",3000.0,6750.0,3750.0,7340.0,3470,120,0,0,0,0,0,"{""WHEAT"": 316}",{},0,0,90,1,0.976,0.5249,0.1511,1,3750.0,PASS,0
A,a1_labor_sweep,labor_WHEAT_3h,labor_WHEAT_3h_seed100004,100004,pass,"{""crops"": ""WHEAT"", ""n_hands"": 3}",3000.0,8602.0,5602.0,9192.0,3470,120,0,0,0,0,0,"{""WHEAT"": 316}",{},0,0,90,1,0.976,0.5249,0.1511,1,5602.0,PASS,0
