stage,group,cell_id,episode_id,seed,opponent,config_json,starting_money,final_money,profit,revenue_total,cost_seed,cost_hire,cost_land,cost_animal,cost_buy_wheat,cost_buy_fertilizer,cost_other,harvest_units_json,animal_units_json,animals_placed,animals_escaped,hands_hired_events,land_quadrants_end,productive_action_rate,movement_fraction,market_action_fraction,win,money_margin,validation_overall,inventory_overflow_flag
A,a2_land_sweep,land_0q_0h,land_0q_0h_seed100100,100100,pass,"{""crops"": ""MELON"", ""land_quadrants"": 0, ""n_hands"": 0}",3000.0,22341.0,19341.0,21981.0,2640,0,0,0,0,0,0,"{""MELON"": 92}",{},0,0,0,1,0.9903,0.5347,0.0569,1,19341.0,PASS,0
A,a2_land_sweep,land_0q_0h,land_0q_0h_seed100101,100101,pass,"{""crops"": ""MELON"", ""land_quadrants"": 0, ""n_hands"": 0}",3000.0,22341.0,19341.0,21981.0,2640,0,0,0,0,0,0,"{""MELON"": 92}",{},0,0,0,1,0.9903,0.5361,0.0569,1,19341.0,PASS,0
A,a2_land_sweep,land_0q_0h,land_0q_0h_seed100102,100102,pass,"{""crops"": ""MELON"", ""land_quadrants"": 0, ""n_hands"": 0}",3000.0,22341.0,19341.0,21981.0,2640,0,0,0,0,0,0,"{""MELON"": 92}",{},0,0,0,1,0.9903,0.5361,0.0569,1,19341.0,PASS,0
A,a2_land_sweep,land_0q_0h,land_0q_0h_seed100103,100103,pass,"{""crops"": ""MELON"", ""land_quadrants"": 0, ""n_hands"": 0}",3000.0,22341.0,19341.0,21981.0,2640,0,0,0,0,0,0,"{""MELON"": 92}",{},0,0,0,1,0.9903,0.5361,0.0569,1,19341.0,PASS,0
A,a2_land_sweep,land_0q_0h,land_0q_0h_seed100104,100104,pass,"{""crops"": ""MELON"", ""land_quadrants"": 0, ""n_hands"": 0}",3000.0,21002.0,18002.0,20962.0,2960,0,0,0,0,0,0,"{""MELON"": 87}",{},0,0,0,1,0.9903,0.5417,0.0625,1,18002.0,PASS,0
A,a2_land_sweep,land_0q_0h,land_0q_0h_seed100105,100105,pass,"{""crops"": ""MELON"", ""land_quadrants"": 0, ""n_hands"": 0}",3000.0,22341.0,19341.0,21981.0,2640,0,0,0,0,0,0,"{""MELON"": 92}",{},0,0,0,1,0.9903,0.5361,0.0569,1,19341.0,PASS,0
A,a2_land_sweep,land_0q_3h,land_0q_3h_seed100100,100100,pass,"{""crops"": ""MELON"", ""land_quadrants"": 0, ""n_hands"": 3}",3000.0,27648.0,24648.0,31008.0,6240,120,0,0,0,0,0,"{""MELON"": 238}",{},0,0,90,1,0.7065,0.4108,0.0574,1,24648.0,PASS,0
A,a2_land_sweep,land_0q_3h,land_0q_3h_seed100101,100101,pass,"{""crops"": ""MELON"", ""land_quadrants"": 0, ""n_hands"": 3}",3000.0,27648.0,24648.0,31008.0,6240,120,0,0,0,0,0,"{""MELON"": 238}",{},0,0,90,1,0.7065,0.4108,0.0574,1,24648.0,PASS,0
A,a2_land_sweep,land_0q_3h,land_0q_3h_seed100102,100102,pass,"{""crops"": ""MELON"", ""land_quadrants"": 0, ""n_hands"": 3}",3000.0,27648.0,24648.0,31008.0,6240,120,0,0,0,0,0,"{""MELON"": 238}",{},0,0,90,1,0.7065,0.4108,0.0574,1,24648.0,PASS,0
A,a2_land_sweep,land_0q_3h,land_0q_3h_seed100103,100103,pass,"{""crops"": ""MELON"", ""land_quadrants"": 0, ""n_hands"": 3}",3000.0,27724.0,24724.0,31004.0,6160,120,0,0,0,0,0,"{""MELON"": 234}",{},0,0,90,1,0.7072,0.413,0.0556,1,24724.0,PASS,0
A,a2_land_sweep,land_0q_3h,land_0q_3h_seed100104,100104,pass,"{""crops"": ""MELON"", ""land_quadrants"": 0, ""n_hands"": 3}",3000.0,27648.0,24648.0,31008.0,6240,120,0,0,0,0,0,"{""MELON"": 238}",{},0,0,90,1,0.7065,0.4108,0.0574,1,24648.0,PASS,0
A,a2_land_sweep,land_0q_3h,land_0q_3h_seed100105,100105,pass,"{""crops"": ""MELON"", ""land_quadrants"": 0, ""n_hands"": 3}",3000.0,27648.0,24648.0,31008.0,6240,120,0,0,0,0,0,"{""MELON"": 238}",{},0,0,90,1,0.7065,0.4108,0.0574,1,24648.0,PASS,0
A,a2_land_sweep,land_1q_0h,land_1q_0h_seed100100,100100,pass,"{""crops"": ""MELON"", ""land_quadrants"": 1, ""n_hands"": 0}",3000.0,21341.0,18341.0,21981.0,2640,0,1000,0,0,0,0,"{""MELON"": 92}",{},0,0,0,2,0.9903,0.5361,0.0583,1,18341.0,PASS,0
A,a2_land_sweep,land_1q_0h,land_1q_0h_seed100101,100101,pass,"{""crops"": ""MELON"", ""land_quadrants"": 1, ""n_hands"": 0}",3000.0,21341.0,18341.0,21981.0,2640,0,1000,0,0,0,0,"{""MELON"": 92}",{},0,0,0,2,0.9903,0.5361,0.0583,1,18341.0,PASS,0
A,a2_land_sweep,land_1q_0h,land_1q_0h_seed100102,100102,pass,"{""crops"": ""MELON"", ""land_quadrants"": 1, ""n_hands"": 0}",3000.0,21341.0,18341.0,21981.0,2640,0,1000,0,0,0,0,"{""MELON"": 92}",{},0,0,0,2,0.9903,0.5347,0.0583,1,18341.0,PASS,0
A,a2_land_sweep,land_1q_0h,land_1q_0h_seed100103,100103,pass,"{""crops"": ""MELON"", ""land_quadrants"": 1, ""n_hands"": 0}",3000.0,21341.0,18341.0,21981.0,2640,0,1000,0,0,0,0,"{""MELON"": 92}",{},0,0,0,2,0.9903,0.5361,0.0583,1,18341.0,PASS,0
A,a2_land_sweep,land_1q_0h,land_1q_0h_seed100104,100104,pass,"{""crops"": ""MELON"", ""land_quadrants"": 1, ""n_hands"": 0}",3000.0,21341.0,18341.0,21981.0,2640,0,1000,0,0,0,0,"{""MELON"": 92}",{},0,0,0,2,0.9903,0.5361,0.0583,1,18341.0,PASS,0
A,a2_land_sweep,land_1q_0h,land_1q_0h_seed100105,100105,pass,"{""crops"": ""MELON"", ""land_quadrants"": 1, ""n_hands"": 0}",3000.0,21341.0,18341.0,21981.0,2640,0,1000,0,0,0,0,"{""MELON"": 92}",{},0,0,0,2,0.9903,0.5347,0.0583,1,18341.0,PASS,0
