stage,group,cell_id,episode_id,seed,opponent,config_json,starting_money,final_money,profit,revenue_total,cost_seed,cost_hire,cost_land,cost_animal,cost_buy_wheat,cost_buy_fertilizer,cost_other,harvest_units_json,animal_units_json,animals_placed,animals_escaped,hands_hired_events,land_quadrants_end,productive_action_rate,movement_fraction,market_action_fraction,win,money_margin,validation_overall,inventory_overflow_flag
A,a3_animal_lifecycle,animal_GOOSE_1h,animal_GOOSE_1h_seed100200,100200,pass,"{""animals"": {""GOOSE"": 1}, ""feed_source"": ""market"", ""n_hands"": 1}",3000.0,4434.0,1434.0,2917.0,0,30,0,300,1153.0,0,0.0,{},"{""GOOSE"": 54}",1,0,30,1,0.1632,0.0603,0.0617,1,1434.0,PASS,0
A,a3_animal_lifecycle,animal_GOOSE_1h,animal_GOOSE_1h_seed100201,100201,pass,"{""animals"": {""GOOSE"": 1}, ""feed_source"": ""market"", ""n_hands"": 1}",3000.0,4259.0,1259.0,2552.0,0,30,0,300,963.0,0,0.0,{},"{""GOOSE"": 54}",1,0,30,1,0.1632,0.0603,0.0617,1,1259.0,PASS,0
A,a3_animal_lifecycle,animal_GOOSE_1h,animal_GOOSE_1h_seed100202,100202,pass,"{""animals"": {""GOOSE"": 1}, ""feed_source"": ""market"", ""n_hands"": 1}",3000.0,4289.0,1289.0,2698.0,0,30,0,300,1079.0,0,0.0,{},"{""GOOSE"": 54}",1,0,30,1,0.1632,0.0603,0.0617,1,1289.0,PASS,0
A,a3_animal_lifecycle,animal_GOOSE_1h,animal_GOOSE_1h_seed100203,100203,pass,"{""animals"": {""GOOSE"": 1}, ""feed_source"": ""market"", ""n_hands"": 1}",3000.0,4194.0,1194.0,2596.0,0,30,0,300,1072.0,0,0.0,{},"{""GOOSE"": 54}",1,0,30,1,0.1632,0.0603,0.0617,1,1194.0,PASS,0
A,a3_animal_lifecycle,animal_GOOSE_1h,animal_GOOSE_1h_seed100204,100204,pass,"{""animals"": {""GOOSE"": 1}, ""feed_source"": ""market"", ""n_hands"": 1}",3000.0,4488.0,1488.0,2978.0,0,30,0,300,1160.0,0,0.0,{},"{""GOOSE"": 54}",1,0,30,1,0.1632,0.0603,0.0617,1,1488.0,PASS,0
A,a3_animal_lifecycle,animal_GOOSE_1h,animal_GOOSE_1h_seed100205,100205,pass,"{""animals"": {""GOOSE"": 1}, ""feed_source"": ""market"", ""n_hands"": 1}",3000.0,4661.0,1661.0,3111.0,0,30,0,300,1120.0,0,0.0,{},"{""GOOSE"": 54}",1,0,30,1,0.1632,0.0603,0.0617,1,1661.0,PASS,0
A,a3_animal_lifecycle,animal_GOOSE_3h,animal_GOOSE_3h_seed100200,100200,pass,"{""animals"": {""GOOSE"": 1}, ""feed_source"": ""market"", ""n_hands"": 3}",3000.0,4344.0,1344.0,2917.0,0,120,0,300,1153.0,0,0.0,{},"{""GOOSE"": 54}",1,0,90,1,0.0825,0.0305,0.0527,1,1344.0,PASS,0
A,a3_animal_lifecycle,animal_GOOSE_3h,animal_GOOSE_3h_seed100201,100201,pass,"{""animals"": {""GOOSE"": 1}, ""feed_source"": ""market"", ""n_hands"": 3}",3000.0,4169.0,1169.0,2552.0,0,120,0,300,963.0,0,0.0,{},"{""GOOSE"": 54}",1,0,90,1,0.0825,0.0305,0.0527,1,1169.0,PASS,0
A,a3_animal_lifecycle,animal_GOOSE_3h,animal_GOOSE_3h_seed100202,100202,pass,"{""animals"": {""GOOSE"": 1}, ""feed_source"": ""market"", ""n_hands"": 3}",3000.0,4199.0,1199.0,2698.0,0,120,0,300,1079.0,0,0.0,{},"{""GOOSE"": 54}",1,0,90,1,0.0825,0.0305,0.0527,1,1199.0,PASS,0
A,a3_animal_lifecycle,animal_GOOSE_3h,animal_GOOSE_3h_seed100203,100203,pass,"{""animals"": {""GOOSE"": 1}, ""feed_source"": ""market"", ""n_hands"": 3}",3000.0,4104.0,1104.0,2596.0,0,120,0,300,1072.0,0,0.0,{},"{""GOOSE"": 54}",1,0,90,1,0.0825,0.0305,0.0527,1,1104.0,PASS,0
A,a3_animal_lifecycle,animal_GOOSE_3h,animal_GOOSE_3h_seed100204,100204,pass,"{""animals"": {""GOOSE"": 1}, ""feed_source"": ""market"", ""n_hands"": 3}",3000.0,4398.0,1398.0,2978.0,0,120,0,300,1160.0,0,0.0,{},"{""GOOSE"": 54}",1,0,90,1,0.0825,0.0305,0.0527,1,1398.0,PASS,0
A,a3_animal_lifecycle,animal_GOOSE_3h,animal_GOOSE_3h_seed100205,100205,pass,"{""animals"": {""GOOSE"": 1}, ""feed_source"": ""market"", ""n_hands"": 3}",3000.0,4571.0,1571.0,3111.0,0,120,0,300,1120.0,0,0.0,{},"{""GOOSE"": 54}",1,0,90,1,0.0825,0.0305,0.0527,1,1571.0,PASS,0
A,a3_animal_lifecycle,animal_COW_1h,animal_COW_1h_seed100200,100200,pass,"{""animals"": {""COW"": 1}, ""feed_source"": ""market"", ""n_hands"": 1}",3000.0,10132.0,7132.0,8715.0,0,30,0,400,1153.0,0,0.0,{},"{""COW"": 36}",1,0,30,1,0.1207,0.039,0.0511,1,7132.0,PASS,0
A,a3_animal_lifecycle,animal_COW_1h,animal_COW_1h_seed100201,100201,pass,"{""animals"": {""COW"": 1}, ""feed_source"": ""market"", ""n_hands"": 1}",3000.0,10952.0,7952.0,9345.0,0,30,0,400,963.0,0,0.0,{},"{""COW"": 36}",1,0,30,1,0.1207,0.039,0.0511,1,7952.0,PASS,0
A,a3_animal_lifecycle,animal_COW_1h,animal_COW_1h_seed100202,100202,pass,"{""animals"": {""COW"": 1}, ""feed_source"": ""market"", ""n_hands"": 1}",3000.0,10501.0,7501.0,9010.0,0,30,0,400,1079.0,0,0.0,{},"{""COW"": 36}",1,0,30,1,0.1207,0.039,0.0511,1,7501.0,PASS,0
A,a3_animal_lifecycle,animal_COW_1h,animal_COW_1h_seed100203,100203,pass,"{""animals"": {""COW"": 1}, ""feed_source"": ""market"", ""n_hands"": 1}",3000.0,10213.0,7213.0,8715.0,0,30,0,400,1072.0,0,0.0,{},"{""COW"": 36}",1,0,30,1,0.1207,0.039,0.0511,1,7213.0,PASS,0
A,a3_animal_lifecycle,animal_COW_1h,animal_COW_1h_seed100204,100204,pass,"{""animals"": {""COW"": 1}, ""feed_source"": ""market"", ""n_hands"": 1}",3000.0,10806.0,7806.0,9396.0,0,30,0,400,1160.0,0,0.0,{},"{""COW"": 36}",1,0,30,1,0.1207,0.039,0.0511,1,7806.0,PASS,0
A,a3_animal_lifecycle,animal_COW_1h,animal_COW_1h_seed100205,100205,pass,"{""animals"": {""COW"": 1}, ""feed_source"": ""market"", ""n_hands"": 1}",3000.0,9615.0,6615.0,8165.0,0,30,0,400,1120.0,0,0.0,{},"{""COW"": 36}",1,0,30,1,0.1207,0.039,0.0511,1,6615.0,PASS,0
A,a3_animal_lifecycle,animal_COW_3h,animal_COW_3h_seed100200,100200,pass,"{""animals"": {""COW"": 1}, ""feed_source"": ""market"", ""n_hands"": 3}",3000.0,10042.0,7042.0,8715.0,0,120,0,400,1153.0,0,0.0,{},"{""COW"": 36}",1,0,90,1,0.061,0.0197,0.0474,1,7042.0,PASS,0
A,a3_animal_lifecycle,animal_COW_3h,animal_COW_3h_seed100201,100201,pass,"{""animals"": {""COW"": 1}, ""feed_source"": ""market"", ""n_hands"": 3}",3000.0,10862.0,7862.0,9345.0,0,120,0,400,963.0,0,0.0,{},"{""COW"": 36}",1,0,90,1,0.061,0.0197,0.0474,1,7862.0,PASS,0
A,a3_animal_lifecycle,animal_COW_3h,animal_COW_3h_seed100202,100202,pass,"{""animals"": {""COW"": 1}, ""feed_source"": ""market"", ""n_hands"": 3}",3000.0,10411.0,7411.0,9010.0,0,120,0,400,1079.0,0,0.0,{},"{""COW"": 36}",1,0,90,1,0.061,0.0197,0.0474,1,7411.0,PASS,0
A,a3_animal_lifecycle,animal_COW_3h,animal_COW_3h_seed100203,100203,pass,"{""animals"": {""COW"": 1}, ""feed_source"": ""market"", ""n_hands"": 3}",3000.0,10123.0,7123.0,8715.0,0,120,0,400,1072.0,0,0.0,{},"{""COW"": 36}",1,0,90,1,0.061,0.0197,0.0474,1,7123.0,PASS,0
A,a3_animal_lifecycle,animal_COW_3h,animal_COW_3h_seed100204,100204,pass,"{""animals"": {""COW"": 1}, ""feed_source"": ""market"", ""n_hands"": 3}",3000.0,10716.0,7716.0,9396.0,0,120,0,400,1160.0,0,0.0,{},"{""COW"": 36}",1,0,90,1,0.061,0.0197,0.0474,1,7716.0,PASS,0
