stage,group,cell_id,episode_id,seed,opponent,config_json,starting_money,final_money,profit,revenue_total,cost_seed,cost_hire,cost_land,cost_animal,cost_buy_wheat,cost_buy_fertilizer,cost_other,harvest_units_json,animal_units_json,animals_placed,animals_escaped,hands_hired_events,land_quadrants_end,productive_action_rate,movement_fraction,market_action_fraction,win,money_margin,validation_overall,inventory_overflow_flag
A,a4_fertilizer_retest,fert_none_0h,fert_none_0h_seed100300,100300,pass,"{""crops"": ""MELON"", ""n_hands"": 0}",3000.0,22341.0,19341.0,21981.0,2640,0,0,0,0,0,0,"{""MELON"": 92}",{},0,0,0,1,0.9903,0.5361,0.0569,1,19341.0,PASS,0
A,a4_fertilizer_retest,fert_none_0h,fert_none_0h_seed100301,100301,pass,"{""crops"": ""MELON"", ""n_hands"": 0}",3000.0,22341.0,19341.0,21981.0,2640,0,0,0,0,0,0,"{""MELON"": 92}",{},0,0,0,1,0.9903,0.5361,0.0569,1,19341.0,PASS,0
A,a4_fertilizer_retest,fert_none_0h,fert_none_0h_seed100302,100302,pass,"{""crops"": ""MELON"", ""n_hands"": 0}",3000.0,22341.0,19341.0,21981.0,2640,0,0,0,0,0,0,"{""MELON"": 92}",{},0,0,0,1,0.9903,0.5361,0.0569,1,19341.0,PASS,0
A,a4_fertilizer_retest,fert_none_0h,fert_none_0h_seed100303,100303,pass,"{""crops"": ""MELON"", ""n_hands"": 0}",3000.0,22341.0,19341.0,21981.0,2640,0,0,0,0,0,0,"{""MELON"": 92}",{},0,0,0,1,0.9903,0.5361,0.0569,1,19341.0,PASS,0
A,a4_fertilizer_retest,fert_none_0h,fert_none_0h_seed100304,100304,pass,"{""crops"": ""MELON"", ""n_hands"": 0}",3000.0,22421.0,19421.0,21981.0,2560,0,0,0,0,0,0,"{""MELON"": 92}",{},0,0,0,1,0.9917,0.5375,0.0556,1,19421.0,PASS,0
A,a4_fertilizer_retest,fert_none_0h,fert_none_0h_seed100305,100305,pass,"{""crops"": ""MELON"", ""n_hands"": 0}",3000.0,22341.0,19341.0,21981.0,2640,0,0,0,0,0,0,"{""MELON"": 92}",{},0,0,0,1,0.9903,0.5347,0.0569,1,19341.0,PASS,0
A,a4_fertilizer_retest,fert_none_2h,fert_none_2h_seed100300,100300,pass,"{""crops"": ""MELON"", ""n_hands"": 2}",3000.0,27891.0,24891.0,31191.0,6240,60,0,0,0,0,0,"{""MELON"": 218}",{},0,0,60,1,0.867,0.4905,0.0648,1,24891.0,PASS,0
A,a4_fertilizer_retest,fert_none_2h,fert_none_2h_seed100301,100301,pass,"{""crops"": ""MELON"", ""n_hands"": 2}",3000.0,27891.0,24891.0,31191.0,6240,60,0,0,0,0,0,"{""MELON"": 218}",{},0,0,60,1,0.867,0.4905,0.0648,1,24891.0,PASS,0
A,a4_fertilizer_retest,fert_none_2h,fert_none_2h_seed100302,100302,pass,"{""crops"": ""MELON"", ""n_hands"": 2}",3000.0,27891.0,24891.0,31191.0,6240,60,0,0,0,0,0,"{""MELON"": 218}",{},0,0,60,1,0.867,0.4905,0.0648,1,24891.0,PASS,0
A,a4_fertilizer_retest,fert_none_2h,fert_none_2h_seed100303,100303,pass,"{""crops"": ""MELON"", ""n_hands"": 2}",3000.0,27891.0,24891.0,31191.0,6240,60,0,0,0,0,0,"{""MELON"": 218}",{},0,0,60,1,0.867,0.4905,0.0648,1,24891.0,PASS,0
