stage,group,cell_id,episode_id,seed,opponent,config_json,starting_money,final_money,profit,revenue_total,cost_seed,cost_hire,cost_land,cost_animal,cost_buy_wheat,cost_buy_fertilizer,cost_other,harvest_units_json,animal_units_json,animals_placed,animals_escaped,hands_hired_events,land_quadrants_end,productive_action_rate,movement_fraction,market_action_fraction,win,money_margin,validation_overall,inventory_overflow_flag
C,c1_land_x_labor,lxl_0q_0h,lxl_0q_0h_seed101000,101000,pass,"{""crops"": ""MELON"", ""land_quadrants"": 0, ""n_hands"": 0}",3000.0,22341.0,19341.0,21981.0,2640,0,0,0,0,0,0,"{""MELON"": 92}",{},0,0,0,1,0.9903,0.5361,0.0569,1,19341.0,PASS,0
C,c1_land_x_labor,lxl_0q_0h,lxl_0q_0h_seed101001,101001,pass,"{""crops"": ""MELON"", ""land_quadrants"": 0, ""n_hands"": 0}",3000.0,22341.0,19341.0,21981.0,2640,0,0,0,0,0,0,"{""MELON"": 92}",{},0,0,0,1,0.9903,0.5333,0.0569,1,19341.0,PASS,0
C,c1_land_x_labor,lxl_0q_0h,lxl_0q_0h_seed101002,101002,pass,"{""crops"": ""MELON"", ""land_quadrants"": 0, ""n_hands"": 0}",3000.0,22341.0,19341.0,21981.0,2640,0,0,0,0,0,0,"{""MELON"": 92}",{},0,0,0,1,0.9903,0.5361,0.0569,1,19341.0,PASS,0
C,c1_land_x_labor,lxl_0q_0h,lxl_0q_0h_seed101003,101003,pass,"{""crops"": ""MELON"", ""land_quadrants"": 0, ""n_hands"": 0}",3000.0,22341.0,19341.0,21981.0,2640,0,0,0,0,0,0,"{""MELON"": 92}",{},0,0,0,1,0.9903,0.5361,0.0569,1,19341.0,PASS,0
C,c1_land_x_labor,lxl_0q_0h,lxl_0q_0h_seed101004,101004,pass,"{""crops"": ""MELON"", ""land_quadrants"": 0, ""n_hands"": 0}",3000.0,21002.0,18002.0,20962.0,2960,0,0,0,0,0,0,"{""MELON"": 87}",{},0,0,0,1,0.9903,0.5417,0.0625,1,18002.0,PASS,0
C,c1_land_x_labor,lxl_0q_0h,lxl_0q_0h_seed101005,101005,pass,"{""crops"": ""MELON"", ""land_quadrants"": 0, ""n_hands"": 0}",3000.0,22341.0,19341.0,21981.0,2640,0,0,0,0,0,0,"{""MELON"": 92}",{},0,0,0,1,0.9903,0.5361,0.0569,1,19341.0,PASS,0
C,c1_land_x_labor,lxl_0q_0h,lxl_0q_0h_seed101006,101006,pass,"{""crops"": ""MELON"", ""land_quadrants"": 0, ""n_hands"": 0}",3000.0,22341.0,19341.0,21981.0,2640,0,0,0,0,0,0,"{""MELON"": 92}",{},0,0,0,1,0.9903,0.5361,0.0569,1,19341.0,PASS,0
C,c1_land_x_labor,lxl_0q_0h,lxl_0q_0h_seed101007,101007,pass,"{""crops"": ""MELON"", ""land_quadrants"": 0, ""n_hands"": 0}",3000.0,22341.0,19341.0,21981.0,2640,0,0,0,0,0,0,"{""MELON"": 92}",{},0,0,0,1,0.9903,0.5361,0.0569,1,19341.0,PASS,0
C,c1_land_x_labor,lxl_0q_2h,lxl_0q_2h_seed101000,101000,pass,"{""crops"": ""MELON"", ""land_quadrants"": 0, ""n_hands"": 2}",3000.0,27891.0,24891.0,31191.0,6240,60,0,0,0,0,0,"{""MELON"": 218}",{},0,0,60,1,0.867,0.4905,0.0648,1,24891.0,PASS,0
C,c1_land_x_labor,lxl_0q_2h,lxl_0q_2h_seed101001,101001,pass,"{""crops"": ""MELON"", ""land_quadrants"": 0, ""n_hands"": 2}",3000.0,27891.0,24891.0,31191.0,6240,60,0,0,0,0,0,"{""MELON"": 218}",{},0,0,60,1,0.867,0.4905,0.0648,1,24891.0,PASS,0
C,c1_land_x_labor,lxl_0q_2h,lxl_0q_2h_seed101002,101002,pass,"{""crops"": ""MELON"", ""land_quadrants"": 0, ""n_hands"": 2}",3000.0,27891.0,24891.0,31191.0,6240,60,0,0,0,0,0,"{""MELON"": 218}",{},0,0,60,1,0.867,0.4905,0.0648,1,24891.0,PASS,0
C,c1_land_x_labor,lxl_0q_2h,lxl_0q_2h_seed101003,101003,pass,"{""crops"": ""MELON"", ""land_quadrants"": 0, ""n_hands"": 2}",3000.0,27891.0,24891.0,31191.0,6240,60,0,0,0,0,0,"{""MELON"": 218}",{},0,0,60,1,0.867,0.4905,0.0648,1,24891.0,PASS,0
C,c1_land_x_labor,lxl_0q_2h,lxl_0q_2h_seed101004,101004,pass,"{""crops"": ""MELON"", ""land_quadrants"": 0, ""n_hands"": 2}",3000.0,27643.0,24643.0,31183.0,6480,60,0,0,0,0,0,"{""MELON"": 220}",{},0,0,60,1,0.867,0.4881,0.0672,1,24643.0,PASS,0
C,c1_land_x_labor,lxl_0q_2h,lxl_0q_2h_seed101005,101005,pass,"{""crops"": ""MELON"", ""land_quadrants"": 0, ""n_hands"": 2}",3000.0,27891.0,24891.0,31191.0,6240,60,0,0,0,0,0,"{""MELON"": 218}",{},0,0,60,1,0.867,0.4905,0.0648,1,24891.0,PASS,0
C,c1_land_x_labor,lxl_0q_2h,lxl_0q_2h_seed101006,101006,pass,"{""crops"": ""MELON"", ""land_quadrants"": 0, ""n_hands"": 2}",3000.0,28031.0,25031.0,31171.0,6080,60,0,0,0,0,0.0,"{""MELON"": 219}",{},0,0,60,1,0.8646,0.4881,0.0629,1,25031.0,PASS,0
C,c1_land_x_labor,lxl_0q_2h,lxl_0q_2h_seed101007,101007,pass,"{""crops"": ""MELON"", ""land_quadrants"": 0, ""n_hands"": 2}",3000.0,27891.0,24891.0,31191.0,6240,60,0,0,0,0,0,"{""MELON"": 218}",{},0,0,60,1,0.867,0.4905,0.0648,1,24891.0,PASS,0
C,c1_land_x_labor,lxl_0q_4h,lxl_0q_4h_seed101000,101000,pass,"{""crops"": ""MELON"", ""land_quadrants"": 0, ""n_hands"": 4}",3000.0,27619.0,24619.0,30989.0,6160,210,0,0,0,0,0,"{""MELON"": 240}",{},0,0,120,1,0.6165,0.3769,0.0541,1,24619.0,PASS,0
C,c1_land_x_labor,lxl_0q_4h,lxl_0q_4h_seed101001,101001,pass,"{""crops"": ""MELON"", ""land_quadrants"": 0, ""n_hands"": 4}",3000.0,27619.0,24619.0,30989.0,6160,210,0,0,0,0,0,"{""MELON"": 240}",{},0,0,120,1,0.6162,0.3769,0.0538,1,24619.0,PASS,0
C,c1_land_x_labor,lxl_0q_4h,lxl_0q_4h_seed101002,101002,pass,"{""crops"": ""MELON"", ""land_quadrants"": 0, ""n_hands"": 4}",3000.0,27619.0,24619.0,30989.0,6160,210,0,0,0,0,0,"{""MELON"": 240}",{},0,0,120,1,0.6162,0.3769,0.0538,1,24619.0,PASS,0
C,c1_land_x_labor,lxl_0q_4h,lxl_0q_4h_seed101003,101003,pass,"{""crops"": ""MELON"", ""land_quadrants"": 0, ""n_hands"": 4}",3000.0,27619.0,24619.0,30989.0,6160,210,0,0,0,0,0,"{""MELON"": 240}",{},0,0,120,1,0.6162,0.3769,0.0538,1,24619.0,PASS,0
C,c1_land_x_labor,lxl_0q_4h,lxl_0q_4h_seed101004,101004,pass,"{""crops"": ""MELON"", ""land_quadrants"": 0, ""n_hands"": 4}",3000.0,27619.0,24619.0,30989.0,6160,210,0,0,0,0,0,"{""MELON"": 240}",{},0,0,120,1,0.6165,0.3769,0.0541,1,24619.0,PASS,0
C,c1_land_x_labor,lxl_0q_4h,lxl_0q_4h_seed101005,101005,pass,"{""crops"": ""MELON"", ""land_quadrants"": 0, ""n_hands"": 4}",3000.0,27619.0,24619.0,30989.0,6160,210,0,0,0,0,0,"{""MELON"": 240}",{},0,0,120,1,0.6162,0.3769,0.0538,1,24619.0,PASS,0
