stage,group,cell_id,episode_id,seed,opponent,config_json,starting_money,final_money,profit,revenue_total,cost_seed,cost_hire,cost_land,cost_animal,cost_buy_wheat,cost_buy_fertilizer,cost_other,harvest_units_json,animal_units_json,animals_placed,animals_escaped,hands_hired_events,land_quadrants_end,productive_action_rate,movement_fraction,market_action_fraction,win,money_margin,validation_overall,inventory_overflow_flag
C,c2_labor_x_crop,lxc_WHEAT_0h,lxc_WHEAT_0h_seed101100,101100,pass,"{""crops"": ""WHEAT"", ""n_hands"": 0}",3000.0,6400.0,3400.0,4900.0,1500,0,0,0,0,0,0,"{""WHEAT"": 138}",{},0,0,0,1,0.9611,0.3458,0.2458,1,3400.0,PASS,0
C,c2_labor_x_crop,lxc_WHEAT_0h,lxc_WHEAT_0h_seed101101,101101,pass,"{""crops"": ""WHEAT"", ""n_hands"": 0}",3000.0,5483.0,2483.0,3983.0,1500,0,0,0,0,0,0,"{""WHEAT"": 137}",{},0,0,0,1,0.9625,0.3458,0.2458,1,2483.0,PASS,0
C,c2_labor_x_crop,lxc_WHEAT_0h,lxc_WHEAT_0h_seed101102,101102,pass,"{""crops"": ""WHEAT"", ""n_hands"": 0}",3000.0,6196.0,3196.0,4696.0,1500,0,0,0,0,0,0,"{""WHEAT"": 138}",{},0,0,0,1,0.9625,0.3458,0.2458,1,3196.0,PASS,0
C,c2_labor_x_crop,lxc_WHEAT_0h,lxc_WHEAT_0h_seed101103,101103,pass,"{""crops"": ""WHEAT"", ""n_hands"": 0}",3000.0,6355.0,3355.0,4855.0,1500,0,0,0,0,0,0,"{""WHEAT"": 138}",{},0,0,0,1,0.9611,0.3458,0.2458,1,3355.0,PASS,0
C,c2_labor_x_crop,lxc_WHEAT_0h,lxc_WHEAT_0h_seed101104,101104,pass,"{""crops"": ""WHEAT"", ""n_hands"": 0}",3000.0,6024.0,3024.0,4524.0,1500,0,0,0,0,0,0,"{""WHEAT"": 138}",{},0,0,0,1,0.9625,0.3458,0.2458,1,3024.0,PASS,0
C,c2_labor_x_crop,lxc_WHEAT_0h,lxc_WHEAT_0h_seed101105,101105,pass,"{""crops"": ""WHEAT"", ""n_hands"": 0}",3000.0,5836.0,2836.0,4336.0,1500,0,0,0,0,0,0,"{""WHEAT"": 138}",{},0,0,0,1,0.9611,0.3458,0.2458,1,2836.0,PASS,0
C,c2_labor_x_crop,lxc_WHEAT_0h,lxc_WHEAT_0h_seed101106,101106,pass,"{""crops"": ""WHEAT"", ""n_hands"": 0}",3000.0,6004.0,3004.0,4504.0,1500,0,0,0,0,0,0,"{""WHEAT"": 138}",{},0,0,0,1,0.9611,0.3458,0.2458,1,3004.0,PASS,0
C,c2_labor_x_crop,lxc_WHEAT_0h,lxc_WHEAT_0h_seed101107,101107,pass,"{""crops"": ""WHEAT"", ""n_hands"": 0}",3000.0,6345.0,3345.0,4825.0,1480,0,0,0,0,0,0,"{""WHEAT"": 137}",{},0,0,0,1,0.9625,0.35,0.2431,1,3345.0,PASS,0
C,c2_labor_x_crop,lxc_WHEAT_2h,lxc_WHEAT_2h_seed101100,101100,pass,"{""crops"": ""WHEAT"", ""n_hands"": 2}",3000.0,7064.0,4064.0,7174.0,3050,60,0,0,0,0,0,"{""WHEAT"": 279}",{},0,0,60,1,0.9847,0.4719,0.1578,1,4064.0,PASS,0
C,c2_labor_x_crop,lxc_WHEAT_2h,lxc_WHEAT_2h_seed101101,101101,pass,"{""crops"": ""WHEAT"", ""n_hands"": 2}",3000.0,5778.0,2778.0,5888.0,3050,60,0,0,0,0,0,"{""WHEAT"": 279}",{},0,0,60,1,0.9847,0.4719,0.1578,1,2778.0,PASS,0
C,c2_labor_x_crop,lxc_WHEAT_2h,lxc_WHEAT_2h_seed101102,101102,pass,"{""crops"": ""WHEAT"", ""n_hands"": 2}",3000.0,6365.0,3365.0,6435.0,3010,60,0,0,0,0,0,"{""WHEAT"": 277}",{},0,0,60,1,0.9867,0.4795,0.1635,1,3365.0,PASS,0
C,c2_labor_x_crop,lxc_WHEAT_2h,lxc_WHEAT_2h_seed101103,101103,pass,"{""crops"": ""WHEAT"", ""n_hands"": 2}",3000.0,7882.0,4882.0,7992.0,3050,60,0,0,0,0,0,"{""WHEAT"": 279}",{},0,0,60,1,0.9847,0.4719,0.1578,1,4882.0,PASS,0
C,c2_labor_x_crop,lxc_WHEAT_2h,lxc_WHEAT_2h_seed101104,101104,pass,"{""crops"": ""WHEAT"", ""n_hands"": 2}",3000.0,7818.0,4818.0,7928.0,3050,60,0,0,0,0,0,"{""WHEAT"": 279}",{},0,0,60,1,0.9847,0.4719,0.1578,1,4818.0,PASS,0
C,c2_labor_x_crop,lxc_WHEAT_2h,lxc_WHEAT_2h_seed101105,101105,pass,"{""crops"": ""WHEAT"", ""n_hands"": 2}",3000.0,8183.0,5183.0,8283.0,3040,60,0,0,0,0,0,"{""WHEAT"": 279}",{},0,0,60,1,0.9847,0.4719,0.1821,1,5183.0,PASS,0
C,c2_labor_x_crop,lxc_WHEAT_2h,lxc_WHEAT_2h_seed101106,101106,pass,"{""crops"": ""WHEAT"", ""n_hands"": 2}",3000.0,6853.0,3853.0,6963.0,3050,60,0,0,0,0,0,"{""WHEAT"": 279}",{},0,0,60,1,0.9847,0.4719,0.1578,1,3853.0,PASS,0
C,c2_labor_x_crop,lxc_WHEAT_2h,lxc_WHEAT_2h_seed101107,101107,pass,"{""crops"": ""WHEAT"", ""n_hands"": 2}",3000.0,9056.0,6056.0,9166.0,3050,60,0,0,0,0,0,"{""WHEAT"": 279}",{},0,0,60,1,0.9847,0.4719,0.1578,1,6056.0,PASS,0
C,c2_labor_x_crop,lxc_WHEAT_4h,lxc_WHEAT_4h_seed101100,101100,pass,"{""crops"": ""WHEAT"", ""n_hands"": 4}",3000.0,6144.0,3144.0,6984.0,3630,210,0,0,0,0,0,"{""WHEAT"": 336}",{},0,0,120,1,0.9453,0.5368,0.1292,1,3144.0,PASS,0
C,c2_labor_x_crop,lxc_WHEAT_4h,lxc_WHEAT_4h_seed101101,101101,pass,"{""crops"": ""WHEAT"", ""n_hands"": 4}",3000.0,6342.0,3342.0,7182.0,3630,210,0,0,0,0,0,"{""WHEAT"": 336}",{},0,0,120,1,0.9453,0.5368,0.1292,1,3342.0,PASS,0
C,c2_labor_x_crop,lxc_WHEAT_4h,lxc_WHEAT_4h_seed101102,101102,pass,"{""crops"": ""WHEAT"", ""n_hands"": 4}",3000.0,9091.0,6091.0,9931.0,3630,210,0,0,0,0,0,"{""WHEAT"": 336}",{},0,0,120,1,0.9453,0.5368,0.1292,1,6091.0,PASS,0
C,c2_labor_x_crop,lxc_WHEAT_4h,lxc_WHEAT_4h_seed101103,101103,pass,"{""crops"": ""WHEAT"", ""n_hands"": 4}",3000.0,9513.0,6513.0,10353.0,3630,210,0,0,0,0,0,"{""WHEAT"": 336}",{},0,0,120,1,0.9453,0.5368,0.1292,1,6513.0,PASS,0
C,c2_labor_x_crop,lxc_WHEAT_4h,lxc_WHEAT_4h_seed101104,101104,pass,"{""crops"": ""WHEAT"", ""n_hands"": 4}",3000.0,9513.0,6513.0,10353.0,3630,210,0,0,0,0,0,"{""WHEAT"": 336}",{},0,0,120,1,0.9453,0.5368,0.1292,1,6513.0,PASS,0
C,c2_labor_x_crop,lxc_WHEAT_4h,lxc_WHEAT_4h_seed101105,101105,pass,"{""crops"": ""WHEAT"", ""n_hands"": 4}",3000.0,8537.0,5537.0,9377.0,3630,210,0,0,0,0,0,"{""WHEAT"": 336}",{},0,0,120,1,0.9453,0.5368,0.1292,1,5537.0,PASS,0
C,c2_labor_x_crop,lxc_WHEAT_4h,lxc_WHEAT_4h_seed101106,101106,pass,"{""crops"": ""WHEAT"", ""n_hands"": 4}",3000.0,8956.0,5956.0,9796.0,3630,210,0,0,0,0,0,"{""WHEAT"": 336}",{},0,0,120,1,0.9453,0.5368,0.1292,1,5956.0,PASS,0
C,c2_labor_x_crop,lxc_WHEAT_4h,lxc_WHEAT_4h_seed101107,101107,pass,"{""crops"": ""WHEAT"", ""n_hands"": 4}",3000.0,8399.0,5399.0,9239.0,3630,210,0,0,0,0,0,"{""WHEAT"": 336}",{},0,0,120,1,0.9453,0.5368,0.1292,1,5399.0,PASS,0
C,c2_labor_x_crop,lxc_MELON_0h,lxc_MELON_0h_seed101100,101100,pass,"{""crops"": ""MELON"", ""n_hands"": 0}",3000.0,22341.0,19341.0,21981.0,2640,0,0,0,0,0,0,"{""MELON"": 92}",{},0,0,0,1,0.9903,0.5361,0.0569,1,19341.0,PASS,0
C,c2_labor_x_crop,lxc_MELON_0h,lxc_MELON_0h_seed101101,101101,pass,"{""crops"": ""MELON"", ""n_hands"": 0}",3000.0,22341.0,19341.0,21981.0,2640,0,0,0,0,0,0,"{""MELON"": 92}",{},0,0,0,1,0.9903,0.5347,0.0569,1,19341.0,PASS,0
C,c2_labor_x_crop,lxc_MELON_0h,lxc_MELON_0h_seed101102,101102,pass,"{""crops"": ""MELON"", ""n_hands"": 0}",3000.0,22341.0,19341.0,21981.0,2640,0,0,0,0,0,0,"{""MELON"": 92}",{},0,0,0,1,0.9903,0.5347,0.0569,1,19341.0,PASS,0
