stage,group,cell_id,episode_id,seed,opponent,config_json,starting_money,final_money,profit,revenue_total,cost_seed,cost_hire,cost_land,cost_animal,cost_buy_wheat,cost_buy_fertilizer,cost_other,harvest_units_json,animal_units_json,animals_placed,animals_escaped,hands_hired_events,land_quadrants_end,productive_action_rate,movement_fraction,market_action_fraction,win,money_margin,validation_overall,inventory_overflow_flag
C,c3_animal_x_crop,axc_crop_only,axc_crop_only_seed101200,101200,pass,"{""crops"": ""MELON"", ""n_hands"": 2}",3000.0,27891.0,24891.0,31191.0,6240,60,0,0,0,0,0,"{""MELON"": 218}",{},0,0,60,1,0.867,0.4905,0.0648,1,24891.0,PASS,0
C,c3_animal_x_crop,axc_crop_only,axc_crop_only_seed101201,101201,pass,"{""crops"": ""MELON"", ""n_hands"": 2}",3000.0,27891.0,24891.0,31191.0,6240,60,0,0,0,0,0,"{""MELON"": 218}",{},0,0,60,1,0.867,0.4905,0.0648,1,24891.0,PASS,0
C,c3_animal_x_crop,axc_crop_only,axc_crop_only_seed101202,101202,pass,"{""crops"": ""MELON"", ""n_hands"": 2}",3000.0,27891.0,24891.0,31191.0,6240,60,0,0,0,0,0,"{""MELON"": 218}",{},0,0,60,1,0.867,0.4905,0.0648,1,24891.0,PASS,0
C,c3_animal_x_crop,axc_crop_only,axc_crop_only_seed101203,101203,pass,"{""crops"": ""MELON"", ""n_hands"": 2}",3000.0,27891.0,24891.0,31191.0,6240,60,0,0,0,0,0,"{""MELON"": 218}",{},0,0,60,1,0.867,0.4905,0.0648,1,24891.0,PASS,0
C,c3_animal_x_crop,axc_crop_only,axc_crop_only_seed101204,101204,pass,"{""crops"": ""MELON"", ""n_hands"": 2}",3000.0,27891.0,24891.0,31191.0,6240,60,0,0,0,0,0,"{""MELON"": 218}",{},0,0,60,1,0.867,0.4905,0.0648,1,24891.0,PASS,0
C,c3_animal_x_crop,axc_crop_only,axc_crop_only_seed101205,101205,pass,"{""crops"": ""MELON"", ""n_hands"": 2}",3000.0,27971.0,24971.0,31191.0,6160,60,0,0,0,0,0,"{""MELON"": 218}",{},0,0,60,1,0.8675,0.4914,0.0653,1,24971.0,PASS,0
C,c3_animal_x_crop,axc_crop_only,axc_crop_only_seed101206,101206,pass,"{""crops"": ""MELON"", ""n_hands"": 2}",3000.0,27891.0,24891.0,31191.0,6240,60,0,0,0,0,0,"{""MELON"": 218}",{},0,0,60,1,0.867,0.4905,0.0648,1,24891.0,PASS,0
C,c3_animal_x_crop,axc_crop_only,axc_crop_only_seed101207,101207,pass,"{""crops"": ""MELON"", ""n_hands"": 2}",3000.0,27891.0,24891.0,31191.0,6240,60,0,0,0,0,0,"{""MELON"": 218}",{},0,0,60,1,0.867,0.4905,0.0648,1,24891.0,PASS,0
C,c3_animal_x_crop,axc_animal_only,axc_animal_only_seed101200,101200,pass,"{""animal_buy_day"": 0, ""animals"": {""GOOSE"": 1}, ""feed_source"": ""market"", ""n_hands"": 2}",3000.0,4392.0,1392.0,2815.0,0,60,0,300,1063.0,0,0.0,{},"{""GOOSE"": 54}",1,0,60,1,0.1096,0.0405,0.0558,1,1392.0,PASS,0
C,c3_animal_x_crop,axc_animal_only,axc_animal_only_seed101201,101201,pass,"{""animal_buy_day"": 0, ""animals"": {""GOOSE"": 1}, ""feed_source"": ""market"", ""n_hands"": 2}",3000.0,4214.0,1214.0,2698.0,0,60,0,300,1124.0,0,0.0,{},"{""GOOSE"": 54}",1,0,60,1,0.1096,0.0405,0.0558,1,1214.0,PASS,0
C,c3_animal_x_crop,axc_animal_only,axc_animal_only_seed101202,101202,pass,"{""animal_buy_day"": 0, ""animals"": {""GOOSE"": 1}, ""feed_source"": ""market"", ""n_hands"": 2}",3000.0,4441.0,1441.0,2870.0,0,60,0,300,1069.0,0,0.0,{},"{""GOOSE"": 54}",1,0,60,1,0.1096,0.0405,0.0558,1,1441.0,PASS,0
C,c3_animal_x_crop,axc_animal_only,axc_animal_only_seed101203,101203,pass,"{""animal_buy_day"": 0, ""animals"": {""GOOSE"": 1}, ""feed_source"": ""market"", ""n_hands"": 2}",3000.0,4242.0,1242.0,2748.0,0,60,0,300,1146.0,0,0.0,{},"{""GOOSE"": 54}",1,0,60,1,0.1096,0.0405,0.0558,1,1242.0,PASS,0
C,c3_animal_x_crop,axc_animal_only,axc_animal_only_seed101204,101204,pass,"{""animal_buy_day"": 0, ""animals"": {""GOOSE"": 1}, ""feed_source"": ""market"", ""n_hands"": 2}",3000.0,4446.0,1446.0,2815.0,0,60,0,300,1009.0,0,0.0,{},"{""GOOSE"": 54}",1,0,60,1,0.1096,0.0405,0.0558,1,1446.0,PASS,0
C,c3_animal_x_crop,axc_animal_only,axc_animal_only_seed101205,101205,pass,"{""animal_buy_day"": 0, ""animals"": {""GOOSE"": 1}, ""feed_source"": ""market"", ""n_hands"": 2}",3000.0,4803.0,1803.0,3306.0,0,60,0,300,1143.0,0,0.0,{},"{""GOOSE"": 54}",1,0,60,1,0.1096,0.0405,0.0558,1,1803.0,PASS,0
C,c3_animal_x_crop,axc_animal_only,axc_animal_only_seed101206,101206,pass,"{""animal_buy_day"": 0, ""animals"": {""GOOSE"": 1}, ""feed_source"": ""market"", ""n_hands"": 2}",3000.0,4454.0,1454.0,2929.0,0,60,0,300,1115.0,0,0.0,{},"{""GOOSE"": 54}",1,0,60,1,0.1096,0.0405,0.0558,1,1454.0,PASS,0
C,c3_animal_x_crop,axc_animal_only,axc_animal_only_seed101207,101207,pass,"{""animal_buy_day"": 0, ""animals"": {""GOOSE"": 1}, ""feed_source"": ""market"", ""n_hands"": 2}",3000.0,4555.0,1555.0,3056.0,0,60,0,300,1141.0,0,0.0,{},"{""GOOSE"": 54}",1,0,60,1,0.1096,0.0405,0.0558,1,1555.0,PASS,0
