stage,group,cell_id,episode_id,seed,opponent,config_json,starting_money,final_money,profit,revenue_total,cost_seed,cost_hire,cost_land,cost_animal,cost_buy_wheat,cost_buy_fertilizer,cost_other,harvest_units_json,animal_units_json,animals_placed,animals_escaped,hands_hired_events,land_quadrants_end,productive_action_rate,movement_fraction,market_action_fraction,win,money_margin,validation_overall,inventory_overflow_flag
C,c4_animal_x_fertilizer,axf_off_1h,axf_off_1h_seed101300,101300,pass,"{""animal_buy_day"": 0, ""animals"": {""GOOSE"": 1}, ""crops"": ""MELON"", ""n_hands"": 1}",3000.0,26661.0,23661.0,30169.0,5680,30,0,600,198.0,0,0.0,"{""MELON"": 141}","{""GOOSE"": 9}",1,1,30,1,0.9922,0.5295,0.088,1,23661.0,PASS,0
C,c4_animal_x_fertilizer,axf_off_1h,axf_off_1h_seed101301,101301,pass,"{""animal_buy_day"": 0, ""animals"": {""GOOSE"": 1}, ""crops"": ""MELON"", ""n_hands"": 1}",3000.0,26581.0,23581.0,30169.0,5760,30,0,600,198.0,0,0.0,"{""MELON"": 141}","{""GOOSE"": 9}",1,1,30,1,0.9908,0.5273,0.088,1,23581.0,PASS,0
C,c4_animal_x_fertilizer,axf_off_1h,axf_off_1h_seed101302,101302,pass,"{""animal_buy_day"": 0, ""animals"": {""GOOSE"": 1}, ""crops"": ""MELON"", ""n_hands"": 1}",3000.0,27513.0,24513.0,30696.0,5360,30,0,600,193.0,0,0.0,"{""MELON"": 146}","{""GOOSE"": 9}",1,1,30,1,0.995,0.5429,0.0859,1,24513.0,PASS,0
C,c4_animal_x_fertilizer,axf_off_1h,axf_off_1h_seed101303,101303,pass,"{""animal_buy_day"": 0, ""animals"": {""GOOSE"": 1}, ""crops"": ""MELON"", ""n_hands"": 1}",3000.0,26581.0,23581.0,30169.0,5760,30,0,600,198.0,0,0.0,"{""MELON"": 141}","{""GOOSE"": 9}",1,1,30,1,0.9908,0.528,0.0887,1,23581.0,PASS,0
C,c4_animal_x_fertilizer,axf_off_1h,axf_off_1h_seed101304,101304,pass,"{""animal_buy_day"": 0, ""animals"": {""GOOSE"": 1}, ""crops"": ""MELON"", ""n_hands"": 1}",3000.0,26570.0,23570.0,30158.0,5760,30,0,600,198.0,0,0.0,"{""MELON"": 141}","{""GOOSE"": 9}",1,1,30,1,0.9908,0.528,0.0887,1,23570.0,PASS,0
C,c4_animal_x_fertilizer,axf_off_1h,axf_off_1h_seed101305,101305,pass,"{""animal_buy_day"": 0, ""animals"": {""GOOSE"": 1}, ""crops"": ""MELON"", ""n_hands"": 1}",3000.0,26570.0,23570.0,30158.0,5760,30,0,600,198.0,0,0.0,"{""MELON"": 141}","{""GOOSE"": 9}",1,1,30,1,0.9908,0.528,0.0887,1,23570.0,PASS,0
C,c4_animal_x_fertilizer,axf_off_1h,axf_off_1h_seed101306,101306,pass,"{""animal_buy_day"": 0, ""animals"": {""GOOSE"": 1}, ""crops"": ""MELON"", ""n_hands"": 1}",3000.0,26570.0,23570.0,30158.0,5760,30,0,600,198.0,0,0.0,"{""MELON"": 141}","{""GOOSE"": 9}",1,1,30,1,0.9908,0.528,0.0887,1,23570.0,PASS,0
C,c4_animal_x_fertilizer,axf_off_1h,axf_off_1h_seed101307,101307,pass,"{""animal_buy_day"": 0, ""animals"": {""GOOSE"": 1}, ""crops"": ""MELON"", ""n_hands"": 1}",3000.0,26583.0,23583.0,30171.0,5760,30,0,600,198.0,0,0.0,"{""MELON"": 141}","{""GOOSE"": 9}",1,1,30,1,0.9908,0.528,0.0887,1,23583.0,PASS,0
C,c4_animal_x_fertilizer,axf_off_3h,axf_off_3h_seed101300,101300,pass,"{""animal_buy_day"": 0, ""animals"": {""GOOSE"": 1}, ""crops"": ""MELON"", ""n_hands"": 3}",3000.0,28561.0,25561.0,33135.4673,5840,120,0,600,1014.4674,0,0.0,"{""MELON"": 229}","{""GOOSE"": 44}",2,1,90,1,0.7966,0.4679,0.0714,1,25561.0,PARTIAL,0
C,c4_animal_x_fertilizer,axf_off_3h,axf_off_3h_seed101301,101301,pass,"{""animal_buy_day"": 0, ""animals"": {""GOOSE"": 1}, ""crops"": ""MELON"", ""n_hands"": 3}",3000.0,28538.0,25538.0,33160.8487,5840,120,0,600,1018.8488,0,0.0,"{""MELON"": 229}","{""GOOSE"": 44}",2,1,90,1,0.7908,0.4629,0.0718,1,25538.0,PARTIAL,0
C,c4_animal_x_fertilizer,axf_off_3h,axf_off_3h_seed101302,101302,pass,"{""animal_buy_day"": 0, ""animals"": {""GOOSE"": 1}, ""crops"": ""MELON"", ""n_hands"": 3}",3000.0,28928.0,25928.0,33376.796,6000,120,0,300,1028.796,0,0.0,"{""MELON"": 229}","{""GOOSE"": 50}",1,0,90,1,0.8102,0.4787,0.0736,1,25928.0,PASS,0
C,c4_animal_x_fertilizer,axf_off_3h,axf_off_3h_seed101303,101303,pass,"{""animal_buy_day"": 0, ""animals"": {""GOOSE"": 1}, ""crops"": ""MELON"", ""n_hands"": 3}",3000.0,28758.0,25758.0,33218.2706,5840,120,0,600,870.2707,0,0.0,"{""MELON"": 229}","{""GOOSE"": 44}",2,1,90,1,0.7908,0.4629,0.0718,1,25758.0,PARTIAL,0
C,c4_animal_x_fertilizer,axf_off_3h,axf_off_3h_seed101304,101304,pass,"{""animal_buy_day"": 0, ""animals"": {""GOOSE"": 1}, ""crops"": ""MELON"", ""n_hands"": 3}",3000.0,29382.0,26382.0,33690.8162,5920,120,0,300,968.8162,0,0.0,"{""MELON"": 228}","{""GOOSE"": 50}",1,0,90,1,0.8066,0.4754,0.0732,1,26382.0,PASS,0
C,c4_animal_x_fertilizer,axf_off_3h,axf_off_3h_seed101305,101305,pass,"{""animal_buy_day"": 0, ""animals"": {""GOOSE"": 1}, ""crops"": ""MELON"", ""n_hands"": 3}",3000.0,28825.0,25825.0,33418.9083,5840,120,0,600,991.9083,0,0.0,"{""MELON"": 229}","{""GOOSE"": 44}",2,1,90,1,0.7908,0.4629,0.0718,1,25825.0,PARTIAL,0
C,c4_animal_x_fertilizer,axf_off_3h,axf_off_3h_seed101306,101306,pass,"{""animal_buy_day"": 0, ""animals"": {""GOOSE"": 1}, ""crops"": ""MELON"", ""n_hands"": 3}",3000.0,29460.0,26460.0,33802.6079,5920,120,0,300,1002.608,0,0.0,"{""MELON"": 228}","{""GOOSE"": 50}",1,0,90,1,0.8066,0.4754,0.0732,1,26460.0,PARTIAL,0
