stage,group,cell_id,episode_id,seed,opponent,config_json,starting_money,final_money,profit,revenue_total,cost_seed,cost_hire,cost_land,cost_animal,cost_buy_wheat,cost_buy_fertilizer,cost_other,harvest_units_json,animal_units_json,animals_placed,animals_escaped,hands_hired_events,land_quadrants_end,productive_action_rate,movement_fraction,market_action_fraction,win,money_margin,validation_overall,inventory_overflow_flag
C,c5_capital_x_horizon,cxh_land_day0,cxh_land_day0_seed101400,101400,pass,"{""crops"": ""MELON"", ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 2}",3000.0,25040.0,22040.0,31500.0,8400,60,1000,0,0,0,0,"{""MELON"": 206}",{},0,0,60,2,0.9323,0.5396,0.071,1,22040.0,PASS,0
C,c5_capital_x_horizon,cxh_land_day0,cxh_land_day0_seed101401,101401,pass,"{""crops"": ""MELON"", ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 2}",3000.0,25040.0,22040.0,31500.0,8400,60,1000,0,0,0,0,"{""MELON"": 206}",{},0,0,60,2,0.9218,0.5286,0.072,1,22040.0,PASS,0
C,c5_capital_x_horizon,cxh_land_day0,cxh_land_day0_seed101402,101402,pass,"{""crops"": ""MELON"", ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 2}",3000.0,25145.0,22145.0,31525.0,8320,60,1000,0,0,0,0,"{""MELON"": 225}",{},0,0,60,2,0.9433,0.5562,0.0744,1,22145.0,PASS,0
C,c5_capital_x_horizon,cxh_land_day0,cxh_land_day0_seed101403,101403,pass,"{""crops"": ""MELON"", ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 2}",3000.0,25040.0,22040.0,31500.0,8400,60,1000,0,0,0,0,"{""MELON"": 206}",{},0,0,60,2,0.9228,0.5291,0.072,1,22040.0,PASS,0
C,c5_capital_x_horizon,cxh_land_day0,cxh_land_day0_seed101404,101404,pass,"{""crops"": ""MELON"", ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 2}",3000.0,25040.0,22040.0,31500.0,8400,60,1000,0,0,0,0,"{""MELON"": 206}",{},0,0,60,2,0.9252,0.5324,0.071,1,22040.0,PASS,0
C,c5_capital_x_horizon,cxh_land_day0,cxh_land_day0_seed101405,101405,pass,"{""crops"": ""MELON"", ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 2}",3000.0,25318.0,22318.0,31538.0,8160,60,1000,0,0,0,0,"{""MELON"": 217}",{},0,0,60,2,0.9457,0.5515,0.072,1,22318.0,PASS,0
C,c5_capital_x_horizon,cxh_land_day0,cxh_land_day0_seed101406,101406,pass,"{""crops"": ""MELON"", ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 2}",3000.0,25040.0,22040.0,31500.0,8400,60,1000,0,0,0,0,"{""MELON"": 206}",{},0,0,60,2,0.919,0.5262,0.072,1,22040.0,PASS,0
C,c5_capital_x_horizon,cxh_land_day0,cxh_land_day0_seed101407,101407,pass,"{""crops"": ""MELON"", ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 2}",3000.0,25040.0,22040.0,31500.0,8400,60,1000,0,0,0,0,"{""MELON"": 206}",{},0,0,60,2,0.9233,0.5296,0.071,1,22040.0,PASS,0
C,c5_capital_x_horizon,cxh_land_day10,cxh_land_day10_seed101400,101400,pass,"{""crops"": ""MELON"", ""land_buy_day"": 10, ""land_quadrants"": 1, ""n_hands"": 2}",3000.0,25137.0,22137.0,31197.0,8000,60,1000,0,0,0,0,"{""MELON"": 221}",{},0,0,60,2,0.9452,0.5372,0.0739,1,22137.0,PASS,0
C,c5_capital_x_horizon,cxh_land_day10,cxh_land_day10_seed101401,101401,pass,"{""crops"": ""MELON"", ""land_buy_day"": 10, ""land_quadrants"": 1, ""n_hands"": 2}",3000.0,25137.0,22137.0,31197.0,8000,60,1000,0,0,0,0,"{""MELON"": 221}",{},0,0,60,2,0.9452,0.5372,0.0739,1,22137.0,PASS,0
C,c5_capital_x_horizon,cxh_land_day10,cxh_land_day10_seed101402,101402,pass,"{""crops"": ""MELON"", ""land_buy_day"": 10, ""land_quadrants"": 1, ""n_hands"": 2}",3000.0,24897.0,21897.0,31197.0,8240,60,1000,0,0,0,0,"{""MELON"": 221}",{},0,0,60,2,0.9457,0.5362,0.0734,1,21897.0,PASS,0
C,c5_capital_x_horizon,cxh_land_day10,cxh_land_day10_seed101403,101403,pass,"{""crops"": ""MELON"", ""land_buy_day"": 10, ""land_quadrants"": 1, ""n_hands"": 2}",3000.0,24977.0,21977.0,31197.0,8160,60,1000,0,0,0,0,"{""MELON"": 221}",{},0,0,60,2,0.9457,0.5372,0.0734,1,21977.0,PASS,0
C,c5_capital_x_horizon,cxh_land_day10,cxh_land_day10_seed101404,101404,pass,"{""crops"": ""MELON"", ""land_buy_day"": 10, ""land_quadrants"": 1, ""n_hands"": 2}",3000.0,25137.0,22137.0,31197.0,8000,60,1000,0,0,0,0,"{""MELON"": 221}",{},0,0,60,2,0.9452,0.5372,0.0739,1,22137.0,PASS,0
C,c5_capital_x_horizon,cxh_land_day10,cxh_land_day10_seed101405,101405,pass,"{""crops"": ""MELON"", ""land_buy_day"": 10, ""land_quadrants"": 1, ""n_hands"": 2}",3000.0,25282.0,22282.0,31262.0,7920,60,1000,0,0,0,0,"{""MELON"": 223}",{},0,0,60,2,0.9457,0.54,0.072,1,22282.0,PASS,0
C,c5_capital_x_horizon,cxh_land_day10,cxh_land_day10_seed101406,101406,pass,"{""crops"": ""MELON"", ""land_buy_day"": 10, ""land_quadrants"": 1, ""n_hands"": 2}",3000.0,25137.0,22137.0,31197.0,8000,60,1000,0,0,0,0,"{""MELON"": 221}",{},0,0,60,2,0.9452,0.5372,0.0739,1,22137.0,PASS,0
C,c5_capital_x_horizon,cxh_land_day10,cxh_land_day10_seed101407,101407,pass,"{""crops"": ""MELON"", ""land_buy_day"": 10, ""land_quadrants"": 1, ""n_hands"": 2}",3000.0,25137.0,22137.0,31197.0,8000,60,1000,0,0,0,0,"{""MELON"": 221}",{},0,0,60,2,0.9452,0.5372,0.0739,1,22137.0,PASS,0
C,c5_capital_x_horizon,cxh_land_day20,cxh_land_day20_seed101400,101400,pass,"{""crops"": ""MELON"", ""land_buy_day"": 20, ""land_quadrants"": 1, ""n_hands"": 2}",3000.0,26177.0,23177.0,31197.0,6960,60,1000,0,0,0,0,"{""MELON"": 221}",{},0,0,60,2,0.9047,0.5138,0.0686,1,23177.0,PASS,0
C,c5_capital_x_horizon,cxh_land_day20,cxh_land_day20_seed101401,101401,pass,"{""crops"": ""MELON"", ""land_buy_day"": 20, ""land_quadrants"": 1, ""n_hands"": 2}",3000.0,26177.0,23177.0,31197.0,6960,60,1000,0,0,0,0,"{""MELON"": 221}",{},0,0,60,2,0.9047,0.5138,0.0686,1,23177.0,PASS,0
C,c5_capital_x_horizon,cxh_land_day20,cxh_land_day20_seed101402,101402,pass,"{""crops"": ""MELON"", ""land_buy_day"": 20, ""land_quadrants"": 1, ""n_hands"": 2}",3000.0,26179.0,23179.0,31199.0,6960,60,1000,0,0,0,0,"{""MELON"": 223}",{},0,0,60,2,0.9032,0.511,0.0691,1,23179.0,PASS,0
C,c5_capital_x_horizon,cxh_land_day20,cxh_land_day20_seed101403,101403,pass,"{""crops"": ""MELON"", ""land_buy_day"": 20, ""land_quadrants"": 1, ""n_hands"": 2}",3000.0,26177.0,23177.0,31197.0,6960,60,1000,0,0,0,0,"{""MELON"": 221}",{},0,0,60,2,0.9047,0.5138,0.0686,1,23177.0,PASS,0
C,c5_capital_x_horizon,cxh_land_day20,cxh_land_day20_seed101404,101404,pass,"{""crops"": ""MELON"", ""land_buy_day"": 20, ""land_quadrants"": 1, ""n_hands"": 2}",3000.0,26177.0,23177.0,31197.0,6960,60,1000,0,0,0,0,"{""MELON"": 221}",{},0,0,60,2,0.9047,0.5138,0.0686,1,23177.0,PASS,0
C,c5_capital_x_horizon,cxh_land_day20,cxh_land_day20_seed101405,101405,pass,"{""crops"": ""MELON"", ""land_buy_day"": 20, ""land_quadrants"": 1, ""n_hands"": 2}",3000.0,26074.0,23074.0,31254.0,7120,60,1000,0,0,0,0,"{""MELON"": 215}",{},0,0,60,2,0.9285,0.5396,0.0691,1,23074.0,PASS,0
C,c5_capital_x_horizon,cxh_land_day20,cxh_land_day20_seed101406,101406,pass,"{""crops"": ""MELON"", ""land_buy_day"": 20, ""land_quadrants"": 1, ""n_hands"": 2}",3000.0,26177.0,23177.0,31197.0,6960,60,1000,0,0,0,0,"{""MELON"": 221}",{},0,0,60,2,0.9047,0.5138,0.0686,1,23177.0,PASS,0
C,c5_capital_x_horizon,cxh_land_day20,cxh_land_day20_seed101407,101407,pass,"{""crops"": ""MELON"", ""land_buy_day"": 20, ""land_quadrants"": 1, ""n_hands"": 2}",3000.0,26177.0,23177.0,31197.0,6960,60,1000,0,0,0,0,"{""MELON"": 221}",{},0,0,60,2,0.9047,0.5138,0.0686,1,23177.0,PASS,0
C,c5_capital_x_horizon,cxh_animal_day0,cxh_animal_day0_seed101400,101400,pass,"{""animal_buy_day"": 0, ""animals"": {""GOOSE"": 1}, ""crops"": ""MELON"", ""n_hands"": 2}",3000.0,28409.0,25409.0,33371.9128,6320,60,0,600,982.9127,0,0.0,"{""MELON"": 221}","{""GOOSE"": 41}",2,1,60,1,0.9218,0.5148,0.0906,1,25409.0,PARTIAL,0
C,c5_capital_x_horizon,cxh_animal_day0,cxh_animal_day0_seed101401,101401,pass,"{""animal_buy_day"": 0, ""animals"": {""GOOSE"": 1}, ""crops"": ""MELON"", ""n_hands"": 2}",3000.0,28491.0,25491.0,33515.8376,6320,60,0,600,1044.8375,0,0.0,"{""MELON"": 221}","{""GOOSE"": 41}",2,1,60,1,0.9218,0.5148,0.0906,1,25491.0,PARTIAL,0
C,c5_capital_x_horizon,cxh_animal_day0,cxh_animal_day0_seed101402,101402,pass,"{""animal_buy_day"": 0, ""animals"": {""GOOSE"": 1}, ""crops"": ""MELON"", ""n_hands"": 2}",3000.0,28573.0,25573.0,33592.8659,6320,60,0,600,1039.8659,0,0.0,"{""MELON"": 221}","{""GOOSE"": 41}",2,1,60,1,0.9223,0.5143,0.0906,1,25573.0,PASS,0
C,c5_capital_x_horizon,cxh_animal_day0,cxh_animal_day0_seed101403,101403,pass,"{""animal_buy_day"": 0, ""animals"": {""GOOSE"": 1}, ""crops"": ""MELON"", ""n_hands"": 2}",3000.0,28562.0,25562.0,33583.373,6320,60,0,600,1041.373,0,0.0,"{""MELON"": 221}","{""GOOSE"": 41}",2,1,60,1,0.9218,0.5148,0.0906,1,25562.0,PASS,0
C,c5_capital_x_horizon,cxh_animal_day0,cxh_animal_day0_seed101404,101404,pass,"{""animal_buy_day"": 0, ""animals"": {""GOOSE"": 1}, ""crops"": ""MELON"", ""n_hands"": 2}",3000.0,28469.0,25469.0,33456.9616,6320,60,0,600,1007.9616,0,0.0,"{""MELON"": 221}","{""GOOSE"": 41}",2,1,60,1,0.9218,0.5148,0.0906,1,25469.0,PASS,0
C,c5_capital_x_horizon,cxh_animal_day0,cxh_animal_day0_seed101405,101405,pass,"{""animal_buy_day"": 0, ""animals"": {""GOOSE"": 1}, ""crops"": ""MELON"", ""n_hands"": 2}",3000.0,28974.0,25974.0,33751.3761,6400,60,0,300,1017.3762,0,0.0,"{""MELON"": 214}","{""GOOSE"": 49}",1,0,60,1,0.9337,0.5248,0.0934,1,25974.0,PARTIAL,0
C,c5_capital_x_horizon,cxh_animal_day0,cxh_animal_day0_seed101406,101406,pass,"{""animal_buy_day"": 0, ""animals"": {""GOOSE"": 1}, ""crops"": ""MELON"", ""n_hands"": 2}",3000.0,28463.0,25463.0,33492.9026,6320,60,0,600,1049.9026,0,0.0,"{""MELON"": 221}","{""GOOSE"": 41}",2,1,60,1,0.9218,0.5148,0.0906,1,25463.0,PASS,0
C,c5_capital_x_horizon,cxh_animal_day0,cxh_animal_day0_seed101407,101407,pass,"{""animal_buy_day"": 0, ""animals"": {""GOOSE"": 1}, ""crops"": ""MELON"", ""n_hands"": 2}",3000.0,28415.0,25415.0,33381.388,6320,60,0,600,986.3881,0,0.0,"{""MELON"": 221}","{""GOOSE"": 41}",2,1,60,1,0.9218,0.5148,0.0906,1,25415.0,PARTIAL,0
C,c5_capital_x_horizon,cxh_animal_day10,cxh_animal_day10_seed101400,101400,pass,"{""animal_buy_day"": 10, ""animals"": {""GOOSE"": 1}, ""crops"": ""MELON"", ""n_hands"": 2}",3000.0,28629.0,25629.0,32863.5303,6160,60,0,300,714.5303,0,0.0,"{""MELON"": 217}","{""GOOSE"": 26}",1,0,60,1,0.8832,0.4895,0.0791,1,25629.0,PASS,0
C,c5_capital_x_horizon,cxh_animal_day10,cxh_animal_day10_seed101401,101401,pass,"{""animal_buy_day"": 10, ""animals"": {""GOOSE"": 1}, ""crops"": ""MELON"", ""n_hands"": 2}",3000.0,28438.0,25438.0,32647.7801,6160,60,0,300,689.78,0,0.0,"{""MELON"": 217}","{""GOOSE"": 26}",1,0,60,1,0.8832,0.4895,0.0791,1,25438.0,PARTIAL,0
C,c5_capital_x_horizon,cxh_animal_day10,cxh_animal_day10_seed101402,101402,pass,"{""animal_buy_day"": 10, ""animals"": {""GOOSE"": 1}, ""crops"": ""MELON"", ""n_hands"": 2}",3000.0,28495.0,25495.0,32692.8743,6160,60,0,300,677.8742,0,0.0,"{""MELON"": 217}","{""GOOSE"": 26}",1,0,60,1,0.8832,0.489,0.0791,1,25495.0,PARTIAL,0
C,c5_capital_x_horizon,cxh_animal_day10,cxh_animal_day10_seed101403,101403,pass,"{""animal_buy_day"": 10, ""animals"": {""GOOSE"": 1}, ""crops"": ""MELON"", ""n_hands"": 2}",3000.0,28371.0,25371.0,32574.766,6160,60,0,300,683.7661,0,0.0,"{""MELON"": 217}","{""GOOSE"": 26}",1,0,60,1,0.8832,0.4895,0.0791,1,25371.0,PARTIAL,0
C,c5_capital_x_horizon,cxh_animal_day10,cxh_animal_day10_seed101404,101404,pass,"{""animal_buy_day"": 10, ""animals"": {""GOOSE"": 1}, ""crops"": ""MELON"", ""n_hands"": 2}",3000.0,28328.0,25328.0,32541.9577,6160,60,0,300,693.9578,0,0.0,"{""MELON"": 217}","{""GOOSE"": 26}",1,0,60,1,0.8832,0.4895,0.0791,1,25328.0,PARTIAL,0
C,c5_capital_x_horizon,cxh_animal_day10,cxh_animal_day10_seed101405,101405,pass,"{""animal_buy_day"": 10, ""animals"": {""GOOSE"": 1}, ""crops"": ""MELON"", ""n_hands"": 2}",3000.0,28103.0,25103.0,32288.2073,6000,60,0,600,479.2073,0,0.0,"{""MELON"": 197}","{""GOOSE"": 16}",2,1,60,1,0.8732,0.4867,0.0744,1,25103.0,PARTIAL,0
