stage,group,cell_id,episode_id,seed,opponent,config_json,starting_money,final_money,profit,revenue_total,cost_seed,cost_hire,cost_land,cost_animal,cost_buy_wheat,cost_buy_fertilizer,cost_other,harvest_units_json,animal_units_json,animals_placed,animals_escaped,hands_hired_events,land_quadrants_end,productive_action_rate,movement_fraction,market_action_fraction,win,money_margin,validation_overall,inventory_overflow_flag
C,c6_inventory_bottleneck,inv_low,inv_low_seed101500,101500,pass,"{""crops"": ""MELON"", ""n_hands"": 1}",3000.0,27670.0,24670.0,30620.0,5920,30,0,0,0,0,0,"{""MELON"": 152}",{},0,0,30,1,0.9886,0.5287,0.0774,1,24670.0,PASS,0
C,c6_inventory_bottleneck,inv_low,inv_low_seed101501,101501,pass,"{""crops"": ""MELON"", ""n_hands"": 1}",3000.0,26918.0,23918.0,30588.0,6640,30,0,0,0,0,0,"{""MELON"": 152}",{},0,0,30,1,0.9915,0.5238,0.0823,1,23918.0,PASS,0
C,c6_inventory_bottleneck,inv_low,inv_low_seed101502,101502,pass,"{""crops"": ""MELON"", ""n_hands"": 1}",3000.0,27398.0,24398.0,30588.0,6160,30,0,0,0,0,0,"{""MELON"": 152}",{},0,0,30,1,0.9901,0.528,0.0781,1,24398.0,PASS,0
C,c6_inventory_bottleneck,inv_low,inv_low_seed101503,101503,pass,"{""crops"": ""MELON"", ""n_hands"": 1}",3000.0,27398.0,24398.0,30588.0,6160,30,0,0,0,0,0,"{""MELON"": 152}",{},0,0,30,1,0.9901,0.528,0.0781,1,24398.0,PASS,0
C,c6_inventory_bottleneck,inv_low,inv_low_seed101504,101504,pass,"{""crops"": ""MELON"", ""n_hands"": 1}",3000.0,27398.0,24398.0,30588.0,6160,30,0,0,0,0,0,"{""MELON"": 152}",{},0,0,30,1,0.9901,0.5273,0.0781,1,24398.0,PASS,0
C,c6_inventory_bottleneck,inv_low,inv_low_seed101505,101505,pass,"{""crops"": ""MELON"", ""n_hands"": 1}",3000.0,27398.0,24398.0,30588.0,6160,30,0,0,0,0,0,"{""MELON"": 152}",{},0,0,30,1,0.9901,0.528,0.0781,1,24398.0,PASS,0
C,c6_inventory_bottleneck,inv_low,inv_low_seed101506,101506,pass,"{""crops"": ""MELON"", ""n_hands"": 1}",3000.0,27398.0,24398.0,30588.0,6160,30,0,0,0,0,0,"{""MELON"": 152}",{},0,0,30,1,0.9901,0.528,0.0781,1,24398.0,PASS,0
C,c6_inventory_bottleneck,inv_low,inv_low_seed101507,101507,pass,"{""crops"": ""MELON"", ""n_hands"": 1}",3000.0,27398.0,24398.0,30588.0,6160,30,0,0,0,0,0,"{""MELON"": 152}",{},0,0,30,1,0.9901,0.528,0.0781,1,24398.0,PASS,0
C,c6_inventory_bottleneck,inv_high,inv_high_seed101500,101500,pass,"{""animal_buy_day"": 0, ""animals"": {""COW"": 1, ""GOOSE"": 1}, ""crops"": {""MELON"": 0.5, ""STRAWBERRY"": 0.5}, ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 4}",3000.0,33818.0,30818.0,42666.7548,7860,153,1000,1700,1135.7549,0,0.0,"{""STRAWBERRY"": 62, ""MELON"": 115}","{""COW"": 17, ""GOOSE"": 12}",5,3,89,2,0.9275,0.5821,0.348,1,30818.0,PARTIAL,0
C,c6_inventory_bottleneck,inv_high,inv_high_seed101501,101501,pass,"{""animal_buy_day"": 0, ""animals"": {""COW"": 1, ""GOOSE"": 1}, ""crops"": {""MELON"": 0.5, ""STRAWBERRY"": 0.5}, ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 4}",3000.0,30151.0,27151.0,38815.1804,7360,153,1000,2400,751.1807,0,0.0,"{""STRAWBERRY"": 57, ""MELON"": 114}","{""COW"": 0, ""GOOSE"": 12}",7,5,89,2,0.9348,0.598,0.3443,1,27151.0,PARTIAL,0
