stage,group,cell_id,episode_id,seed,opponent,config_json,starting_money,final_money,profit,revenue_total,cost_seed,cost_hire,cost_land,cost_animal,cost_buy_wheat,cost_buy_fertilizer,cost_other,harvest_units_json,animal_units_json,animals_placed,animals_escaped,hands_hired_events,land_quadrants_end,productive_action_rate,movement_fraction,market_action_fraction,win,money_margin,validation_overall,inventory_overflow_flag
D,h2h_c6_inventory_bottleneck,inv_high,inv_high_seed102100,102100,agents/baseline_agent.py,"{""animal_buy_day"": 0, ""animals"": {""COW"": 1, ""GOOSE"": 1}, ""crops"": {""MELON"": 0.5, ""STRAWBERRY"": 0.5}, ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 4}",3000.0,30810.0,27810.0,39949.4955,7640,153,1000,2500,846.4956,0,0.0,"{""STRAWBERRY"": 59, ""MELON"": 115}","{""COW"": 0, ""GOOSE"": 15}",7,5,89,2,0.9361,0.5871,0.3519,1,25263.0,PARTIAL,0
D,h2h_c6_inventory_bottleneck,inv_high,inv_high_seed102101,102101,agents/baseline_agent.py,"{""animal_buy_day"": 0, ""animals"": {""COW"": 1, ""GOOSE"": 1}, ""crops"": {""MELON"": 0.5, ""STRAWBERRY"": 0.5}, ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 4}",3000.0,32864.0,29864.0,41618.5568,7620,153,1000,2100,881.5567,0,0.0,"{""STRAWBERRY"": 61, ""MELON"": 114}","{""COW"": 8, ""GOOSE"": 17}",6,4,89,2,0.9369,0.5856,0.3495,1,28141.0,PARTIAL,0
D,h2h_c6_inventory_bottleneck,inv_high,inv_high_seed102102,102102,agents/baseline_agent.py,"{""animal_buy_day"": 0, ""animals"": {""COW"": 1, ""GOOSE"": 1}, ""crops"": {""MELON"": 0.5, ""STRAWBERRY"": 0.5}, ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 4}",3000.0,29186.0,26186.0,38543.4572,7620,153,1000,2800,784.4573,0,0.0,"{""STRAWBERRY"": 54, ""MELON"": 115}","{""COW"": 0, ""GOOSE"": 8}",8,6,89,2,0.9366,0.5962,0.3447,1,23423.0,PARTIAL,0
D,h2h_c6_inventory_bottleneck,inv_high,inv_high_seed102103,102103,agents/baseline_agent.py,"{""animal_buy_day"": 0, ""animals"": {""COW"": 1, ""GOOSE"": 1}, ""crops"": {""MELON"": 0.5, ""STRAWBERRY"": 0.5}, ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 4}",3000.0,35536.0,32536.0,44863.5601,8240,153,1000,2100,834.5602,0,0.0,"{""STRAWBERRY"": 63, ""MELON"": 114}","{""COW"": 9, ""GOOSE"": 12}",6,4,89,2,0.9366,0.5781,0.3501,1,30229.0,PARTIAL,0
D,h2h_c6_inventory_bottleneck,inv_high,inv_high_seed102104,102104,agents/baseline_agent.py,"{""animal_buy_day"": 0, ""animals"": {""COW"": 1, ""GOOSE"": 1}, ""crops"": {""MELON"": 0.5, ""STRAWBERRY"": 0.5}, ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 4}",3000.0,28801.0,25801.0,36643.7174,7220,153,1000,1800,669.7173,0,0.0,"{""STRAWBERRY"": 74, ""MELON"": 94}","{""COW"": 9, ""GOOSE"": 18}",4,3,89,2,0.9221,0.5716,0.344,1,24227.0,PARTIAL,0
D,h2h_c6_inventory_bottleneck,inv_high,inv_high_seed102105,102105,agents/baseline_agent.py,"{""animal_buy_day"": 0, ""animals"": {""COW"": 1, ""GOOSE"": 1}, ""crops"": {""MELON"": 0.5, ""STRAWBERRY"": 0.5}, ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 4}",3000.0,28232.0,25232.0,37739.8571,7840,153,1000,2800,714.857,0,0.0,"{""STRAWBERRY"": 54, ""MELON"": 115}","{""COW"": 0, ""GOOSE"": 10}",8,6,89,2,0.9351,0.5898,0.346,1,23341.0,PARTIAL,0
D,h2h_c6_inventory_bottleneck,inv_high,inv_high_seed102106,102106,agents/baseline_agent.py,"{""animal_buy_day"": 0, ""animals"": {""COW"": 1, ""GOOSE"": 1}, ""crops"": {""MELON"": 0.5, ""STRAWBERRY"": 0.5}, ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 4}",3000.0,29994.0,26994.0,38804.1525,7780,153,1000,2100,777.1525,0,0.0,"{""STRAWBERRY"": 61, ""MELON"": 115}","{""COW"": 0, ""GOOSE"": 14}",6,4,89,2,0.9319,0.5864,0.3451,1,24320.0,PASS,0
D,h2h_c6_inventory_bottleneck,inv_high,inv_high_seed102107,102107,agents/baseline_agent.py,"{""animal_buy_day"": 0, ""animals"": {""COW"": 1, ""GOOSE"": 1}, ""crops"": {""MELON"": 0.5, ""STRAWBERRY"": 0.5}, ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 4}",3000.0,33237.0,30237.0,41841.4823,7920,153,1000,1800,731.4823,0,0.0,"{""STRAWBERRY"": 59, ""MELON"": 112}","{""COW"": 9, ""GOOSE"": 8}",4,3,89,2,0.9409,0.5893,0.348,1,27677.0,PASS,0
D,h2h_c6_inventory_bottleneck,inv_high,inv_high_seed102108,102108,agents/baseline_agent.py,"{""animal_buy_day"": 0, ""animals"": {""COW"": 1, ""GOOSE"": 1}, ""crops"": {""MELON"": 0.5, ""STRAWBERRY"": 0.5}, ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 4}",3000.0,30617.0,27617.0,40062.3815,8260,153,1000,2500,532.3811,0,0.0,"{""STRAWBERRY"": 55, ""MELON"": 114}","{""COW"": 0, ""GOOSE"": 14}",6,5,89,2,0.9355,0.5926,0.3472,1,25375.0,PARTIAL,0
D,h2h_c6_inventory_bottleneck,inv_high,inv_high_seed102109,102109,agents/baseline_agent.py,"{""animal_buy_day"": 0, ""animals"": {""COW"": 1, ""GOOSE"": 1}, ""crops"": {""MELON"": 0.5, ""STRAWBERRY"": 0.5}, ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 4}",3000.0,34573.0,31573.0,43857.8022,8260,153,1000,2100,771.8022,0,0.0,"{""STRAWBERRY"": 61, ""MELON"": 113}","{""COW"": 8, ""GOOSE"": 9}",6,4,89,2,0.9358,0.5843,0.3493,1,29012.0,PASS,0
D,h2h_a1_labor_sweep,labor_WHEAT_0h,labor_WHEAT_0h_seed102100,102100,agents/baseline_agent.py,"{""crops"": ""WHEAT"", ""n_hands"": 0}",3000.0,5949.0,2949.0,4449.0,1500,0,0,0,0,0,0,"{""WHEAT"": 137}",{},0,0,0,1,0.9639,0.3458,0.2458,1,694.0,PASS,0
D,h2h_a1_labor_sweep,labor_WHEAT_0h,labor_WHEAT_0h_seed102101,102101,agents/baseline_agent.py,"{""crops"": ""WHEAT"", ""n_hands"": 0}",3000.0,6067.0,3067.0,4567.0,1500,0,0,0,0,0,0,"{""WHEAT"": 137}",{},0,0,0,1,0.9625,0.3458,0.2458,1,714.0,PASS,0
D,h2h_a1_labor_sweep,labor_WHEAT_0h,labor_WHEAT_0h_seed102102,102102,agents/baseline_agent.py,"{""crops"": ""WHEAT"", ""n_hands"": 0}",3000.0,5923.0,2923.0,4423.0,1500,0,0,0,0,0,0,"{""WHEAT"": 138}",{},0,0,0,1,0.9611,0.3458,0.2458,1,729.0,PASS,0
D,h2h_a1_labor_sweep,labor_WHEAT_0h,labor_WHEAT_0h_seed102103,102103,agents/baseline_agent.py,"{""crops"": ""WHEAT"", ""n_hands"": 0}",3000.0,4894.0,1894.0,3394.0,1500,0,0,0,0,0,0,"{""WHEAT"": 138}",{},0,0,0,1,0.9611,0.3458,0.2458,1,834.0,PASS,0
