stage,group,cell_id,episode_id,seed,opponent,config_json,starting_money,final_money,profit,revenue_total,cost_seed,cost_hire,cost_land,cost_animal,cost_buy_wheat,cost_buy_fertilizer,cost_other,harvest_units_json,animal_units_json,sold_units_total,avg_realized_price_overall,hands_hired_events,land_quadrants_end,productive_action_rate,movement_fraction,market_action_fraction,win,money_margin,validation_overall,inventory_overflow_flag
B,b1_sale_timing_by_crop,b1_WHEAT_passive,b1_WHEAT_passive_seed200000,200000,pass,"{""crops"": ""WHEAT"", ""n_hands"": 2, ""sell_policy"": {""mode"": ""passive""}}",3000.0,8025.0,5025.0,8135.0,3050,60,0,0,0,0,0,"{""WHEAT"": 279}",{},273,29.7985,60,1,0.9847,0.4719,0.1578,1,5025.0,PASS,0
B,b1_sale_timing_by_crop,b1_WHEAT_passive,b1_WHEAT_passive_seed200001,200001,pass,"{""crops"": ""WHEAT"", ""n_hands"": 2, ""sell_policy"": {""mode"": ""passive""}}",3000.0,8462.0,5462.0,8572.0,3050,60,0,0,0,0,0,"{""WHEAT"": 279}",{},273,31.3993,60,1,0.9847,0.4719,0.1578,1,5462.0,PASS,0
B,b1_sale_timing_by_crop,b1_WHEAT_passive,b1_WHEAT_passive_seed200002,200002,pass,"{""crops"": ""WHEAT"", ""n_hands"": 2, ""sell_policy"": {""mode"": ""passive""}}",3000.0,8725.0,5725.0,8835.0,3050,60,0,0,0,0,0,"{""WHEAT"": 279}",{},273,32.3626,60,1,0.9847,0.4719,0.1578,1,5725.0,PASS,0
B,b1_sale_timing_by_crop,b1_WHEAT_passive,b1_WHEAT_passive_seed200003,200003,pass,"{""crops"": ""WHEAT"", ""n_hands"": 2, ""sell_policy"": {""mode"": ""passive""}}",3000.0,6687.0,3687.0,6767.0,3020,60,0,0,0,0,0,"{""WHEAT"": 278}",{},271,24.9705,60,1,0.9857,0.4752,0.1778,1,3687.0,PASS,0
B,b1_sale_timing_by_crop,b1_WHEAT_passive,b1_WHEAT_passive_seed200004,200004,pass,"{""crops"": ""WHEAT"", ""n_hands"": 2, ""sell_policy"": {""mode"": ""passive""}}",3000.0,8341.0,5341.0,8451.0,3050,60,0,0,0,0,0,"{""WHEAT"": 279}",{},273,30.956,60,1,0.9847,0.4719,0.1578,1,5341.0,PASS,0
B,b1_sale_timing_by_crop,b1_WHEAT_passive,b1_WHEAT_passive_seed200005,200005,pass,"{""crops"": ""WHEAT"", ""n_hands"": 2, ""sell_policy"": {""mode"": ""passive""}}",3000.0,8243.0,5243.0,8353.0,3050,60,0,0,0,0,0,"{""WHEAT"": 279}",{},273,30.5971,60,1,0.9847,0.4719,0.1578,1,5243.0,PASS,0
B,b1_sale_timing_by_crop,b1_WHEAT_passive,b1_WHEAT_passive_seed200006,200006,pass,"{""crops"": ""WHEAT"", ""n_hands"": 2, ""sell_policy"": {""mode"": ""passive""}}",3000.0,6284.0,3284.0,6394.0,3050,60,0,0,0,0,0,"{""WHEAT"": 279}",{},273,23.4212,60,1,0.9847,0.4719,0.1578,1,3284.0,PASS,0
B,b1_sale_timing_by_crop,b1_WHEAT_passive,b1_WHEAT_passive_seed200007,200007,pass,"{""crops"": ""WHEAT"", ""n_hands"": 2, ""sell_policy"": {""mode"": ""passive""}}",3000.0,9144.0,6144.0,9254.0,3050,60,0,0,0,0,0,"{""WHEAT"": 279}",{},273,33.8974,60,1,0.9847,0.4719,0.1578,1,6144.0,PASS,0
B,b1_sale_timing_by_crop,b1_WHEAT_threshold_0.9,b1_WHEAT_threshold_0.9_seed200000,200000,pass,"{""crops"": ""WHEAT"", ""n_hands"": 2, ""sell_policy"": {""mode"": ""threshold"", ""threshold_frac"": 0.9}}",3000.0,8025.0,5025.0,8135.0,3050,60,0,0,0,0,0,"{""WHEAT"": 279}",{},273,29.7985,60,1,0.9847,0.4719,0.1578,1,5025.0,PASS,0
B,b1_sale_timing_by_crop,b1_WHEAT_threshold_0.9,b1_WHEAT_threshold_0.9_seed200001,200001,pass,"{""crops"": ""WHEAT"", ""n_hands"": 2, ""sell_policy"": {""mode"": ""threshold"", ""threshold_frac"": 0.9}}",3000.0,8462.0,5462.0,8572.0,3050,60,0,0,0,0,0,"{""WHEAT"": 279}",{},273,31.3993,60,1,0.9847,0.4719,0.1578,1,5462.0,PASS,0
B,b1_sale_timing_by_crop,b1_WHEAT_threshold_0.9,b1_WHEAT_threshold_0.9_seed200002,200002,pass,"{""crops"": ""WHEAT"", ""n_hands"": 2, ""sell_policy"": {""mode"": ""threshold"", ""threshold_frac"": 0.9}}",3000.0,8725.0,5725.0,8835.0,3050,60,0,0,0,0,0,"{""WHEAT"": 279}",{},273,32.3626,60,1,0.9847,0.4719,0.1578,1,5725.0,PASS,0
