stage,group,cell_id,episode_id,seed,opponent,config_json,starting_money,final_money,profit,revenue_total,cost_seed,cost_hire,cost_land,cost_animal,cost_buy_wheat,cost_buy_fertilizer,cost_other,harvest_units_json,animal_units_json,sold_units_total,avg_realized_price_overall,hands_hired_events,land_quadrants_end,productive_action_rate,movement_fraction,market_action_fraction,win,money_margin,validation_overall,inventory_overflow_flag
C,c1_production_x_market,c1_simple_melon_2h_passive,c1_simple_melon_2h_passive_seed200100,200100,pass,"{""crops"": ""MELON"", ""n_hands"": 2, ""sell_policy"": {""mode"": ""passive""}}",3000.0,27891.0,24891.0,31191.0,6240,60,0,0,0,0,0,"{""MELON"": 218}",{},218,143.078,60,1,0.867,0.4905,0.0648,1,24891.0,PASS,0
C,c1_production_x_market,c1_simple_melon_2h_passive,c1_simple_melon_2h_passive_seed200101,200101,pass,"{""crops"": ""MELON"", ""n_hands"": 2, ""sell_policy"": {""mode"": ""passive""}}",3000.0,27891.0,24891.0,31191.0,6240,60,0,0,0,0,0,"{""MELON"": 218}",{},218,143.078,60,1,0.867,0.4905,0.0648,1,24891.0,PASS,0
C,c1_production_x_market,c1_simple_melon_2h_passive,c1_simple_melon_2h_passive_seed200102,200102,pass,"{""crops"": ""MELON"", ""n_hands"": 2, ""sell_policy"": {""mode"": ""passive""}}",3000.0,27891.0,24891.0,31191.0,6240,60,0,0,0,0,0,"{""MELON"": 218}",{},218,143.078,60,1,0.867,0.4905,0.0648,1,24891.0,PASS,0
C,c1_production_x_market,c1_simple_melon_2h_passive,c1_simple_melon_2h_passive_seed200103,200103,pass,"{""crops"": ""MELON"", ""n_hands"": 2, ""sell_policy"": {""mode"": ""passive""}}",3000.0,27891.0,24891.0,31191.0,6240,60,0,0,0,0,0,"{""MELON"": 218}",{},218,143.078,60,1,0.867,0.4905,0.0648,1,24891.0,PASS,0
C,c1_production_x_market,c1_simple_melon_2h_passive,c1_simple_melon_2h_passive_seed200104,200104,pass,"{""crops"": ""MELON"", ""n_hands"": 2, ""sell_policy"": {""mode"": ""passive""}}",3000.0,27891.0,24891.0,31191.0,6240,60,0,0,0,0,0,"{""MELON"": 218}",{},218,143.078,60,1,0.867,0.4895,0.0648,1,24891.0,PASS,0
C,c1_production_x_market,c1_simple_melon_2h_passive,c1_simple_melon_2h_passive_seed200105,200105,pass,"{""crops"": ""MELON"", ""n_hands"": 2, ""sell_policy"": {""mode"": ""passive""}}",3000.0,27891.0,24891.0,31191.0,6240,60,0,0,0,0,0,"{""MELON"": 218}",{},218,143.078,60,1,0.867,0.4905,0.0648,1,24891.0,PASS,0
C,c1_production_x_market,c1_simple_melon_2h_passive,c1_simple_melon_2h_passive_seed200106,200106,pass,"{""crops"": ""MELON"", ""n_hands"": 2, ""sell_policy"": {""mode"": ""passive""}}",3000.0,27971.0,24971.0,31191.0,6160,60,0,0,0,0,0,"{""MELON"": 218}",{},218,143.078,60,1,0.8675,0.4914,0.0653,1,24971.0,PASS,0
C,c1_production_x_market,c1_simple_melon_2h_passive,c1_simple_melon_2h_passive_seed200107,200107,pass,"{""crops"": ""MELON"", ""n_hands"": 2, ""sell_policy"": {""mode"": ""passive""}}",3000.0,27891.0,24891.0,31191.0,6240,60,0,0,0,0,0,"{""MELON"": 218}",{},218,143.078,60,1,0.867,0.4905,0.0648,1,24891.0,PASS,0
C,c1_production_x_market,c1_simple_melon_2h_threshold_1.0,c1_simple_melon_2h_threshold_1.0_seed200100,200100,pass,"{""crops"": ""MELON"", ""n_hands"": 2, ""sell_policy"": {""mode"": ""threshold"", ""threshold_frac"": 1.0}}",3000.0,27730.0,24730.0,31030.0,6240,60,0,0,0,0,0,"{""MELON"": 218}",{},159,195.1572,60,1,0.867,0.4905,0.062,1,24730.0,PASS,0
C,c1_production_x_market,c1_simple_melon_2h_threshold_1.0,c1_simple_melon_2h_threshold_1.0_seed200101,200101,pass,"{""crops"": ""MELON"", ""n_hands"": 2, ""sell_policy"": {""mode"": ""threshold"", ""threshold_frac"": 1.0}}",3000.0,27730.0,24730.0,31030.0,6240,60,0,0,0,0,0,"{""MELON"": 218}",{},159,195.1572,60,1,0.867,0.4905,0.062,1,24730.0,PASS,0
C,c1_production_x_market,c1_simple_melon_2h_threshold_1.0,c1_simple_melon_2h_threshold_1.0_seed200102,200102,pass,"{""crops"": ""MELON"", ""n_hands"": 2, ""sell_policy"": {""mode"": ""threshold"", ""threshold_frac"": 1.0}}",3000.0,27730.0,24730.0,31030.0,6240,60,0,0,0,0,0,"{""MELON"": 218}",{},159,195.1572,60,1,0.867,0.4905,0.062,1,24730.0,PASS,0
C,c1_production_x_market,c1_simple_melon_2h_threshold_1.0,c1_simple_melon_2h_threshold_1.0_seed200103,200103,pass,"{""crops"": ""MELON"", ""n_hands"": 2, ""sell_policy"": {""mode"": ""threshold"", ""threshold_frac"": 1.0}}",3000.0,27730.0,24730.0,31030.0,6240,60,0,0,0,0,0,"{""MELON"": 218}",{},159,195.1572,60,1,0.867,0.4905,0.062,1,24730.0,PASS,0
C,c1_production_x_market,c1_simple_melon_2h_threshold_1.0,c1_simple_melon_2h_threshold_1.0_seed200104,200104,pass,"{""crops"": ""MELON"", ""n_hands"": 2, ""sell_policy"": {""mode"": ""threshold"", ""threshold_frac"": 1.0}}",3000.0,27730.0,24730.0,31030.0,6240,60,0,0,0,0,0,"{""MELON"": 218}",{},159,195.1572,60,1,0.867,0.4895,0.062,1,24730.0,PASS,0
