stage,group,cell_id,episode_id,seed,opponent,config_json,starting_money,final_money,profit,revenue_total,cost_seed,cost_hire,cost_land,cost_animal,cost_buy_wheat,cost_buy_fertilizer,cost_other,harvest_units_json,animal_units_json,sold_units_total,avg_realized_price_overall,hands_hired_events,land_quadrants_end,productive_action_rate,movement_fraction,market_action_fraction,win,money_margin,validation_overall,inventory_overflow_flag
E,e1_town_demand_timing,e1_passive,e1_passive_seed200300,200300,pass,"{""crops"": ""MELON"", ""n_hands"": 2, ""sell_policy"": {""mode"": ""passive""}}",3000.0,27891.0,24891.0,31191.0,6240,60,0,0,0,0,0,"{""MELON"": 218}",{},218,143.078,60,1,0.867,0.4905,0.0648,1,24891.0,PASS,0
E,e1_town_demand_timing,e1_passive,e1_passive_seed200301,200301,pass,"{""crops"": ""MELON"", ""n_hands"": 2, ""sell_policy"": {""mode"": ""passive""}}",3000.0,27891.0,24891.0,31191.0,6240,60,0,0,0,0,0,"{""MELON"": 218}",{},218,143.078,60,1,0.867,0.4905,0.0648,1,24891.0,PASS,0
E,e1_town_demand_timing,e1_passive,e1_passive_seed200302,200302,pass,"{""crops"": ""MELON"", ""n_hands"": 2, ""sell_policy"": {""mode"": ""passive""}}",3000.0,27891.0,24891.0,31191.0,6240,60,0,0,0,0,0,"{""MELON"": 218}",{},218,143.078,60,1,0.867,0.4905,0.0648,1,24891.0,PASS,0
E,e1_town_demand_timing,e1_passive,e1_passive_seed200303,200303,pass,"{""crops"": ""MELON"", ""n_hands"": 2, ""sell_policy"": {""mode"": ""passive""}}",3000.0,27891.0,24891.0,31191.0,6240,60,0,0,0,0,0,"{""MELON"": 218}",{},218,143.078,60,1,0.867,0.4905,0.0648,1,24891.0,PASS,0
E,e1_town_demand_timing,e1_passive,e1_passive_seed200304,200304,pass,"{""crops"": ""MELON"", ""n_hands"": 2, ""sell_policy"": {""mode"": ""passive""}}",3000.0,27891.0,24891.0,31191.0,6240,60,0,0,0,0,0,"{""MELON"": 218}",{},218,143.078,60,1,0.867,0.4905,0.0648,1,24891.0,PASS,0
E,e1_town_demand_timing,e1_passive,e1_passive_seed200305,200305,pass,"{""crops"": ""MELON"", ""n_hands"": 2, ""sell_policy"": {""mode"": ""passive""}}",3000.0,27971.0,24971.0,31191.0,6160,60,0,0,0,0,0,"{""MELON"": 218}",{},218,143.078,60,1,0.867,0.4909,0.0653,1,24971.0,PASS,0
E,e1_town_demand_timing,e1_passive,e1_passive_seed200306,200306,pass,"{""crops"": ""MELON"", ""n_hands"": 2, ""sell_policy"": {""mode"": ""passive""}}",3000.0,27891.0,24891.0,31191.0,6240,60,0,0,0,0,0,"{""MELON"": 218}",{},218,143.078,60,1,0.867,0.4905,0.0648,1,24891.0,PASS,0
E,e1_town_demand_timing,e1_passive,e1_passive_seed200307,200307,pass,"{""crops"": ""MELON"", ""n_hands"": 2, ""sell_policy"": {""mode"": ""passive""}}",3000.0,27891.0,24891.0,31191.0,6240,60,0,0,0,0,0,"{""MELON"": 218}",{},218,143.078,60,1,0.867,0.4905,0.0648,1,24891.0,PASS,0
E,e1_town_demand_timing,e1_tick_after,e1_tick_after_seed200300,200300,pass,"{""crops"": ""MELON"", ""n_hands"": 2, ""sell_policy"": {""align"": ""after"", ""mode"": ""tick_timed""}}",3000.0,28186.0,25186.0,31486.0,6240,60,0,0,0,0,0,"{""MELON"": 218}",{},218,144.4312,60,1,0.867,0.4905,0.0648,1,25186.0,PASS,0
E,e1_town_demand_timing,e1_tick_after,e1_tick_after_seed200301,200301,pass,"{""crops"": ""MELON"", ""n_hands"": 2, ""sell_policy"": {""align"": ""after"", ""mode"": ""tick_timed""}}",3000.0,28186.0,25186.0,31486.0,6240,60,0,0,0,0,0,"{""MELON"": 218}",{},218,144.4312,60,1,0.867,0.4905,0.0648,1,25186.0,PASS,0
E,e1_town_demand_timing,e1_tick_after,e1_tick_after_seed200302,200302,pass,"{""crops"": ""MELON"", ""n_hands"": 2, ""sell_policy"": {""align"": ""after"", ""mode"": ""tick_timed""}}",3000.0,28186.0,25186.0,31486.0,6240,60,0,0,0,0,0,"{""MELON"": 218}",{},218,144.4312,60,1,0.867,0.4905,0.0648,1,25186.0,PASS,0
E,e1_town_demand_timing,e1_tick_after,e1_tick_after_seed200303,200303,pass,"{""crops"": ""MELON"", ""n_hands"": 2, ""sell_policy"": {""align"": ""after"", ""mode"": ""tick_timed""}}",3000.0,28186.0,25186.0,31486.0,6240,60,0,0,0,0,0,"{""MELON"": 218}",{},218,144.4312,60,1,0.867,0.4905,0.0648,1,25186.0,PASS,0
