seed_set,opponent,seed,planner_money,opponent_money,margin,win,planner_validation,n_planning_cycles,n_hard_blocked,n_economic_rejected,n_uncertain,n_selected_total
development,wheat_patroller,300000,28541.0,4438.0,24103.0,1,PARTIAL,30,5,127,0,6
development,wheat_patroller,300001,28380.0,4894.0,23486.0,1,PARTIAL,30,5,127,0,6
development,wheat_patroller,300002,28316.0,5587.0,22729.0,1,PARTIAL,30,5,126,0,6
development,wheat_patroller,300003,28771.0,5295.0,23476.0,1,PARTIAL,30,5,126,0,6
development,wheat_patroller,300004,27420.0,5831.0,21589.0,1,PARTIAL,30,5,126,0,6
development,phase2_3_integrated,300000,24732.0,9923.0,14809.0,1,PARTIAL,30,5,131,0,6
development,phase2_3_integrated,300001,21970.0,16356.0,5614.0,1,PARTIAL,30,5,123,0,6
development,phase2_3_integrated,300002,26377.0,8830.0,17547.0,1,PARTIAL,30,5,131,0,6
development,phase2_3_integrated,300003,24489.0,8678.0,15811.0,1,PARTIAL,30,5,123,0,6
development,phase2_3_integrated,300004,25094.0,9350.0,15744.0,1,PARTIAL,30,5,131,0,6
development,phase2_4_best,300000,29678.0,5132.0,24546.0,1,PARTIAL,30,5,131,0,6
development,phase2_4_best,300001,27892.0,10695.0,17197.0,1,PARTIAL,30,5,123,0,6
development,phase2_4_best,300002,29229.0,4446.0,24783.0,1,PARTIAL,30,5,131,0,6
development,phase2_4_best,300003,28550.0,4787.0,23763.0,1,PARTIAL,30,5,123,0,6
development,phase2_4_best,300004,30040.0,4559.0,25481.0,1,PARTIAL,30,5,131,0,6
validation,wheat_patroller,301000,28055.0,5737.0,22318.0,1,PARTIAL,30,5,126,0,6
validation,wheat_patroller,301001,27931.0,5336.0,22595.0,1,PARTIAL,30,5,127,0,6
validation,wheat_patroller,301002,28503.0,4315.0,24188.0,1,PARTIAL,30,5,127,0,6
validation,wheat_patroller,301003,28335.0,5317.0,23018.0,1,PARTIAL,30,5,126,0,6
validation,wheat_patroller,301004,28077.0,4457.0,23620.0,1,PARTIAL,30,5,127,0,6
validation,wheat_patroller,301005,28322.0,5398.0,22924.0,1,PARTIAL,30,5,126,0,6
validation,wheat_patroller,301006,28072.0,5788.0,22284.0,1,PARTIAL,30,5,126,0,6
validation,wheat_patroller,301007,28348.0,4941.0,23407.0,1,PARTIAL,30,5,127,0,6
validation,phase2_3_integrated,301000,22910.0,11076.0,11834.0,1,PARTIAL,30,5,123,0,6
validation,phase2_3_integrated,301001,23060.0,12976.0,10084.0,1,PARTIAL,30,5,131,0,6
validation,phase2_3_integrated,301002,23159.0,8714.0,14445.0,1,PARTIAL,30,5,123,0,6
validation,phase2_3_integrated,301003,25249.0,5018.0,20231.0,1,PARTIAL,30,5,123,0,6
validation,phase2_3_integrated,301004,23570.0,9266.0,14304.0,1,PARTIAL,30,5,131,0,6
validation,phase2_3_integrated,301005,23316.0,12104.0,11212.0,1,PARTIAL,30,5,123,0,6
validation,phase2_3_integrated,301006,23522.0,8657.0,14865.0,1,PARTIAL,30,5,123,0,6
validation,phase2_3_integrated,301007,26530.0,3340.0,23190.0,1,PARTIAL,30,5,131,0,6
validation,phase2_4_best,301000,27845.0,4197.0,23648.0,1,PARTIAL,30,5,123,0,6
validation,phase2_4_best,301001,29019.0,6645.0,22374.0,1,PARTIAL,30,5,131,0,6
