archetype,seed,seed_set,protagonist_final_money,opponent_final_money,margin,win,protagonist_validation,n_observations,n_transition_events,elapsed_s
passive,700000,development,27800.0,3000.0,24800.0,1,PARTIAL,719,0,2.87
passive,700001,development,28183.0,3000.0,25183.0,1,PARTIAL,719,0,3.82
passive,700002,development,28397.0,3000.0,25397.0,1,PARTIAL,719,0,3.91
passive,700003,development,27841.0,3000.0,24841.0,1,PARTIAL,719,0,3.74
production_heavy,700000,development,22379.0,10630.0,11749.0,1,PARTIAL,719,206,5.76
production_heavy,700001,development,23645.0,14188.0,9457.0,1,PARTIAL,719,211,6.1
production_heavy,700002,development,24046.0,8319.0,15727.0,1,PARTIAL,719,200,6.14
production_heavy,700003,development,23023.0,7891.0,15132.0,1,PARTIAL,719,194,6.0
market_selling,700000,development,28304.0,4580.0,23724.0,1,PARTIAL,719,203,5.95
market_selling,700001,development,29604.0,8350.0,21254.0,1,PARTIAL,719,211,6.15
market_selling,700002,development,30061.0,2104.0,27957.0,1,PARTIAL,719,197,5.9
market_selling,700003,development,28982.0,1022.0,27960.0,1,PARTIAL,719,194,5.74
expansion_oriented,700000,development,4241.0,16273.0,-12032.0,0,PARTIAL,719,196,4.96
expansion_oriented,700001,development,4091.0,15792.0,-11701.0,0,PARTIAL,719,207,3.78
expansion_oriented,700002,development,4527.0,16033.0,-11506.0,0,PARTIAL,719,197,3.8
expansion_oriented,700003,development,4815.0,15483.0,-10668.0,0,PARTIAL,719,200,3.69
animal_oriented,700000,development,28055.0,10885.0,17170.0,1,PARTIAL,719,613,4.0
animal_oriented,700001,development,28408.0,10615.0,17793.0,1,PARTIAL,719,596,4.88
animal_oriented,700002,development,28691.0,10160.0,18531.0,1,PARTIAL,719,613,5.6
animal_oriented,700003,development,27814.0,11852.0,15962.0,1,PARTIAL,719,613,5.46
conservative,700000,development,27870.0,6493.0,21377.0,1,PARTIAL,719,461,5.31
conservative,700001,development,28151.0,6375.0,21776.0,1,PARTIAL,719,461,4.85
conservative,700002,development,27992.0,6026.0,21966.0,1,PARTIAL,719,455,4.88
conservative,700003,development,27932.0,6064.0,21868.0,1,PARTIAL,719,461,4.53
aggressive_investment,700000,development,7677.0,9059.0,-1382.0,0,PARTIAL,719,265,6.52
aggressive_investment,700001,development,14492.0,746.0,13746.0,1,PARTIAL,719,252,7.12
aggressive_investment,700002,development,15603.0,1542.0,14061.0,1,PARTIAL,719,249,6.52
aggressive_investment,700003,development,6926.0,10955.0,-4029.0,0,PARTIAL,719,247,6.85
passive,701000,validation,27962.0,3000.0,24962.0,1,PARTIAL,719,0,3.0
passive,701001,validation,28224.0,3000.0,25224.0,1,PARTIAL,719,0,4.57
passive,701002,validation,28454.0,3000.0,25454.0,1,PARTIAL,719,0,4.51
passive,701003,validation,28576.0,3000.0,25576.0,1,PARTIAL,719,0,4.3
passive,701004,validation,28011.0,3000.0,25011.0,1,PARTIAL,719,0,4.23
production_heavy,701000,validation,23846.0,13435.0,10411.0,1,PARTIAL,719,204,6.41
production_heavy,701001,validation,24471.0,9322.0,15149.0,1,PARTIAL,719,202,6.33
production_heavy,701002,validation,23417.0,14027.0,9390.0,1,PARTIAL,719,201,6.66
production_heavy,701003,validation,20775.0,11299.0,9476.0,1,PARTIAL,719,203,6.23
production_heavy,701004,validation,22344.0,10302.0,12042.0,1,PARTIAL,719,204,6.32
market_selling,701000,validation,29805.0,7580.0,22225.0,1,PARTIAL,719,204,6.69
market_selling,701001,validation,28466.0,5666.0,22800.0,1,PARTIAL,719,202,6.38
market_selling,701002,validation,28352.0,9057.0,19295.0,1,PARTIAL,719,201,6.53
market_selling,701003,validation,26643.0,5615.0,21028.0,1,PARTIAL,719,203,6.29
market_selling,701004,validation,29282.0,3006.0,26276.0,1,PARTIAL,719,206,6.58
expansion_oriented,701000,validation,4582.0,15631.0,-11049.0,0,PARTIAL,719,199,5.65
expansion_oriented,701001,validation,4282.0,16209.0,-11927.0,0,PARTIAL,719,199,4.99
expansion_oriented,701002,validation,4705.0,16286.0,-11581.0,0,PARTIAL,719,197,5.16
expansion_oriented,701003,validation,4631.0,16113.0,-11482.0,0,PARTIAL,719,196,5.24
expansion_oriented,701004,validation,3809.0,16273.0,-12464.0,0,PARTIAL,719,196,5.91
animal_oriented,701000,validation,27058.0,10424.0,16634.0,1,PARTIAL,719,627,5.94
animal_oriented,701001,validation,28505.0,9871.0,18634.0,1,PARTIAL,719,587,6.04
animal_oriented,701002,validation,27454.0,11686.0,15768.0,1,PARTIAL,719,613,6.02
animal_oriented,701003,validation,27130.0,11553.0,15577.0,1,PARTIAL,719,613,5.96
animal_oriented,701004,validation,27150.0,9770.0,17380.0,1,PARTIAL,719,613,5.8
conservative,701000,validation,27938.0,6114.0,21824.0,1,PARTIAL,719,461,5.31
conservative,701001,validation,28081.0,6234.0,21847.0,1,PARTIAL,719,461,5.43
conservative,701002,validation,28867.0,5818.0,23049.0,1,PARTIAL,719,461,5.2
conservative,701003,validation,28804.0,6100.0,22704.0,1,PARTIAL,719,461,4.86
conservative,701004,validation,28371.0,6000.0,22371.0,1,PARTIAL,719,461,5.25
aggressive_investment,701000,validation,14822.0,973.0,13849.0,1,PARTIAL,719,242,6.97
aggressive_investment,701001,validation,6995.0,10440.0,-3445.0,0,PARTIAL,719,252,6.83
aggressive_investment,701002,validation,8822.0,8927.0,-105.0,0,PARTIAL,719,251,6.56
aggressive_investment,701003,validation,6784.0,10863.0,-4079.0,0,PARTIAL,719,251,6.17
aggressive_investment,701004,validation,14248.0,228.0,14020.0,1,PARTIAL,719,252,6.97
passive,702000,held_out,28341.0,3000.0,25341.0,1,PARTIAL,719,0,3.26
passive,702001,held_out,28226.0,3000.0,25226.0,1,PARTIAL,719,0,4.07
passive,702002,held_out,27865.0,3000.0,24865.0,1,PARTIAL,719,0,4.23
passive,702003,held_out,28057.0,3000.0,25057.0,1,PARTIAL,719,0,4.22
passive,702004,held_out,27510.0,3000.0,24510.0,1,PARTIAL,719,0,4.18
passive,702005,held_out,28121.0,3000.0,25121.0,1,PARTIAL,719,0,3.99
production_heavy,702000,held_out,23351.0,9705.0,13646.0,1,PARTIAL,719,201,4.47
production_heavy,702001,held_out,20749.0,8130.0,12619.0,1,PARTIAL,719,200,4.34
production_heavy,702002,held_out,23344.0,9128.0,14216.0,1,PARTIAL,719,202,5.45
production_heavy,702003,held_out,23509.0,7587.0,15922.0,1,PARTIAL,719,190,6.21
production_heavy,702004,held_out,24756.0,13986.0,10770.0,1,PARTIAL,719,191,6.06
