variant,opponent,seed,seed_set,protagonist_final_money,opponent_final_money,margin,win,validation,total_revenue,total_cost,melon_harvested,melon_sold,melon_unsold,melon_revenue,melon_avg_sell_price,n_activations,first_activation_turn,elapsed_s
C_melon_avoidance,expansion_oriented,700000,development,10151.0,22260.0,-12109.0,0,PARTIAL,12825.3077,5674.3077,0,0,0,0,,1,24,5.42
C_melon_avoidance,expansion_oriented,700001,development,11197.0,21805.0,-10608.0,0,PARTIAL,13689.0,5492.0,0,0,0,0,,1,24,5.71
C_melon_avoidance,expansion_oriented,700002,development,9985.0,22510.0,-12525.0,0,PARTIAL,12649.3077,5664.3077,0,0,0,0,,1,24,6.39
C_melon_avoidance,expansion_oriented,700003,development,11575.0,21961.0,-10386.0,0,PARTIAL,14067.0,5492.0,0,0,0,0,,1,24,6.52
D_production_substitution,expansion_oriented,700000,development,28063.0,21493.0,6570.0,1,PARTIAL,34335.8218,9272.8218,0,0,0,0,,1,24,4.85
D_production_substitution,expansion_oriented,700001,development,23987.0,22134.0,1853.0,1,PARTIAL,30058.487,9071.487,0,0,0,0,,1,24,5.96
D_production_substitution,expansion_oriented,700002,development,19367.0,22340.0,-2973.0,0,PARTIAL,25237.8428,8870.8429,0,0,0,0,,1,24,6.03
D_production_substitution,expansion_oriented,700003,development,24182.0,22216.0,1966.0,1,PARTIAL,30227.2933,9045.2933,0,0,0,0,,1,24,6.26
E_market_timing,expansion_oriented,700000,development,0.0,22134.0,-22134.0,0,PARTIAL,0,3000.0,55,0,55,0,,1,24,3.89
E_market_timing,expansion_oriented,700001,development,0.0,22340.0,-22340.0,0,PARTIAL,0,3000.0,55,0,55,0,,1,24,5.07
E_market_timing,expansion_oriented,700002,development,0.0,22340.0,-22340.0,0,PARTIAL,0,3000.0,55,0,55,0,,1,24,3.7
E_market_timing,expansion_oriented,700003,development,0.0,22145.0,-22145.0,0,PARTIAL,0,3000.0,55,0,55,0,,1,24,5.29
D_production_substitution,expansion_oriented,701000,validation,27371.0,22225.0,5146.0,1,PARTIAL,32801.5926,8430.5926,0,0,0,0,,1,24,4.71
D_production_substitution,expansion_oriented,701001,validation,13371.0,21894.0,-8523.0,0,PARTIAL,18876.3916,8505.3916,0,0,0,0,,1,24,6.65
D_production_substitution,expansion_oriented,701002,validation,21422.0,22239.0,-817.0,0,PARTIAL,26376.8879,7954.888,0,0,0,0,,1,24,6.87
D_production_substitution,expansion_oriented,701003,validation,20993.0,22340.0,-1347.0,0,PARTIAL,26952.024,8959.024,0,0,0,0,,1,24,5.6
D_production_substitution,expansion_oriented,701004,validation,25044.0,21961.0,3083.0,1,PARTIAL,30700.3649,8656.3648,0,0,0,0,,1,24,3.96
D_production_substitution,passive,701000,validation,27962.0,3000.0,24962.0,1,PARTIAL,34268.1801,9306.1801,157,147,10,29730.56,202.25,0,,2.95
D_production_substitution,passive,701001,validation,28224.0,3000.0,25224.0,1,PARTIAL,34557.9438,9333.9438,157,147,10,29699.41,202.04,0,,3.05
D_production_substitution,passive,701002,validation,28454.0,3000.0,25454.0,1,PARTIAL,34338.9826,8884.9826,157,147,10,29722.21,202.19,0,,3.7
D_production_substitution,passive,701003,validation,28576.0,3000.0,25576.0,1,PARTIAL,34810.7684,9234.7684,157,157,0,29825.45,189.97,0,,4.51
D_production_substitution,passive,701004,validation,28011.0,3000.0,25011.0,1,PARTIAL,34337.9518,9326.9518,157,147,10,29722.21,202.19,0,,4.76
D_production_substitution,production_heavy,701000,validation,23846.0,13435.0,10411.0,1,PARTIAL,30991.9711,10145.9712,214,181,33,22051.18,121.83,0,,5.32
D_production_substitution,production_heavy,701001,validation,24471.0,9322.0,15149.0,1,PARTIAL,30716.0588,9245.0588,157,147,10,16514.71,112.34,0,,5.99
D_production_substitution,production_heavy,701002,validation,23417.0,14027.0,9390.0,1,PARTIAL,29241.652,8824.652,157,147,10,16638.56,113.19,0,,6.53
D_production_substitution,production_heavy,701003,validation,20775.0,11299.0,9476.0,1,PARTIAL,29772.5239,11997.5239,204,162,42,27185.08,167.81,0,,7.18
D_production_substitution,production_heavy,701004,validation,22344.0,10302.0,12042.0,1,PARTIAL,29494.9843,10150.9842,214,181,33,21797.55,120.43,0,,6.57
D_production_substitution,market_selling,701000,validation,29805.0,7580.0,22225.0,1,PARTIAL,36358.2752,9553.2752,214,181,33,31411.74,173.55,0,,5.31
D_production_substitution,market_selling,701001,validation,28466.0,5666.0,22800.0,1,PARTIAL,34711.0588,9245.0588,157,147,10,29676.75,201.88,0,,6.88
D_production_substitution,market_selling,701002,validation,28352.0,9057.0,19295.0,1,PARTIAL,34176.652,8824.652,157,147,10,29770.3,202.52,0,,7.21
D_production_substitution,market_selling,701003,validation,26643.0,5615.0,21028.0,1,PARTIAL,34289.7992,10646.7992,204,162,42,31702.36,195.69,0,,4.95
D_production_substitution,market_selling,701004,validation,29282.0,3006.0,26276.0,1,PARTIAL,35858.315,9576.315,214,181,33,31474.39,173.89,0,,4.52
D_production_substitution,animal_oriented,701000,validation,27058.0,10424.0,16634.0,1,PARTIAL,33267.9661,9209.9661,157,147,10,29842.53,203.01,0,,5.46
D_production_substitution,animal_oriented,701001,validation,28505.0,9871.0,18634.0,1,PARTIAL,34557.0,9052.0,157,147,10,29699.41,202.04,0,,6.5
D_production_substitution,animal_oriented,701002,validation,27454.0,11686.0,15768.0,1,PARTIAL,33268.3227,8814.3227,157,147,10,29842.53,203.01,0,,5.96
D_production_substitution,animal_oriented,701003,validation,27130.0,11553.0,15577.0,1,PARTIAL,33406.8137,9276.8138,157,157,0,29961.02,190.83,0,,5.71
D_production_substitution,animal_oriented,701004,validation,27150.0,9770.0,17380.0,1,PARTIAL,33268.6553,9118.6553,157,147,10,29842.53,203.01,0,,6.32
D_production_substitution,conservative,701000,validation,27938.0,6114.0,21824.0,1,PARTIAL,34175.5481,9237.5481,157,147,10,29770.3,202.52,0,,5.53
D_production_substitution,conservative,701001,validation,28081.0,6234.0,21847.0,1,PARTIAL,34339.0,9258.0,157,147,10,29722.21,202.19,0,,5.3
D_production_substitution,conservative,701002,validation,28867.0,5818.0,23049.0,1,PARTIAL,34583.9917,8716.9917,157,147,10,29694.36,202.0,0,,5.13
D_production_substitution,conservative,701003,validation,28804.0,6100.0,22704.0,1,PARTIAL,35026.6538,9222.6537,157,157,0,29796.58,189.79,0,,5.11
D_production_substitution,conservative,701004,validation,28371.0,6000.0,22371.0,1,PARTIAL,34602.0,9231.0,157,147,10,29691.84,201.99,0,,5.76
D_production_substitution,aggressive_investment,701000,validation,14822.0,973.0,13849.0,1,PARTIAL,21314.9318,9492.9318,214,210,4,16959.63,80.76,0,,6.71
D_production_substitution,aggressive_investment,701001,validation,6995.0,10440.0,-3445.0,0,PARTIAL,13669.6283,9674.6283,157,115,42,9387.63,81.63,0,,6.85
D_production_substitution,aggressive_investment,701002,validation,8822.0,8927.0,-105.0,0,PARTIAL,15254.7377,9432.7377,157,115,42,11056.67,96.14,0,,6.75
D_production_substitution,aggressive_investment,701003,validation,6784.0,10863.0,-4079.0,0,PARTIAL,13452.4559,9668.4559,157,126,31,9393.14,74.55,0,,7.38
D_production_substitution,aggressive_investment,701004,validation,14248.0,228.0,14020.0,1,PARTIAL,20669.8112,9421.8112,214,210,4,16962.31,80.77,0,,7.25
D_production_substitution,expansion_oriented,702000,held_out,24929.0,21894.0,3035.0,1,PARTIAL,31223.1075,9294.1075,0,0,0,0,,1,24,5.19
D_production_substitution,expansion_oriented,702001,held_out,10568.0,22216.0,-11648.0,0,PARTIAL,15754.3329,8186.3329,0,0,0,0,,1,24,5.54
D_production_substitution,expansion_oriented,702002,held_out,23386.0,21894.0,1492.0,1,PARTIAL,29203.6166,8817.6166,0,0,0,0,,1,24,4.48
D_production_substitution,expansion_oriented,702003,held_out,24464.0,22225.0,2239.0,1,PARTIAL,30461.9461,8997.9461,0,0,0,0,,1,24,4.45
D_production_substitution,expansion_oriented,702004,held_out,26589.0,22260.0,4329.0,1,PARTIAL,32829.718,9240.718,0,0,0,0,,1,24,5.79
