candidate,opponent,seed,seed_set,protagonist_final_money,opponent_final_money,margin,win,strawberry_sold,strawberry_revenue,strawberry_avg_sell_price,melon_revenue,n_activations,elapsed_s
C_diversified_substitution,expansion_oriented,700000,development,13524.0,22260.0,-8736.0,0,51,10939.72,214.5,0,1,5.55
C_diversified_substitution,expansion_oriented,700001,development,14167.0,21814.0,-7647.0,0,51,10724.36,210.28,0,1,6.1
C_diversified_substitution,expansion_oriented,700002,development,15311.0,21743.0,-6432.0,0,51,11622.32,227.89,0,1,5.76
C_diversified_substitution,expansion_oriented,700003,development,19008.0,22171.0,-3163.0,0,49,11292.69,230.46,0,1,5.92
C_diversified_substitution,expansion_oriented,701000,validation,18129.0,22225.0,-4096.0,0,49,11802.11,240.86,0,1,4.43
C_diversified_substitution,expansion_oriented,701001,validation,16388.0,22216.0,-5828.0,0,49,10108.94,206.3,0,1,5.16
C_diversified_substitution,expansion_oriented,701002,validation,13242.0,21983.0,-8741.0,0,51,10049.15,197.04,0,1,5.8
C_diversified_substitution,expansion_oriented,701003,validation,15335.0,22340.0,-7005.0,0,49,8289.32,169.17,0,1,5.26
C_diversified_substitution,expansion_oriented,701004,validation,16648.0,21961.0,-5313.0,0,49,9908.81,202.22,0,1,5.99
C_diversified_substitution,expansion_oriented,702000,held_out,12959.0,22340.0,-9381.0,0,51,10496.75,205.82,0,1,4.59
C_diversified_substitution,expansion_oriented,702001,held_out,19406.0,22216.0,-2810.0,0,50,12285.61,245.71,0,1,5.93
C_diversified_substitution,expansion_oriented,702002,held_out,17201.0,21767.0,-4566.0,0,51,13115.93,257.18,0,1,5.37
C_diversified_substitution,expansion_oriented,702003,held_out,17701.0,22260.0,-4559.0,0,49,10812.01,220.65,0,1,4.08
C_diversified_substitution,expansion_oriented,702004,held_out,12536.0,22260.0,-9724.0,0,51,9648.56,189.19,0,1,3.88
C_diversified_substitution,expansion_oriented,702005,held_out,18857.0,22449.0,-3592.0,0,49,11504.25,234.78,0,1,3.98
E_partial_melon_retention,expansion_oriented,700000,development,17424.0,17194.0,230.0,1,51,14180.09,278.04,5076.79,1,4.75
E_partial_melon_retention,expansion_oriented,700001,development,17195.0,16884.0,311.0,1,51,14438.72,283.11,5078.53,1,5.63
E_partial_melon_retention,expansion_oriented,700002,development,15188.0,17274.0,-2086.0,0,45,12133.47,269.63,5082.03,1,5.89
E_partial_melon_retention,expansion_oriented,700003,development,14548.0,16973.0,-2425.0,0,51,11574.1,226.94,5090.87,1,6.31
E_partial_melon_retention,expansion_oriented,701000,validation,18593.0,16893.0,1700.0,1,51,15671.73,307.29,5124.48,1,5.04
E_partial_melon_retention,expansion_oriented,701001,validation,14692.0,17226.0,-2534.0,0,51,11269.57,220.97,5089.79,1,6.05
E_partial_melon_retention,expansion_oriented,701002,validation,16230.0,17232.0,-1002.0,0,51,13040.91,255.7,5087.1,1,6.02
E_partial_melon_retention,expansion_oriented,701003,validation,15440.0,17053.0,-1613.0,0,51,12431.14,243.75,5088.43,1,5.9
E_partial_melon_retention,expansion_oriented,701004,validation,17638.0,17053.0,585.0,1,51,14396.16,282.28,5082.95,1,5.81
E_partial_melon_retention,expansion_oriented,702000,held_out,15043.0,17226.0,-2183.0,0,51,11566.05,226.79,5089.38,1,4.39
E_partial_melon_retention,expansion_oriented,702001,held_out,17480.0,16659.0,821.0,1,51,14603.81,286.35,5161.13,1,5.71
E_partial_melon_retention,expansion_oriented,702002,held_out,15613.0,16860.0,-1247.0,0,51,12105.43,237.36,5095.8,1,6.46
E_partial_melon_retention,expansion_oriented,702003,held_out,17182.0,16940.0,242.0,1,51,13838.69,271.35,5091.49,1,5.95
E_partial_melon_retention,expansion_oriented,702004,held_out,18410.0,16973.0,1437.0,1,51,14877.75,291.72,5082.64,1,4.94
E_partial_melon_retention,expansion_oriented,702005,held_out,19377.0,16733.0,2644.0,1,51,16418.01,321.92,5119.38,1,4.31
