agent_variant,opponent,seed,seed_set,protagonist_final_money,opponent_final_money,margin,win,market_activations,scaling_activations,elapsed_s
planner_v1_control,heavy_scaler,800000,development,29300.0,25142.0,4158.0,1,0,0,5.2
planner_v1_control,heavy_scaler,800001,development,29603.0,28809.0,794.0,1,0,0,6.11
planner_v1_control,heavy_scaler,800002,development,29790.0,13730.0,16060.0,1,0,0,5.51
planner_v1_control,heavy_scaler,800003,development,29050.0,21762.0,7288.0,1,0,0,6.58
v2_scaling_only,heavy_scaler,800000,development,41050.0,29132.0,11918.0,1,0,1,5.67
v2_scaling_only,heavy_scaler,800001,development,42032.0,28866.0,13166.0,1,0,1,6.03
v2_scaling_only,heavy_scaler,800002,development,47603.0,16968.0,30635.0,1,0,1,6.1
v2_scaling_only,heavy_scaler,800003,development,46811.0,25786.0,21025.0,1,0,1,5.85
v2_full,passive,800000,development,27805.0,3000.0,24805.0,1,0,0,3.05
v2_full,passive,800001,development,27961.0,3000.0,24961.0,1,0,0,3.29
v2_full,passive,800002,development,27812.0,3000.0,24812.0,1,0,0,3.57
v2_full,passive,800003,development,28153.0,3000.0,25153.0,1,0,0,3.98
v2_full,production_heavy,800000,development,25328.0,9191.0,16137.0,1,0,0,5.08
v2_full,production_heavy,800001,development,24277.0,9084.0,15193.0,1,0,0,5.26
v2_full,production_heavy,800002,development,24394.0,12954.0,11440.0,1,0,0,5.74
v2_full,production_heavy,800003,development,23112.0,13126.0,9986.0,1,0,0,6.45
v2_full,market_selling,800000,development,28432.0,2625.0,25807.0,1,0,0,5.45
v2_full,market_selling,800001,development,28272.0,4257.0,24015.0,1,0,0,7.03
v2_full,market_selling,800002,development,28389.0,9189.0,19200.0,1,0,0,6.52
v2_full,market_selling,800003,development,29071.0,7239.0,21832.0,1,0,0,5.13
v2_full,animal_oriented,800000,development,28096.0,10494.0,17602.0,1,0,0,4.13
v2_full,animal_oriented,800001,development,28534.0,9491.0,19043.0,1,0,0,4.03
v2_full,animal_oriented,800002,development,28354.0,10954.0,17400.0,1,0,0,4.05
v2_full,animal_oriented,800003,development,27002.0,11407.0,15595.0,1,0,0,4.02
v2_full,conservative,800000,development,27941.0,6014.0,21927.0,1,0,0,3.47
v2_full,conservative,800001,development,28322.0,6196.0,22126.0,1,0,0,3.47
v2_full,conservative,800002,development,28470.0,5755.0,22715.0,1,0,0,3.5
v2_full,conservative,800003,development,27970.0,5963.0,22007.0,1,0,0,3.48
v2_full,aggressive_investment,800000,development,8439.0,9234.0,-795.0,0,0,0,4.56
v2_full,aggressive_investment,800001,development,8019.0,9533.0,-1514.0,0,0,0,4.58
v2_full,aggressive_investment,800002,development,14179.0,1096.0,13083.0,1,0,0,4.63
v2_full,aggressive_investment,800003,development,6465.0,11264.0,-4799.0,0,0,0,4.55
planner_v1_control,passive,800000,development,27805.0,3000.0,24805.0,1,0,0,2.79
planner_v1_control,passive,800001,development,27961.0,3000.0,24961.0,1,0,0,2.76
planner_v1_control,passive,800002,development,27812.0,3000.0,24812.0,1,0,0,2.81
planner_v1_control,passive,800003,development,28153.0,3000.0,25153.0,1,0,0,2.87
planner_v1_control,production_heavy,800000,development,25328.0,9191.0,16137.0,1,0,0,5.14
planner_v1_control,production_heavy,800001,development,24277.0,9084.0,15193.0,1,0,0,6.21
planner_v1_control,production_heavy,800002,development,24394.0,12954.0,11440.0,1,0,0,6.34
planner_v1_control,production_heavy,800003,development,23112.0,13126.0,9986.0,1,0,0,5.45
planner_v1_control,market_selling,800000,development,28432.0,2625.0,25807.0,1,0,0,4.35
planner_v1_control,market_selling,800001,development,28272.0,4257.0,24015.0,1,0,0,4.48
planner_v1_control,market_selling,800002,development,28389.0,9189.0,19200.0,1,0,0,4.34
planner_v1_control,market_selling,800003,development,29071.0,7239.0,21832.0,1,0,0,4.61
planner_v1_control,animal_oriented,800000,development,28096.0,10494.0,17602.0,1,0,0,4.07
planner_v1_control,animal_oriented,800001,development,28534.0,9491.0,19043.0,1,0,0,4.15
planner_v1_control,animal_oriented,800002,development,28354.0,10954.0,17400.0,1,0,0,6.78
planner_v1_control,animal_oriented,800003,development,27002.0,11407.0,15595.0,1,0,0,6.7
planner_v1_control,conservative,800000,development,27941.0,6014.0,21927.0,1,0,0,4.27
planner_v1_control,conservative,800001,development,28322.0,6196.0,22126.0,1,0,0,5.02
planner_v1_control,conservative,800002,development,28470.0,5755.0,22715.0,1,0,0,4.86
planner_v1_control,conservative,800003,development,27970.0,5963.0,22007.0,1,0,0,5.2
planner_v1_control,aggressive_investment,800000,development,8439.0,9234.0,-795.0,0,0,0,5.42
planner_v1_control,aggressive_investment,800001,development,8019.0,9533.0,-1514.0,0,0,0,5.79
planner_v1_control,aggressive_investment,800002,development,14179.0,1096.0,13083.0,1,0,0,5.88
planner_v1_control,aggressive_investment,800003,development,6465.0,11264.0,-4799.0,0,0,0,6.37
planner_v1_control,heavy_scaler,801000,validation,31380.0,22071.0,9309.0,1,0,0,5.92
planner_v1_control,heavy_scaler,801001,validation,28750.0,21639.0,7111.0,1,0,0,6.43
planner_v1_control,heavy_scaler,801002,validation,29816.0,25621.0,4195.0,1,0,0,6.66
planner_v1_control,heavy_scaler,801003,validation,29309.0,25484.0,3825.0,1,0,0,6.75
planner_v1_control,heavy_scaler,801004,validation,29054.0,20558.0,8496.0,1,0,0,7.37
v2_full,heavy_scaler,801000,validation,44692.0,27893.0,16799.0,1,0,1,6.47
v2_full,heavy_scaler,801001,validation,41325.0,26466.0,14859.0,1,0,1,7.65
v2_full,heavy_scaler,801002,validation,44332.0,19847.0,24485.0,1,0,1,7.57
v2_full,heavy_scaler,801003,validation,47652.0,17732.0,29920.0,1,0,1,7.7
v2_full,heavy_scaler,801004,validation,46195.0,16500.0,29695.0,1,0,1,7.47
planner_v1_control,heavy_scaler,802000,held_out,29701.0,29461.0,240.0,1,0,0,4.93
planner_v1_control,heavy_scaler,802001,held_out,29562.0,21925.0,7637.0,1,0,0,6.58
planner_v1_control,heavy_scaler,802002,held_out,29756.0,28104.0,1652.0,1,0,0,5.55
planner_v1_control,heavy_scaler,802003,held_out,29184.0,17667.0,11517.0,1,0,0,6.83
planner_v1_control,heavy_scaler,802004,held_out,29482.0,27478.0,2004.0,1,0,0,6.54
planner_v1_control,heavy_scaler,802005,held_out,29301.0,24069.0,5232.0,1,0,0,6.6
