submission,episode_id,seed,opponent,result,own_final_money,opponent_final_money,rating_before,rating_after,public_state_trajectory,market_trajectory,actions,inferred_opponent_behavior,inferred_regime,failure_id,confidence
A (Phase 3.4 Variant D),104567976,620888955,Jatin Chawla,LOSS,7629.0,51758.0,NOT AVAILABLE (not present in replay JSON),NOT AVAILABLE (not present in replay JSON),results/phase3_5/trajectories/104567976.json,results/phase3_5/trajectories/104567976.json (market_prices/market_inventory fields),"NOT EXTRACTED (our own actions are in the replay's 'action' field per step but were not separately tabulated this phase -- OBSERVED to exist, not summarized)",OBSERVED: sustained_multi_resource_scaling,sustained_multi_resource_scaling,L001,SUPPORTED
A (Phase 3.4 Variant D),104568456,1143490605,Tanjim Ahmed Kingshu,WIN,11286.0,9865.0,NOT AVAILABLE (not present in replay JSON),NOT AVAILABLE (not present in replay JSON),results/phase3_5/trajectories/104568456.json,results/phase3_5/trajectories/104568456.json (market_prices/market_inventory fields),"NOT EXTRACTED (our own actions are in the replay's 'action' field per step but were not separately tabulated this phase -- OBSERVED to exist, not summarized)",OBSERVED: passive_or_low_footprint,passive_or_low_footprint,N/A (win),N/A (win)
A (Phase 3.4 Variant D),104568879,1305748635,Heng Yu,WIN,19711.0,10179.0,NOT AVAILABLE (not present in replay JSON),NOT AVAILABLE (not present in replay JSON),results/phase3_5/trajectories/104568879.json,results/phase3_5/trajectories/104568879.json (market_prices/market_inventory fields),"NOT EXTRACTED (our own actions are in the replay's 'action' field per step but were not separately tabulated this phase -- OBSERVED to exist, not summarized)",OBSERVED: passive_or_low_footprint,passive_or_low_footprint,N/A (win),N/A (win)
A (Phase 3.4 Variant D),104569747,460606704,Quantum,LOSS,9368.0,92765.0,NOT AVAILABLE (not present in replay JSON),NOT AVAILABLE (not present in replay JSON),results/phase3_5/trajectories/104569747.json,results/phase3_5/trajectories/104569747.json (market_prices/market_inventory fields),"NOT EXTRACTED (our own actions are in the replay's 'action' field per step but were not separately tabulated this phase -- OBSERVED to exist, not summarized)",OBSERVED: sustained_multi_resource_scaling,sustained_multi_resource_scaling,L002,SUPPORTED
A (Phase 3.4 Variant D),104570236,1036263131,all-coder,LOSS,19263.0,37818.0,NOT AVAILABLE (not present in replay JSON),NOT AVAILABLE (not present in replay JSON),results/phase3_5/trajectories/104570236.json,results/phase3_5/trajectories/104570236.json (market_prices/market_inventory fields),"NOT EXTRACTED (our own actions are in the replay's 'action' field per step but were not separately tabulated this phase -- OBSERVED to exist, not summarized)",OBSERVED: sustained_multi_resource_scaling,sustained_multi_resource_scaling,L003,SUPPORTED
A (Phase 3.4 Variant D),104570723,1592850292,nguyễn huệ anh,LOSS,15533.0,23687.0,NOT AVAILABLE (not present in replay JSON),NOT AVAILABLE (not present in replay JSON),results/phase3_5/trajectories/104570723.json,results/phase3_5/trajectories/104570723.json (market_prices/market_inventory fields),"NOT EXTRACTED (our own actions are in the replay's 'action' field per step but were not separately tabulated this phase -- OBSERVED to exist, not summarized)",HYPOTHESIS: modest_scale_crop_choice_advantage,modest_scale_crop_choice_advantage,L004,HYPOTHESIS
A (Phase 3.4 Variant D),104571150,1497685343,Deepesh Pankaj,LOSS,8427.0,23325.0,NOT AVAILABLE (not present in replay JSON),NOT AVAILABLE (not present in replay JSON),results/phase3_5/trajectories/104571150.json,results/phase3_5/trajectories/104571150.json (market_prices/market_inventory fields),"NOT EXTRACTED (our own actions are in the replay's 'action' field per step but were not separately tabulated this phase -- OBSERVED to exist, not summarized)",OBSERVED: sustained_multi_resource_scaling,sustained_multi_resource_scaling,L005,SUPPORTED
A (Phase 3.4 Variant D),104574124,3464666,Sithija Amarathunga,WIN,24068.0,7982.0,NOT AVAILABLE (not present in replay JSON),NOT AVAILABLE (not present in replay JSON),results/phase3_5/trajectories/104574124.json,results/phase3_5/trajectories/104574124.json (market_prices/market_inventory fields),"NOT EXTRACTED (our own actions are in the replay's 'action' field per step but were not separately tabulated this phase -- OBSERVED to exist, not summarized)",OBSERVED: sustained_multi_resource_scaling,sustained_multi_resource_scaling,N/A (win),N/A (win)
A (Phase 3.4 Variant D),104574962,1641110928,Ritesh-2006,LOSS,29232.0,39083.0,NOT AVAILABLE (not present in replay JSON),NOT AVAILABLE (not present in replay JSON),results/phase3_5/trajectories/104574962.json,results/phase3_5/trajectories/104574962.json (market_prices/market_inventory fields),"NOT EXTRACTED (our own actions are in the replay's 'action' field per step but were not separately tabulated this phase -- OBSERVED to exist, not summarized)",HYPOTHESIS: modest_scale_crop_choice_advantage,modest_scale_crop_choice_advantage,L006,HYPOTHESIS
A (Phase 3.4 Variant D),104575529,260103445,Acteus,LOSS,15595.0,22846.0,NOT AVAILABLE (not present in replay JSON),NOT AVAILABLE (not present in replay JSON),results/phase3_5/trajectories/104575529.json,results/phase3_5/trajectories/104575529.json (market_prices/market_inventory fields),"NOT EXTRACTED (our own actions are in the replay's 'action' field per step but were not separately tabulated this phase -- OBSERVED to exist, not summarized)",HYPOTHESIS: modest_scale_crop_choice_advantage,modest_scale_crop_choice_advantage,L007,HYPOTHESIS
A (Phase 3.4 Variant D),104593051,1490515890,JOYMIE TALICUAD,WIN,27260.0,4086.0,NOT AVAILABLE (not present in replay JSON),NOT AVAILABLE (not present in replay JSON),results/phase3_5/trajectories/104593051.json,results/phase3_5/trajectories/104593051.json (market_prices/market_inventory fields),"NOT EXTRACTED (our own actions are in the replay's 'action' field per step but were not separately tabulated this phase -- OBSERVED to exist, not summarized)",OBSERVED: passive_or_low_footprint,passive_or_low_footprint,N/A (win),N/A (win)
A (Phase 3.4 Variant D),104597196,197829627,zama,LOSS,20701.0,29537.0,NOT AVAILABLE (not present in replay JSON),NOT AVAILABLE (not present in replay JSON),results/phase3_5/trajectories/104597196.json,results/phase3_5/trajectories/104597196.json (market_prices/market_inventory fields),"NOT EXTRACTED (our own actions are in the replay's 'action' field per step but were not separately tabulated this phase -- OBSERVED to exist, not summarized)",OBSERVED: sustained_multi_resource_scaling,sustained_multi_resource_scaling,L008,SUPPORTED
A (Phase 3.4 Variant D),104597919,1900270230,Shoroogh Ahmadi,WIN,24583.0,1856.0,NOT AVAILABLE (not present in replay JSON),NOT AVAILABLE (not present in replay JSON),results/phase3_5/trajectories/104597919.json,results/phase3_5/trajectories/104597919.json (market_prices/market_inventory fields),"NOT EXTRACTED (our own actions are in the replay's 'action' field per step but were not separately tabulated this phase -- OBSERVED to exist, not summarized)",OBSERVED: sustained_multi_resource_scaling,sustained_multi_resource_scaling,N/A (win),N/A (win)
A (Phase 3.4 Variant D),104615545,421574108,explise,LOSS,5372.0,17235.0,NOT AVAILABLE (not present in replay JSON),NOT AVAILABLE (not present in replay JSON),results/phase3_5/trajectories/104615545.json,results/phase3_5/trajectories/104615545.json (market_prices/market_inventory fields),"NOT EXTRACTED (our own actions are in the replay's 'action' field per step but were not separately tabulated this phase -- OBSERVED to exist, not summarized)",HYPOTHESIS: modest_scale_crop_choice_advantage,modest_scale_crop_choice_advantage,L009,HYPOTHESIS
A (Phase 3.4 Variant D),104661878,566494666,Sharath S,WIN,28508.0,4086.0,NOT AVAILABLE (not present in replay JSON),NOT AVAILABLE (not present in replay JSON),results/phase3_5/trajectories/104661878.json,results/phase3_5/trajectories/104661878.json (market_prices/market_inventory fields),"NOT EXTRACTED (our own actions are in the replay's 'action' field per step but were not separately tabulated this phase -- OBSERVED to exist, not summarized)",OBSERVED: passive_or_low_footprint,passive_or_low_footprint,N/A (win),N/A (win)
A (Phase 3.4 Variant D),104690112,1806331283,Michael Cahill,WIN,28387.0,11075.0,NOT AVAILABLE (not present in replay JSON),NOT AVAILABLE (not present in replay JSON),results/phase3_5/trajectories/104690112.json,results/phase3_5/trajectories/104690112.json (market_prices/market_inventory fields),"NOT EXTRACTED (our own actions are in the replay's 'action' field per step but were not separately tabulated this phase -- OBSERVED to exist, not summarized)",OBSERVED: passive_or_low_footprint,passive_or_low_footprint,N/A (win),N/A (win)
A (Phase 3.4 Variant D),104697422,830974462,Nguyễn Đỉnh,WIN,22591.0,10326.0,NOT AVAILABLE (not present in replay JSON),NOT AVAILABLE (not present in replay JSON),results/phase3_5/trajectories/104697422.json,results/phase3_5/trajectories/104697422.json (market_prices/market_inventory fields),"NOT EXTRACTED (our own actions are in the replay's 'action' field per step but were not separately tabulated this phase -- OBSERVED to exist, not summarized)",OBSERVED: passive_or_low_footprint,passive_or_low_footprint,N/A (win),N/A (win)
A (Phase 3.4 Variant D),104703432,1665702983,Phan Van Hieu ,LOSS,1595.0,22932.0,NOT AVAILABLE (not present in replay JSON),NOT AVAILABLE (not present in replay JSON),results/phase3_5/trajectories/104703432.json,results/phase3_5/trajectories/104703432.json (market_prices/market_inventory fields),"NOT EXTRACTED (our own actions are in the replay's 'action' field per step but were not separately tabulated this phase -- OBSERVED to exist, not summarized)",OBSERVED: sustained_multi_resource_scaling,sustained_multi_resource_scaling,L010,SUPPORTED
