candidate,opponent,seed,seed_set,protagonist_final_money,opponent_final_money,margin,win,market_activations,scaling_activations,first_scaling_activation_turn,elapsed_s
B0_fixed,scaler_5,900000,development,41827.0,14479.0,27348.0,1,0,1,66,6.72
B0_fixed,scaler_5,900001,development,46371.0,12746.0,33625.0,1,0,1,66,8.5
B0_fixed,scaler_5,900002,development,50165.0,10753.0,39412.0,1,0,1,66,7.92
B0_fixed,scaler_7,900000,development,45372.0,19179.0,26193.0,1,0,1,66,6.99
B0_fixed,scaler_7,900001,development,50267.0,18255.0,32012.0,1,0,1,66,8.31
B0_fixed,scaler_7,900002,development,47933.0,22397.0,25536.0,1,0,1,66,8.13
B0_fixed,scaler_10,900000,development,42322.0,0.0,42322.0,1,0,1,66,4.43
B0_fixed,scaler_10,900001,development,47399.0,0.0,47399.0,1,0,1,66,5.35
B0_fixed,scaler_10,900002,development,42793.0,25334.0,17459.0,1,0,1,66,7.06
B0_fixed,heavy_scaler,900000,development,34290.0,23828.0,10462.0,1,0,1,66,6.37
B0_fixed,heavy_scaler,900001,development,43473.0,19527.0,23946.0,1,0,1,66,5.48
B0_fixed,heavy_scaler,900002,development,43628.0,17990.0,25638.0,1,0,1,66,4.99
B1_absolute_proportional,scaler_5,900000,development,27993.0,13472.0,14521.0,1,0,27,66,4.87
B1_absolute_proportional,scaler_5,900001,development,27821.0,12298.0,15523.0,1,0,27,66,4.85
B1_absolute_proportional,scaler_5,900002,development,27961.0,10661.0,17300.0,1,0,27,66,4.85
B1_absolute_proportional,scaler_7,900000,development,32914.0,18526.0,14388.0,1,0,27,66,5.38
B1_absolute_proportional,scaler_7,900001,development,34600.0,18069.0,16531.0,1,0,27,66,7.19
B1_absolute_proportional,scaler_7,900002,development,32084.0,22040.0,10044.0,1,0,27,66,7.62
B1_absolute_proportional,scaler_10,900000,development,35367.0,0.0,35367.0,1,0,2,66,5.13
B1_absolute_proportional,scaler_10,900001,development,35557.0,0.0,35557.0,1,0,2,66,5.73
B1_absolute_proportional,scaler_10,900002,development,35701.0,18665.0,17036.0,1,0,3,66,7.72
B1_absolute_proportional,heavy_scaler,900000,development,33027.0,22045.0,10982.0,1,0,3,66,6.68
B1_absolute_proportional,heavy_scaler,900001,development,37066.0,22059.0,15007.0,1,0,4,66,7.61
B1_absolute_proportional,heavy_scaler,900002,development,34743.0,15530.0,19213.0,1,0,3,66,7.59
B2_relative_gap,scaler_5,900000,development,33534.0,14161.0,19373.0,1,0,27,66,6.51
B2_relative_gap,scaler_5,900001,development,33314.0,11597.0,21717.0,1,0,27,66,7.49
B2_relative_gap,scaler_5,900002,development,32457.0,10546.0,21911.0,1,0,27,66,6.94
B2_relative_gap,scaler_7,900000,development,32432.0,21443.0,10989.0,1,0,2,66,6.13
B2_relative_gap,scaler_7,900001,development,39074.0,20714.0,18360.0,1,0,2,66,7.62
B2_relative_gap,scaler_7,900002,development,38657.0,21153.0,17504.0,1,0,2,66,7.13
B2_relative_gap,scaler_10,900000,development,38030.0,5328.0,32702.0,1,0,4,66,5.09
B2_relative_gap,scaler_10,900001,development,36613.0,0.0,36613.0,1,0,4,66,6.07
B2_relative_gap,scaler_10,900002,development,39645.0,24735.0,14910.0,1,0,4,66,7.03
B2_relative_gap,heavy_scaler,900000,development,34698.0,23470.0,11228.0,1,0,4,66,5.93
B2_relative_gap,heavy_scaler,900001,development,38618.0,16111.0,22507.0,1,0,6,66,4.92
B2_relative_gap,heavy_scaler,900002,development,37516.0,12515.0,25001.0,1,0,5,66,4.8
B3_growth_rate_aware,scaler_5,900000,development,27797.0,14254.0,13543.0,1,0,26,66,4.9
B3_growth_rate_aware,scaler_5,900001,development,27691.0,12474.0,15217.0,1,0,26,66,4.95
B3_growth_rate_aware,scaler_5,900002,development,28361.0,10661.0,17700.0,1,0,26,66,4.9
B3_growth_rate_aware,scaler_7,900000,development,33986.0,19312.0,14674.0,1,0,7,66,5.19
B3_growth_rate_aware,scaler_7,900001,development,36422.0,18057.0,18365.0,1,0,7,66,5.06
B3_growth_rate_aware,scaler_7,900002,development,35733.0,21640.0,14093.0,1,0,7,66,7.07
B3_growth_rate_aware,scaler_10,900000,development,37493.0,0.0,37493.0,1,0,4,66,4.59
B3_growth_rate_aware,scaler_10,900001,development,33569.0,0.0,33569.0,1,0,4,66,5.61
B3_growth_rate_aware,scaler_10,900002,development,39289.0,18715.0,20574.0,1,0,5,66,7.6
B3_growth_rate_aware,heavy_scaler,900000,development,34532.0,22023.0,12509.0,1,0,5,66,6.77
B3_growth_rate_aware,heavy_scaler,900001,development,37149.0,22069.0,15080.0,1,0,7,66,8.02
B3_growth_rate_aware,heavy_scaler,900002,development,36177.0,15513.0,20664.0,1,0,6,66,5.97
B4_budget_constrained,scaler_5,900000,development,27986.0,13584.0,14402.0,1,0,18,282,5.78
B4_budget_constrained,scaler_5,900001,development,27815.0,12352.0,15463.0,1,0,18,282,6.54
B4_budget_constrained,scaler_5,900002,development,27730.0,11190.0,16540.0,1,0,18,282,6.43
B4_budget_constrained,scaler_7,900000,development,31271.0,16830.0,14441.0,1,0,18,282,6.01
B4_budget_constrained,scaler_7,900001,development,33788.0,19176.0,14612.0,1,0,18,282,7.11
B4_budget_constrained,scaler_7,900002,development,32428.0,21587.0,10841.0,1,0,18,282,6.8
B4_budget_constrained,scaler_10,900000,development,35377.0,0.0,35377.0,1,0,2,265,4.25
B4_budget_constrained,scaler_10,900001,development,37433.0,21898.0,15535.0,1,0,3,282,6.81
B4_budget_constrained,scaler_10,900002,development,35974.0,22151.0,13823.0,1,0,2,282,6.83
B4_budget_constrained,heavy_scaler,900000,development,35811.0,23943.0,11868.0,1,0,2,265,5.82
B4_budget_constrained,heavy_scaler,900001,development,38047.0,21491.0,16556.0,1,0,3,265,6.71
B4_budget_constrained,heavy_scaler,900002,development,36531.0,17415.0,19116.0,1,0,2,265,6.51
B5_hybrid,scaler_5,900000,development,27797.0,14254.0,13543.0,1,0,26,66,5.72
B5_hybrid,scaler_5,900001,development,27691.0,12474.0,15217.0,1,0,26,66,6.62
B5_hybrid,scaler_5,900002,development,28361.0,10661.0,17700.0,1,0,26,66,6.43
B5_hybrid,scaler_7,900000,development,33986.0,19312.0,14674.0,1,0,7,66,6.11
B5_hybrid,scaler_7,900001,development,36422.0,18057.0,18365.0,1,0,7,66,7.19
B5_hybrid,scaler_7,900002,development,35733.0,21640.0,14093.0,1,0,7,66,7.13
B5_hybrid,scaler_10,900000,development,37493.0,0.0,37493.0,1,0,4,66,4.69
B5_hybrid,scaler_10,900001,development,33569.0,0.0,33569.0,1,0,4,66,5.36
B5_hybrid,scaler_10,900002,development,39289.0,18715.0,20574.0,1,0,5,66,6.78
B5_hybrid,heavy_scaler,900000,development,34532.0,22023.0,12509.0,1,0,5,66,6.05
B5_hybrid,heavy_scaler,900001,development,37149.0,22069.0,15080.0,1,0,7,66,7.03
B5_hybrid,heavy_scaler,900002,development,36177.0,15513.0,20664.0,1,0,6,66,6.65
B0_fixed,scaler_10,901000,validation,37776.0,25677.0,12099.0,1,0,1,66,5.2
B0_fixed,scaler_10,901001,validation,44024.0,0.0,44024.0,1,0,1,66,5.31
B0_fixed,scaler_10,901002,validation,40338.0,14389.0,25949.0,1,0,1,66,6.51
B0_fixed,scaler_10,901003,validation,43796.0,0.0,43796.0,1,0,1,66,5.06
B0_fixed,heavy_scaler,901000,validation,40787.0,27851.0,12936.0,1,0,1,66,7.24
B0_fixed,heavy_scaler,901001,validation,39472.0,21063.0,18409.0,1,0,1,66,9.18
B0_fixed,heavy_scaler,901002,validation,44607.0,13387.0,31220.0,1,0,1,66,8.94
B0_fixed,heavy_scaler,901003,validation,45562.0,20054.0,25508.0,1,0,1,66,8.57
B2_relative_gap,scaler_10,901000,validation,38491.0,0.0,38491.0,1,0,2,66,5.05
B2_relative_gap,scaler_10,901001,validation,38138.0,21678.0,16460.0,1,0,3,66,8.57
B2_relative_gap,scaler_10,901002,validation,36977.0,16630.0,20347.0,1,0,3,66,6.6
B2_relative_gap,scaler_10,901003,validation,37214.0,2255.0,34959.0,1,0,5,66,6.18
B2_relative_gap,heavy_scaler,901000,validation,37187.0,24717.0,12470.0,1,0,5,66,6.11
B2_relative_gap,heavy_scaler,901001,validation,35593.0,23551.0,12042.0,1,0,5,66,6.38
B2_relative_gap,heavy_scaler,901002,validation,33439.0,18403.0,15036.0,1,0,3,66,6.15
B2_relative_gap,heavy_scaler,901003,validation,38115.0,14810.0,23305.0,1,0,5,66,6.58
