candidate,opponent,seed,seed_set,protagonist_final_money,opponent_final_money,margin,win,total_revenue,total_cost,melon_harvested,market_activations,scaling_activations,animal_response_activations,elapsed_s
AB_submission_C,expansion_oriented,700000,development,28063.0,21493.0,6570.0,1,34335.8218,9272.8218,0,1,0,0,4.62
C_market_impact,expansion_oriented,700000,development,12548.0,17872.0,-5324.0,0,19824.3444,10276.3445,55,1,0,0,5.98
D_naive_price,expansion_oriented,700000,development,5150.0,17872.0,-12722.0,0,11399.9783,9249.9784,55,1,0,0,6.1
E_diversified,expansion_oriented,700000,development,10151.0,22260.0,-12109.0,0,12825.3077,5674.3077,0,1,0,0,5.96
AB_submission_C,expansion_oriented,700001,development,23987.0,22134.0,1853.0,1,30058.487,9071.487,0,1,0,0,5.98
C_market_impact,expansion_oriented,700001,development,9875.0,17489.0,-7614.0,0,17159.7507,10284.7508,55,1,0,0,5.32
D_naive_price,expansion_oriented,700001,development,4867.0,17489.0,-12622.0,0,11114.1458,9247.1458,55,1,0,0,6.24
E_diversified,expansion_oriented,700001,development,11197.0,21805.0,-10608.0,0,13689.0,5492.0,0,1,0,0,6.45
AB_submission_C,expansion_oriented,700002,development,19367.0,22340.0,-2973.0,0,25237.8428,8870.8429,0,1,0,0,6.17
C_market_impact,expansion_oriented,700002,development,13682.0,17776.0,-4094.0,0,20505.1961,9823.1961,55,1,0,0,5.87
D_naive_price,expansion_oriented,700002,development,4170.0,17776.0,-13606.0,0,10203.2833,9033.2833,55,1,0,0,5.98
E_diversified,expansion_oriented,700002,development,9985.0,22510.0,-12525.0,0,12649.3077,5664.3077,0,1,0,0,7.06
AB_submission_C,expansion_oriented,700003,development,24182.0,22216.0,1966.0,1,30227.2933,9045.2933,0,1,0,0,6.81
C_market_impact,expansion_oriented,700003,development,12613.0,17724.0,-5111.0,0,19526.2695,9913.2695,55,1,0,0,6.7
D_naive_price,expansion_oriented,700003,development,5348.0,17724.0,-12376.0,0,11552.9373,9204.9373,55,1,0,0,6.54
E_diversified,expansion_oriented,700003,development,11575.0,21961.0,-10386.0,0,14067.0,5492.0,0,1,0,0,7.22
AB_submission_C,expansion_oriented,701000,validation,27371.0,22225.0,5146.0,1,32801.5926,8430.5926,0,1,0,0,7.02
C_market_impact,expansion_oriented,701000,validation,12254.0,17865.0,-5611.0,0,19706.2628,10452.2628,55,1,0,0,6.73
D_naive_price,expansion_oriented,701000,validation,5084.0,17865.0,-12781.0,0,11400.9525,9316.9525,55,1,0,0,5.78
E_diversified,expansion_oriented,701000,validation,11654.0,22239.0,-10585.0,0,14146.0,5492.0,0,1,0,0,5.66
AB_submission_C,expansion_oriented,701001,validation,13371.0,21894.0,-8523.0,0,18876.3916,8505.3916,0,1,0,0,5.87
C_market_impact,expansion_oriented,701001,validation,9350.0,17898.0,-8548.0,0,16662.3372,10312.3371,55,1,0,0,6.42
D_naive_price,expansion_oriented,701001,validation,4844.0,17898.0,-13054.0,0,11117.1452,9273.1452,55,1,0,0,4.85
E_diversified,expansion_oriented,701001,validation,11663.0,22216.0,-10553.0,0,14155.0,5492.0,0,1,0,0,5.45
AB_submission_C,expansion_oriented,701002,validation,21422.0,22239.0,-817.0,0,26376.8879,7954.888,0,1,0,0,4.9
C_market_impact,expansion_oriented,701002,validation,12498.0,17963.0,-5465.0,0,19931.7297,10433.7297,55,1,0,0,5.5
D_naive_price,expansion_oriented,701002,validation,4696.0,17963.0,-13267.0,0,10623.0,8927.0,55,1,0,0,5.39
E_diversified,expansion_oriented,701002,validation,10577.0,22287.0,-11710.0,0,13251.3077,5674.3077,0,1,0,0,6.12
