day,turn,is_self,bank,hands_count,land_quadrants,fertilized_tile_count,cared_animal_count,fed_animal_count,hires_today,total_crop_tiles,total_animal_count,tiles_WHEAT,tiles_CARROT,tiles_TOMATO,tiles_STRAWBERRY,tiles_MELON,animals_GOOSE,animals_COW,animals_SHEEP
0,23,False,472.0,2,1,0,0,0,2,15,0,5,3,0,2,5,0,0,0
1,47,False,460.0,5,1,0,0,1,5,15,1,5,3,0,2,5,0,1,0
2,71,False,419.0,5,1,0,3,1,5,15,4,5,3,0,2,5,0,4,0
3,95,False,449.0,5,1,2,4,4,5,12,4,5,0,0,2,5,0,4,0
4,119,False,792.0,5,1,0,4,4,5,10,4,3,0,0,2,5,0,4,0
5,143,False,1216.0,5,1,0,4,4,5,13,4,6,0,0,2,5,0,4,0
6,167,False,549.0,5,1,0,5,5,5,13,5,6,0,0,2,5,0,5,0
7,191,False,573.0,5,1,2,5,6,5,13,7,6,0,0,2,5,0,7,0
8,215,False,557.0,5,1,6,7,7,5,12,7,5,0,0,2,5,0,7,0
9,239,False,631.0,5,1,5,7,7,5,9,7,2,0,0,2,5,0,7,0
10,263,False,2438.0,5,1,5,8,7,5,9,8,2,0,0,2,5,0,8,0
11,287,False,5275.0,5,1,6,9,9,5,9,9,2,0,0,2,5,0,9,0
12,311,False,3052.0,5,2,1,9,9,5,3,9,1,0,0,2,0,0,9,0
13,335,False,12923.0,5,2,1,9,9,5,2,10,0,0,0,2,0,0,9,1
14,359,False,13430.0,5,2,2,10,10,5,8,10,4,0,0,2,2,0,9,1
15,383,False,12918.0,5,3,2,10,10,5,8,10,4,0,0,2,2,0,9,1
16,407,False,12932.0,5,4,2,10,10,5,8,10,4,0,0,2,2,0,9,1
17,431,False,17281.0,5,4,0,10,10,5,7,10,5,0,0,0,2,0,9,1
18,455,False,19966.0,5,4,0,10,10,5,7,10,5,0,0,0,2,0,9,1
19,479,False,25606.0,5,4,0,10,10,5,6,10,3,0,0,1,2,0,9,1
20,503,False,31165.0,5,4,0,10,10,5,6,10,3,0,0,1,2,0,9,1
21,527,False,35560.0,5,4,0,10,10,5,7,10,4,0,0,1,2,0,9,1
22,551,False,39431.0,5,4,1,10,10,5,6,10,3,0,0,1,2,0,9,1
23,575,False,45228.0,5,4,2,10,10,5,9,10,6,0,0,1,2,0,9,1
24,599,False,49008.0,5,4,3,10,10,5,9,10,6,0,0,1,2,0,9,1
25,623,False,53797.0,5,4,2,10,10,5,9,10,6,0,0,1,2,0,9,1
26,647,False,59047.0,5,4,0,10,10,5,8,10,7,0,0,1,0,0,9,1
27,671,False,65551.0,5,4,0,10,10,5,8,10,7,0,0,1,0,0,9,1
28,695,False,69780.0,5,4,1,10,10,5,8,10,7,0,0,1,0,0,9,1
29,719,False,76076.0,5,4,1,10,10,5,6,10,5,0,0,1,0,0,9,1
