day,d_bank,d2_bank,d_hands_count,d2_hands_count,d_total_animal_count,d2_total_animal_count,d_total_crop_tiles,d2_total_crop_tiles,d_land_quadrants,d2_land_quadrants
0,,,,,,,,,,
1,-12.0,,3,,1,,0,,0,
2,-41.0,-29.0,0,-3,3,2,0,0,0,0
3,30.0,71.0,0,0,0,-3,-3,-3,0,0
4,343.0,313.0,0,0,0,0,-2,1,0,0
5,424.0,81.0,0,0,0,0,3,5,0,0
6,-667.0,-1091.0,0,0,1,1,0,-3,0,0
7,24.0,691.0,0,0,2,1,0,0,0,0
8,-16.0,-40.0,0,0,0,-2,-1,-1,0,0
9,74.0,90.0,0,0,0,0,-3,-2,0,0
10,1807.0,1733.0,0,0,1,1,0,3,0,0
11,2837.0,1030.0,0,0,1,0,0,0,0,0
12,-2223.0,-5060.0,0,0,0,-1,-6,-6,1,1
13,9871.0,12094.0,0,0,1,1,-1,5,0,-1
14,507.0,-9364.0,0,0,0,-1,6,7,0,0
15,-512.0,-1019.0,0,0,0,0,0,-6,1,1
16,14.0,526.0,0,0,0,0,0,0,1,0
17,4349.0,4335.0,0,0,0,0,-1,-1,0,-1
18,2685.0,-1664.0,0,0,0,0,0,1,0,0
19,5640.0,2955.0,0,0,0,0,-1,-1,0,0
20,5559.0,-81.0,0,0,0,0,0,1,0,0
21,4395.0,-1164.0,0,0,0,0,1,1,0,0
22,3871.0,-524.0,0,0,0,0,-1,-2,0,0
23,5797.0,1926.0,0,0,0,0,3,4,0,0
24,3780.0,-2017.0,0,0,0,0,0,-3,0,0
25,4789.0,1009.0,0,0,0,0,0,0,0,0
26,5250.0,461.0,0,0,0,0,-1,-1,0,0
27,6504.0,1254.0,0,0,0,0,0,1,0,0
28,4229.0,-2275.0,0,0,0,0,0,0,0,0
29,6296.0,2067.0,0,0,0,0,-2,-2,0,0
