day,d_bank,d2_bank,d_hands_count,d2_hands_count,d_total_animal_count,d2_total_animal_count,d_total_crop_tiles,d2_total_crop_tiles,d_land_quadrants,d2_land_quadrants
0,,,,,,,,,,
1,-859.0,,1,,0,,9,,0,
2,-540.0,319.0,0,-1,0,0,8,-1,0,0
3,-152.0,388.0,3,3,0,0,0,-8,0,0
4,-12.0,140.0,0,-3,0,0,0,0,0,0
5,0.0,12.0,-5,-5,-1,-1,0,0,0,0
6,0.0,0.0,0,5,0,1,-1,-1,0,0
7,0.0,0.0,0,0,-1,-1,-9,-8,0,0
8,0.0,0.0,0,0,0,1,0,9,0,0
9,0.0,0.0,0,0,0,0,0,0,0,0
10,0.0,0.0,0,0,0,0,-3,-3,0,0
11,2557.0,2557.0,5,5,3,3,7,10,0,0
12,6538.0,3981.0,0,-5,0,-3,5,-2,0,0
13,-123.0,-6661.0,0,0,0,0,0,-5,0,0
14,-126.0,-3.0,0,0,0,0,0,0,0,0
15,-129.0,-3.0,0,0,0,0,0,0,0,0
16,-132.0,-3.0,0,0,0,0,0,0,0,0
17,986.0,1118.0,0,0,0,0,0,0,0,0
18,-138.0,-1124.0,0,0,0,0,0,0,0,0
19,1557.0,1695.0,0,0,0,0,0,0,0,0
20,1472.0,-85.0,0,0,0,0,0,0,0,0
21,-223.0,-1695.0,0,0,0,0,0,0,0,0
22,13149.0,13372.0,0,0,0,0,0,0,0,0
23,2219.0,-10930.0,0,0,0,0,0,0,0,0
24,-153.0,-2372.0,0,0,0,0,0,0,0,0
25,782.0,935.0,0,0,0,0,0,0,0,0
26,1590.0,808.0,0,0,0,0,0,0,0,0
27,486.0,-1104.0,0,0,0,0,0,0,0,0
28,808.0,322.0,0,0,0,0,0,0,0,0
29,1829.0,1021.0,0,0,0,0,0,0,0,0
