day,turn,is_self,bank,hands_count,land_quadrants,fertilized_tile_count,cared_animal_count,fed_animal_count,hires_today,total_crop_tiles,total_animal_count,tiles_WHEAT,tiles_CARROT,tiles_TOMATO,tiles_STRAWBERRY,tiles_MELON,animals_GOOSE,animals_COW,animals_SHEEP
0,23,False,108.0,5,2,0,0,0,5,32,0,11,2,0,0,19,0,0,0
1,47,False,65.0,7,2,0,0,0,7,41,0,15,6,0,0,20,0,0,0
2,71,False,53.0,5,2,0,0,0,5,41,0,15,6,0,0,20,0,0,0
3,95,False,51.0,2,2,0,0,0,2,39,0,15,4,0,0,20,0,0,0
4,119,False,92.0,9,2,0,0,0,9,33,0,11,1,0,0,21,0,0,0
5,143,False,382.0,8,2,0,0,0,8,38,0,12,1,0,0,25,0,0,0
6,167,False,466.0,8,2,0,0,0,8,38,0,12,1,0,0,25,0,0,0
7,191,False,234.0,11,2,0,0,0,11,37,0,12,0,0,0,25,0,0,0
8,215,False,513.0,11,2,0,0,0,11,34,0,9,0,0,0,25,0,0,0
9,239,False,58.0,12,2,0,0,0,12,39,0,8,6,0,0,25,0,0,0
10,263,False,8903.0,12,4,0,3,4,12,32,5,18,6,0,2,6,0,3,2
11,287,False,10594.0,13,4,0,6,7,13,60,7,35,6,0,12,7,0,4,3
12,311,False,8720.0,13,4,0,8,9,13,66,9,35,5,0,17,9,0,6,3
13,335,False,9799.0,13,4,0,10,10,13,69,10,35,5,0,20,9,0,7,3
14,359,False,10347.0,13,4,0,10,10,13,72,13,35,9,0,20,8,0,8,5
15,383,False,12245.0,13,4,0,12,12,13,64,13,33,6,0,20,5,0,8,5
16,407,False,13496.0,13,4,0,12,12,13,79,13,47,4,0,24,4,0,8,5
17,431,False,16822.0,13,4,0,12,12,13,83,13,48,1,0,30,4,0,8,5
18,455,False,22374.0,13,4,0,12,12,13,83,13,42,7,0,30,4,0,8,5
19,479,False,25697.0,13,4,0,10,10,13,79,13,36,9,0,30,4,0,8,5
20,503,False,33596.0,13,4,0,10,10,13,76,13,34,8,0,30,4,0,8,5
21,527,False,39997.0,13,4,0,13,13,13,80,13,45,2,0,29,4,0,8,5
22,551,False,45635.0,13,4,0,11,11,13,80,13,51,0,0,29,0,0,8,5
23,575,False,54387.0,13,4,0,10,10,13,82,13,53,0,0,29,0,0,8,5
24,599,False,61189.0,13,4,0,9,11,13,81,12,50,2,0,29,0,0,8,4
25,623,False,68701.0,13,4,0,11,12,13,70,12,36,5,0,29,0,0,8,4
26,647,False,76835.0,13,4,0,11,12,13,56,12,24,5,0,27,0,0,8,4
27,671,False,85161.0,13,4,0,12,12,13,44,12,16,3,0,25,0,0,8,4
28,695,False,93012.0,13,4,0,10,12,13,21,12,3,0,0,18,0,0,8,4
29,719,False,104569.0,8,4,0,10,12,8,12,12,0,0,0,12,0,0,8,4
