day,turn,is_self,bank,hands_count,land_quadrants,fertilized_tile_count,cared_animal_count,fed_animal_count,hires_today,total_crop_tiles,total_animal_count,tiles_WHEAT,tiles_CARROT,tiles_TOMATO,tiles_STRAWBERRY,tiles_MELON,animals_GOOSE,animals_COW,animals_SHEEP,shed_total,seeds_total
0,23,True,1566.0,1,1,0,1,1,1,4,2,0,0,0,0,4,0,1,1,0,2
1,47,True,630.0,2,1,2,2,2,2,14,2,0,0,0,0,14,0,1,1,0,2
2,71,True,82.0,5,1,4,2,2,5,21,2,0,0,0,0,21,0,1,1,0,0
3,95,True,0.0,2,1,4,0,0,2,21,2,0,0,0,0,21,0,1,1,0,1
4,119,True,0.0,0,1,4,0,0,0,21,2,0,0,0,0,21,0,1,1,0,1
5,143,True,0.0,0,1,3,0,0,0,20,0,0,0,0,0,20,0,0,0,0,1
6,167,True,0.0,0,1,3,0,0,0,11,0,0,0,0,0,11,0,0,0,0,1
7,191,True,0.0,0,1,3,0,0,0,11,0,0,0,0,0,11,0,0,0,0,1
8,215,True,0.0,0,1,3,0,0,0,11,0,0,0,0,0,11,0,0,0,0,1
9,239,True,0.0,0,1,3,0,0,0,11,0,0,0,0,0,11,0,0,0,0,1
10,263,True,0.0,0,1,2,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0
11,287,True,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,20,0
12,311,True,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,54,0
13,335,True,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,54,0
14,359,True,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,54,0
15,383,True,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,54,0
16,407,True,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,54,0
17,431,True,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,54,0
18,455,True,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,54,0
19,479,True,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,54,0
20,503,True,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0
21,527,True,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0
22,551,True,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0
23,575,True,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0
24,599,True,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0
25,623,True,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0
26,647,True,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0
27,671,True,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0
28,695,True,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0
29,719,True,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0
