day,d_bank,d2_bank,d_hands_count,d2_hands_count,d_total_animal_count,d2_total_animal_count,d_total_crop_tiles,d2_total_crop_tiles,d_land_quadrants,d2_land_quadrants
0,,,,,,,,,,
1,-43.0,,2,,0,,9,,0,
2,-12.0,31.0,-2,-4,0,0,0,-9,0,0
3,-2.0,10.0,-3,-1,0,0,-2,-2,0,0
4,41.0,43.0,7,10,0,0,-6,-4,0,0
5,290.0,249.0,-1,-8,0,0,5,11,0,0
6,84.0,-206.0,0,1,0,0,0,-5,0,0
7,-232.0,-316.0,3,3,0,0,-1,-1,0,0
8,279.0,511.0,0,-3,0,0,-3,-2,0,0
9,-455.0,-734.0,1,1,0,0,5,8,0,0
10,8845.0,9300.0,0,-1,5,5,-7,-12,2,2
11,1691.0,-7154.0,1,1,2,-3,28,35,0,-2
12,-1874.0,-3565.0,0,-1,2,0,6,-22,0,0
13,1079.0,2953.0,0,0,1,-1,3,-3,0,0
14,548.0,-531.0,0,0,3,2,3,0,0,0
15,1898.0,1350.0,0,0,0,-3,-8,-11,0,0
16,1251.0,-647.0,0,0,0,0,15,23,0,0
17,3326.0,2075.0,0,0,0,0,4,-11,0,0
18,5552.0,2226.0,0,0,0,0,0,-4,0,0
19,3323.0,-2229.0,0,0,0,0,-4,-4,0,0
20,7899.0,4576.0,0,0,0,0,-3,1,0,0
21,6401.0,-1498.0,0,0,0,0,4,7,0,0
22,5638.0,-763.0,0,0,0,0,0,-4,0,0
23,8752.0,3114.0,0,0,0,0,2,2,0,0
24,6802.0,-1950.0,0,0,-1,-1,-1,-3,0,0
25,7512.0,710.0,0,0,0,1,-11,-10,0,0
26,8134.0,622.0,0,0,0,0,-14,-3,0,0
27,8326.0,192.0,0,0,0,0,-12,2,0,0
28,7851.0,-475.0,0,0,0,0,-23,-11,0,0
29,11557.0,3706.0,-5,-5,0,0,-9,14,0,0
