day,turn,is_self,bank,hands_count,land_quadrants,fertilized_tile_count,cared_animal_count,fed_animal_count,hires_today,total_crop_tiles,total_animal_count,tiles_WHEAT,tiles_CARROT,tiles_TOMATO,tiles_STRAWBERRY,tiles_MELON,animals_GOOSE,animals_COW,animals_SHEEP
0,23,False,116.0,8,1,0,0,0,8,19,0,7,0,0,0,12,0,0,0
1,47,False,8.0,8,1,0,4,2,8,19,4,7,0,0,0,12,0,2,2
2,71,False,69.0,3,1,0,4,4,3,17,4,5,0,0,0,12,0,2,2
3,95,False,304.0,8,1,0,4,4,8,18,4,6,0,0,0,12,0,2,2
4,119,False,832.0,8,1,0,4,3,8,19,4,7,0,0,0,12,0,2,2
5,143,False,1088.0,5,1,0,4,4,5,15,4,3,0,0,0,12,0,2,2
6,167,False,1453.0,5,1,0,4,4,5,17,4,5,0,0,0,12,0,2,2
7,191,False,88.0,8,2,0,9,5,8,20,9,5,0,0,3,12,0,6,3
8,215,False,168.0,8,2,0,9,5,8,21,9,3,0,0,6,12,0,6,3
9,239,False,1876.0,8,2,0,9,6,8,20,9,0,0,0,8,12,0,6,3
10,263,False,4028.0,8,2,0,9,8,8,20,9,0,0,0,8,12,0,6,3
11,287,False,4467.0,8,2,0,9,9,8,8,9,0,0,0,8,0,0,6,3
12,311,False,17794.0,10,3,0,9,9,10,13,9,0,0,0,13,0,0,6,3
13,335,False,21163.0,10,3,0,9,5,10,19,9,0,0,0,19,0,0,6,3
14,359,False,20434.0,10,3,0,10,8,10,20,10,0,0,0,20,0,0,6,4
15,383,False,25021.0,10,3,0,11,11,10,20,11,0,0,0,20,0,0,6,5
16,407,False,24872.0,10,3,0,10,5,10,28,13,0,0,0,28,0,0,6,7
17,431,False,28772.0,10,3,0,11,11,10,28,13,0,0,0,28,0,0,6,7
18,455,False,28494.0,10,3,0,12,12,10,28,12,0,0,0,28,0,0,6,6
19,479,False,33190.0,10,3,0,14,13,10,28,14,0,0,0,28,0,0,6,8
20,503,False,33735.0,10,3,0,14,11,10,28,14,0,0,0,28,0,0,6,8
21,527,False,39385.0,10,3,0,13,10,10,28,14,0,0,0,28,0,0,6,8
22,551,False,40272.0,10,3,0,14,13,10,28,14,0,0,0,28,0,0,6,8
23,575,False,43999.0,10,3,0,11,7,10,28,14,0,0,0,28,0,0,6,8
24,599,False,48137.0,10,3,0,13,10,10,28,14,0,0,0,28,0,0,6,8
25,623,False,52338.0,10,3,0,12,12,10,28,14,0,0,0,28,0,0,6,8
26,647,False,51891.0,10,3,0,13,8,10,28,14,0,0,0,28,0,0,6,8
27,671,False,55676.0,10,3,0,11,12,10,28,14,0,0,0,28,0,0,6,8
28,695,False,60824.0,10,3,0,12,9,10,28,14,0,0,0,28,0,0,6,8
29,719,False,63798.0,10,3,0,10,11,10,26,14,0,0,0,26,0,0,6,8
