day,turn,is_self,bank,hands_count,land_quadrants,fertilized_tile_count,cared_animal_count,fed_animal_count,hires_today,total_crop_tiles,total_animal_count,tiles_WHEAT,tiles_CARROT,tiles_TOMATO,tiles_STRAWBERRY,tiles_MELON,animals_GOOSE,animals_COW,animals_SHEEP,shed_total,seeds_total
0,23,True,1566.0,1,1,0,1,1,1,4,2,0,0,0,0,4,0,1,1,0,2
1,47,True,709.0,2,1,2,2,2,2,13,2,0,0,0,0,13,0,1,1,0,2
2,71,True,171.0,2,1,4,2,2,2,21,2,0,0,0,0,21,0,1,1,0,0
3,95,True,31.0,2,1,5,1,1,2,22,2,0,0,0,0,22,0,1,1,0,0
4,119,True,29.0,2,1,6,1,1,2,22,2,0,0,0,0,22,0,1,1,0,0
5,143,True,17.0,5,1,6,0,0,5,22,1,0,0,0,0,22,0,1,0,0,0
6,167,True,5.0,5,1,6,0,0,5,22,1,0,0,0,0,22,0,1,0,0,0
7,191,True,1.0,3,1,6,0,0,3,22,0,0,0,0,0,22,0,0,0,0,0
8,215,True,0.0,1,1,4,0,0,1,20,0,0,0,0,0,20,0,0,0,0,0
9,239,True,0.0,0,1,4,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0
10,263,True,0.0,0,1,3,0,0,0,15,0,0,0,0,0,15,0,0,0,0,0
11,287,True,2887.0,5,1,1,1,1,5,18,1,0,0,0,0,18,0,1,0,5,1
12,311,True,2519.0,5,1,1,1,1,5,20,2,0,0,0,0,20,0,2,0,35,1
13,335,True,2433.0,5,1,3,2,2,5,20,2,0,0,0,0,20,0,2,0,35,1
14,359,True,2343.0,5,1,5,2,2,5,20,2,0,0,0,0,20,0,2,0,35,1
15,383,True,2251.0,5,1,6,2,2,5,20,2,0,0,0,0,20,0,2,0,35,1
16,407,True,2157.0,5,1,6,2,2,5,20,2,0,0,0,0,20,0,2,0,35,1
17,431,True,2061.0,5,1,6,2,2,5,20,2,0,0,0,0,20,0,2,0,35,1
18,455,True,1963.0,5,1,6,2,2,5,20,2,0,0,0,0,20,0,2,0,35,1
19,479,True,2991.0,5,1,6,2,2,5,20,2,0,0,0,0,20,0,2,0,35,1
20,503,True,4033.0,5,1,6,2,2,5,20,2,0,0,0,0,20,0,2,0,35,1
21,527,True,2649.0,5,1,2,1,1,5,20,2,0,0,0,0,20,0,2,0,35,0
22,551,True,12841.0,5,1,3,2,2,5,20,2,0,0,0,0,20,0,2,0,12,1
23,575,True,12905.0,5,1,5,2,2,5,20,2,0,0,0,0,20,0,2,0,19,1
24,599,True,13600.0,5,1,7,2,2,5,20,2,0,0,0,0,20,0,2,0,16,1
25,623,True,13488.0,5,1,8,2,2,5,20,2,0,0,0,0,20,0,2,0,19,1
26,647,True,14398.0,5,1,8,2,2,5,20,2,0,0,0,0,20,0,2,0,16,1
27,671,True,14769.0,5,1,8,2,2,5,20,2,0,0,0,0,20,0,2,0,16,1
28,695,True,15213.0,5,1,8,2,2,5,20,2,0,0,0,0,20,0,2,0,16,1
29,719,True,15636.0,5,1,8,2,2,5,20,2,0,0,0,0,20,0,2,0,16,1
