day,d_bank,d2_bank,d_hands_count,d2_hands_count,d_total_animal_count,d2_total_animal_count,d_total_crop_tiles,d2_total_crop_tiles,d_land_quadrants,d2_land_quadrants
0,,,,,,,,,,
1,-108.0,,0,,4,,0,,0,
2,61.0,169.0,-5,-5,0,-4,-2,-2,0,0
3,235.0,174.0,5,10,0,0,1,3,0,0
4,528.0,293.0,0,-5,0,0,1,0,0,0
5,256.0,-272.0,-3,-3,0,0,-4,-5,0,0
6,365.0,109.0,0,3,0,0,2,6,0,0
7,-1365.0,-1730.0,3,3,5,5,3,1,1,1
8,80.0,1445.0,0,-3,0,-5,1,-2,0,-1
9,1708.0,1628.0,0,0,0,0,-1,-2,0,0
10,2152.0,444.0,0,0,0,0,0,1,0,0
11,439.0,-1713.0,0,0,0,0,-12,-12,0,0
12,13327.0,12888.0,2,2,0,0,5,17,1,1
13,3369.0,-9958.0,0,-2,0,0,6,1,0,-1
14,-729.0,-4098.0,0,0,1,1,1,-5,0,0
15,4587.0,5316.0,0,0,1,0,0,-1,0,0
16,-149.0,-4736.0,0,0,2,1,8,8,0,0
17,3900.0,4049.0,0,0,0,-2,0,-8,0,0
18,-278.0,-4178.0,0,0,-1,-1,0,0,0,0
19,4696.0,4974.0,0,0,2,3,0,0,0,0
20,545.0,-4151.0,0,0,0,-2,0,0,0,0
21,5650.0,5105.0,0,0,0,0,0,0,0,0
22,887.0,-4763.0,0,0,0,0,0,0,0,0
23,3727.0,2840.0,0,0,0,0,0,0,0,0
24,4138.0,411.0,0,0,0,0,0,0,0,0
25,4201.0,63.0,0,0,0,0,0,0,0,0
26,-447.0,-4648.0,0,0,0,0,0,0,0,0
27,3785.0,4232.0,0,0,0,0,0,0,0,0
28,5148.0,1363.0,0,0,0,0,0,0,0,0
29,2974.0,-2174.0,0,0,0,0,-2,-2,0,0
