day,d_bank,d2_bank,d_hands_count,d2_hands_count,d_total_animal_count,d2_total_animal_count,d_total_crop_tiles,d2_total_crop_tiles,d_land_quadrants,d2_land_quadrants
0,,,,,,,,,,
1,-857.0,,1,,0,,9,,0,
2,-538.0,319.0,0,-1,0,0,8,-1,0,0
3,-140.0,398.0,0,0,0,0,1,-7,0,0
4,-2.0,138.0,0,0,0,0,0,-1,0,0
5,-12.0,-10.0,3,3,-1,-1,0,0,0,0
6,-12.0,0.0,0,-3,0,1,0,0,0,0
7,-4.0,8.0,-2,-2,-1,-1,0,0,0,0
8,-1.0,3.0,-2,0,0,1,-2,-2,0,0
9,0.0,1.0,-1,1,0,0,0,2,0,0
10,0.0,0.0,0,1,0,0,-5,-5,0,0
11,2887.0,2887.0,5,5,1,1,3,8,0,0
12,-368.0,-3255.0,0,-5,1,0,2,-1,0,0
13,-86.0,282.0,0,0,0,-1,0,-2,0,0
14,-90.0,-4.0,0,0,0,0,0,0,0,0
15,-92.0,-2.0,0,0,0,0,0,0,0,0
16,-94.0,-2.0,0,0,0,0,0,0,0,0
17,-96.0,-2.0,0,0,0,0,0,0,0,0
18,-98.0,-2.0,0,0,0,0,0,0,0,0
19,1028.0,1126.0,0,0,0,0,0,0,0,0
20,1042.0,14.0,0,0,0,0,0,0,0,0
21,-1384.0,-2426.0,0,0,0,0,0,0,0,0
22,10192.0,11576.0,0,0,0,0,0,0,0,0
23,64.0,-10128.0,0,0,0,0,0,0,0,0
24,695.0,631.0,0,0,0,0,0,0,0,0
25,-112.0,-807.0,0,0,0,0,0,0,0,0
26,910.0,1022.0,0,0,0,0,0,0,0,0
27,371.0,-539.0,0,0,0,0,0,0,0,0
28,444.0,73.0,0,0,0,0,0,0,0,0
29,423.0,-21.0,0,0,0,0,0,0,0,0
