day,turn,is_self,bank,hands_count,land_quadrants,fertilized_tile_count,cared_animal_count,fed_animal_count,hires_today,total_crop_tiles,total_animal_count,tiles_WHEAT,tiles_CARROT,tiles_TOMATO,tiles_STRAWBERRY,tiles_MELON,animals_GOOSE,animals_COW,animals_SHEEP
0,23,False,257.0,7,2,0,0,0,7,42,1,31,0,0,0,11,0,0,1
1,47,False,203.0,8,2,0,0,0,8,42,1,32,0,0,0,10,0,0,1
2,71,False,301.0,2,2,0,0,0,2,42,0,32,0,0,0,10,0,0,0
3,95,False,213.0,9,2,0,0,0,9,42,0,32,0,0,0,10,0,0,0
4,119,False,251.0,5,2,0,0,0,5,12,0,2,0,0,0,10,0,0,0
5,143,False,483.0,7,2,0,1,1,7,29,1,17,0,0,0,12,0,0,1
6,167,False,253.0,9,2,0,1,1,9,38,1,24,0,0,0,14,0,0,1
7,191,False,320.0,7,2,0,1,1,7,38,1,24,0,0,0,14,0,0,1
8,215,False,252.0,9,2,0,1,1,9,40,1,25,0,0,0,15,0,0,1
9,239,False,318.0,7,2,0,1,1,7,37,1,22,0,0,0,15,0,0,1
10,263,False,254.0,8,2,0,1,1,8,38,1,21,0,0,12,5,0,0,1
11,287,False,9410.0,7,2,0,4,4,7,38,4,18,0,0,15,5,0,1,3
12,311,False,9005.0,7,2,0,6,6,7,37,8,17,0,0,15,5,0,4,4
13,335,False,8097.0,8,2,0,10,10,8,30,10,5,0,0,19,6,0,6,4
14,359,False,8893.0,8,2,0,11,11,8,32,11,0,0,0,24,8,0,7,4
15,383,False,10842.0,7,2,0,11,11,7,31,12,0,0,0,24,7,0,8,4
16,407,False,13563.0,7,2,0,11,11,7,32,12,0,0,0,24,8,0,8,4
17,431,False,15195.0,6,2,0,11,11,6,33,11,0,0,0,24,9,0,7,4
18,455,False,18468.0,7,2,0,11,11,7,33,12,0,0,0,24,9,0,8,4
19,479,False,20833.0,6,2,0,11,11,6,33,12,0,0,0,24,9,0,8,4
20,503,False,22711.0,6,2,0,11,11,6,34,11,0,0,0,24,10,0,7,4
21,527,False,32619.0,5,2,0,11,11,5,33,11,0,0,0,23,10,0,7,4
22,551,False,39270.0,5,2,0,11,11,5,31,11,0,0,0,21,10,0,7,4
23,575,False,46703.0,6,2,0,11,11,6,29,11,0,0,0,19,10,0,7,4
24,599,False,52733.0,5,2,0,11,11,5,27,11,0,0,0,19,8,0,7,4
25,623,False,60510.0,5,2,0,10,11,5,27,11,0,0,0,19,8,0,7,4
26,647,False,64212.0,6,2,0,11,11,6,24,11,0,0,0,17,7,0,7,4
27,671,False,73021.0,5,2,0,11,11,5,18,11,0,0,0,9,9,0,7,4
28,695,False,78329.0,4,2,0,8,8,4,15,11,0,0,0,7,8,0,7,4
29,719,False,83904.0,7,2,0,0,0,7,11,12,0,0,0,6,5,0,8,4
