day,turn,is_self,bank,hands_count,land_quadrants,fertilized_tile_count,cared_animal_count,fed_animal_count,hires_today,total_crop_tiles,total_animal_count,tiles_WHEAT,tiles_CARROT,tiles_TOMATO,tiles_STRAWBERRY,tiles_MELON,animals_GOOSE,animals_COW,animals_SHEEP,shed_total,seeds_total
0,23,True,1566.0,1,1,0,1,1,1,4,2,0,0,0,0,4,0,1,1,0,2
1,47,True,710.0,2,1,2,2,2,2,13,2,0,0,0,0,13,0,1,1,0,2
2,71,True,172.0,2,1,4,2,2,2,21,2,0,0,0,0,21,0,1,1,0,0
3,95,True,34.0,2,1,5,1,1,2,22,2,0,0,0,0,22,0,1,1,0,0
4,119,True,3.0,2,1,6,1,1,2,22,2,0,0,0,0,22,0,1,1,0,0
5,143,True,1.0,2,1,7,1,1,2,22,1,0,0,0,0,22,0,1,0,0,0
6,167,True,0.0,1,1,7,0,0,1,22,1,0,0,0,0,22,0,1,0,0,0
7,191,True,0.0,0,1,7,0,0,0,22,1,0,0,0,0,22,0,1,0,0,0
8,215,True,0.0,0,1,5,0,0,0,19,0,0,0,0,0,19,0,0,0,0,0
9,239,True,0.0,0,1,3,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0
10,263,True,0.0,0,1,2,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0
11,287,True,2231.0,5,1,1,1,1,5,18,1,0,0,0,0,18,0,1,0,5,1
12,311,True,1849.0,5,1,1,1,1,5,20,2,0,0,0,0,20,0,2,0,36,1
13,335,True,1811.0,5,1,3,2,2,5,20,2,0,0,0,0,20,0,2,0,35,1
14,359,True,1753.0,5,1,5,2,2,5,20,2,0,0,0,0,20,0,2,0,35,1
15,383,True,1692.0,5,1,6,2,2,5,19,2,0,0,0,0,19,0,2,0,35,1
16,407,True,1618.0,5,1,6,2,2,5,19,2,0,0,0,0,19,0,2,0,35,1
17,431,True,1540.0,5,1,6,2,2,5,19,2,0,0,0,0,19,0,2,0,35,1
18,455,True,1458.0,5,1,6,2,2,5,18,2,0,0,0,0,18,0,2,0,35,1
19,479,True,3099.0,5,1,6,2,2,5,18,2,0,0,0,0,18,0,2,0,35,1
20,503,True,4748.0,5,1,6,2,2,5,18,2,0,0,0,0,18,0,2,0,35,1
21,527,True,3298.0,5,1,1,2,2,5,18,2,0,0,0,0,18,0,2,0,35,1
22,551,True,14631.0,5,1,3,2,2,5,18,2,0,0,0,0,18,0,2,0,5,1
23,575,True,15404.0,5,1,5,2,2,5,18,2,0,0,0,0,18,0,2,0,5,1
24,599,True,16187.0,5,1,7,2,2,5,18,2,0,0,0,0,18,0,2,0,5,1
25,623,True,16974.0,5,1,7,2,2,5,18,2,0,0,0,0,18,0,2,0,5,1
26,647,True,17770.0,5,1,7,2,2,5,18,2,0,0,0,0,18,0,2,0,5,1
27,671,True,18574.0,5,1,7,2,2,5,18,2,0,0,0,0,18,0,2,0,5,1
28,695,True,19386.0,5,1,7,2,2,5,18,2,0,0,0,0,18,0,2,0,5,1
29,719,True,20205.0,5,1,7,2,2,5,18,2,0,0,0,0,18,0,2,0,5,1
