day,d_bank,d2_bank,d_hands_count,d2_hands_count,d_total_animal_count,d2_total_animal_count,d_total_crop_tiles,d2_total_crop_tiles,d_land_quadrants,d2_land_quadrants
0,,,,,,,,,,
1,-54.0,,1,,0,,0,,0,
2,98.0,152.0,-6,-7,-1,-1,0,0,0,0
3,-88.0,-186.0,7,13,0,1,0,0,0,0
4,38.0,126.0,-4,-11,0,0,-30,-30,0,0
5,232.0,194.0,2,6,1,1,17,47,0,0
6,-230.0,-462.0,2,0,0,-1,9,-8,0,0
7,67.0,297.0,-2,-4,0,0,0,-9,0,0
8,-68.0,-135.0,2,4,0,0,2,2,0,0
9,66.0,134.0,-2,-4,0,0,-3,-5,0,0
10,-64.0,-130.0,1,3,0,0,1,4,0,0
11,9156.0,9220.0,-1,-2,3,3,0,-1,0,0
12,-405.0,-9561.0,0,1,4,1,-1,-1,0,0
13,-908.0,-503.0,1,1,2,-2,-7,-6,0,0
14,796.0,1704.0,0,-1,1,-1,2,9,0,0
15,1949.0,1153.0,-1,-1,1,0,-1,-3,0,0
16,2721.0,772.0,0,1,0,-1,1,2,0,0
17,1632.0,-1089.0,-1,-1,-1,-1,1,0,0,0
18,3273.0,1641.0,1,2,1,2,0,-1,0,0
19,2365.0,-908.0,-1,-2,0,-1,0,0,0,0
20,1878.0,-487.0,0,1,-1,-1,1,1,0,0
21,9908.0,8030.0,-1,-1,0,1,-1,-2,0,0
22,6651.0,-3257.0,0,1,0,0,-2,-1,0,0
23,7433.0,782.0,1,1,0,0,-2,0,0,0
24,6030.0,-1403.0,-1,-2,0,0,-2,0,0,0
25,7777.0,1747.0,0,1,0,0,0,2,0,0
26,3702.0,-4075.0,1,1,0,0,-3,-3,0,0
27,8809.0,5107.0,-1,-2,0,0,-6,-3,0,0
28,5308.0,-3501.0,-1,0,0,0,-3,3,0,0
29,5575.0,267.0,3,4,1,1,-4,-1,0,0
