day,d_bank,d2_bank,d_hands_count,d2_hands_count,d_total_animal_count,d2_total_animal_count,d_total_crop_tiles,d2_total_crop_tiles,d_land_quadrants,d2_land_quadrants
0,,,,,,,,,,
1,-856.0,,1,,0,,9,,0,
2,-538.0,318.0,0,-1,0,0,8,-1,0,0
3,-138.0,400.0,0,0,0,0,1,-7,0,0
4,-31.0,107.0,0,0,0,0,0,-1,0,0
5,-2.0,29.0,0,0,-1,-1,0,0,0,0
6,-1.0,1.0,-1,-1,0,1,0,0,0,0
7,0.0,1.0,-1,0,0,0,0,0,0,0
8,0.0,0.0,0,1,-1,-1,-3,-3,0,0
9,0.0,0.0,0,0,0,1,-8,-5,0,0
10,0.0,0.0,0,0,0,0,-4,4,0,0
11,2231.0,2231.0,5,5,1,1,11,15,0,0
12,-382.0,-2613.0,0,-5,1,0,2,-9,0,0
13,-38.0,344.0,0,0,0,-1,0,-2,0,0
14,-58.0,-20.0,0,0,0,0,0,0,0,0
15,-61.0,-3.0,0,0,0,0,-1,-1,0,0
16,-74.0,-13.0,0,0,0,0,0,1,0,0
17,-78.0,-4.0,0,0,0,0,0,0,0,0
18,-82.0,-4.0,0,0,0,0,-1,-1,0,0
19,1641.0,1723.0,0,0,0,0,0,1,0,0
20,1649.0,8.0,0,0,0,0,0,0,0,0
21,-1450.0,-3099.0,0,0,0,0,0,0,0,0
22,11333.0,12783.0,0,0,0,0,0,0,0,0
23,773.0,-10560.0,0,0,0,0,0,0,0,0
24,783.0,10.0,0,0,0,0,0,0,0,0
25,787.0,4.0,0,0,0,0,0,0,0,0
26,796.0,9.0,0,0,0,0,0,0,0,0
27,804.0,8.0,0,0,0,0,0,0,0,0
28,812.0,8.0,0,0,0,0,0,0,0,0
29,819.0,7.0,0,0,0,0,0,0,0,0
