crop,n_tiles,T_market_depth,ongoing_crop,actual_revenue,actual_units_harvested,calibration_estimated_revenue,abs_error_actual_minus_estimated,rel_error,revenue_per_tile_day_calibration_constant,actual_revenue_per_tile_day,market_impact_implied_units,market_impact_adjusted_revenue,actual_market_impact_adjusted_revenue
WHEAT,5,400,False,2439.0,70,368.25,2070.75,5.6232,14.73,16.26,15,352.0,1563.0
WHEAT,10,400,False,3916.0,115,736.5,3179.5,4.317,14.73,13.0533,29,665.0,2508.0
WHEAT,15,400,False,4929.0,198,1104.75,3824.25,3.4616,14.73,10.9533,44,995.0,4251.0
WHEAT,20,400,False,6282.0,233,1473.0,4809.0,3.2648,14.73,10.47,59,1325.0,4973.0
WHEAT,25,400,False,7308.0,234,1841.25,5466.75,2.969,14.73,9.744,74,1647.0,4993.0
STRAWBERRY,5,100,True,4251.0,20,3859.2,391.8,0.1015,42.88,28.34,32,2886.0,2034.0
STRAWBERRY,10,100,True,8828.0,42,7718.4,1109.6,0.1438,42.88,29.4267,64,3811.0,3386.0
STRAWBERRY,15,100,True,12758.0,62,11577.6,1180.4,0.102,42.88,28.3511,96,3843.0,3809.0
STRAWBERRY,20,100,True,18369.0,84,15436.8,2932.2,0.1899,42.88,30.615,129,3876.0,3831.0
STRAWBERRY,25,100,True,19614.0,94,19296.0,318.0,0.0165,42.88,26.152,161,3908.0,3841.0
CARROT,5,450,False,2999.0,70,328.2,2670.8,8.1377,16.41,19.9933,9,296.0,2005.0
CARROT,10,450,False,5912.0,138,656.4,5255.6,8.0067,16.41,19.7067,19,604.0,3591.0
CARROT,15,450,False,7132.0,208,984.6,6147.4,6.2436,16.41,15.8489,28,869.0,4981.0
CARROT,20,450,False,5639.0,223,1312.8,4326.2,3.2954,16.41,9.3983,38,1153.0,5251.0
CARROT,25,450,False,9203.0,228,1641.0,7562.0,4.6082,16.41,12.2707,47,1401.0,5341.0
TOMATO,5,200,True,1319.0,20,960.6,358.4,0.3731,16.01,8.7933,16,856.0,1054.0
TOMATO,10,200,True,2576.0,42,1921.2,654.8,0.3408,16.01,8.5867,32,1621.0,2068.0
TOMATO,15,200,True,3804.0,62,2881.8,922.2,0.32,16.01,8.4533,48,2327.0,2903.0
TOMATO,20,200,True,4127.0,85,3842.4,284.6,0.0741,16.01,6.8783,64,2983.0,3784.0
TOMATO,25,200,True,5127.0,89,4803.0,324.0,0.0675,16.01,6.836,80,3599.0,3929.0
MELON,5,300,False,12592.0,50,4516.85,8075.15,1.7878,69.49,83.9467,18,4483.0,12098.0
MELON,10,300,False,23453.0,100,9033.7,14419.3,1.5962,69.49,78.1767,36,8852.0,21721.0
MELON,15,300,False,29884.0,145,13550.55,16333.45,1.2054,69.49,66.4089,54,12992.0,26199.0
MELON,20,300,False,31381.0,195,18067.4,13313.6,0.7369,69.49,52.3017,72,16785.0,26522.0
MELON,25,300,False,31054.0,235,22584.25,8469.75,0.375,69.49,41.4053,90,20114.0,26562.0
