arm,n_animals,seed,final_money,total_income,total_expenditure
control,0,700000,5400.0,0,600
control,0,700001,5400.0,0,600
control,0,700002,5400.0,0,600
control,0,700003,5400.0,0,600
control,1,700000,12732.0,8803.0,2071.0
control,1,700001,13506.0,9600.0,2094.0
control,1,700002,12135.0,8246.0,2111.0
control,1,700003,12411.0,8596.0,2185.0
control,2,700000,19670.0,17377.0,3707.0
control,2,700001,18584.0,16107.0,3523.0
control,2,700002,19576.0,17125.0,3549.0
control,2,700003,17761.0,15578.0,3817.0
control,3,700000,26879.0,26112.0,4833.0
control,3,700001,21836.0,21069.0,4833.0
control,3,700002,25550.0,25074.0,5124.0
control,3,700003,25942.0,25332.0,4990.0
control,4,700000,26859.0,27873.0,6614.0
control,4,700001,32980.0,33675.0,6295.0
control,4,700002,27431.0,28604.0,6773.0
control,4,700003,32981.0,33903.0,6522.0
control,5,700000,31209.0,34016.0,7507.0
control,5,700001,37750.0,40439.0,7389.0
control,5,700002,32783.0,35660.0,7577.0
control,5,700003,33221.0,35745.0,7224.0
control,6,700000,37545.0,42090.0,9245.0
control,6,700001,37228.0,41649.0,9121.0
control,6,700002,31766.0,36311.0,9245.0
control,6,700003,34021.0,38537.0,9216.0
variable,6,700000,48619.0,39768.0,20349.0
variable,6,700001,52438.0,43575.0,20337.0
variable,6,700002,52396.0,43342.0,20146.0
variable,6,700003,50819.0,41352.0,19733.0
variable,7,700000,41676.0,38022.1209,25046.1209
variable,7,700001,39614.0,35832.3053,24918.3053
variable,7,700002,36001.0,32019.7149,24718.7149
variable,7,700003,27126.0,22598.4615,24172.4615
variable,8,700000,55895.0,50779.0,23584.0
variable,8,700001,28173.0,23694.0,24221.0
variable,8,700002,55910.0,51385.0,24175.0
variable,8,700003,53999.0,49098.0,23799.0
variable,9,700000,53549.0,51098.0,25349.0
variable,9,700001,50229.0,48461.0,26032.0
variable,9,700002,52183.0,50247.0,25864.0
variable,9,700003,55810.0,53667.0,25657.0
variable,10,700000,55093.0,57250.1084,29957.1084
variable,10,700001,53206.0,56082.1298,30676.1298
variable,10,700002,49123.0,51345.3106,30022.3106
variable,10,700003,50734.0,53238.2038,30304.2039
variable,11,700000,60043.0,64535.3316,32292.3316
variable,11,700001,58124.0,63033.359,32709.359
variable,11,700002,61539.0,65622.1054,31883.1054
variable,11,700003,42197.0,47123.2174,32726.2174
variable,12,700000,35935.0,48495.6129,40360.6129
variable,12,700001,43715.0,56438.9211,40523.9211
variable,12,700002,42441.0,54871.5697,40230.5697
variable,12,700003,33352.0,46078.1719,40526.1719
variable,13,700000,45454.0,56301.0,38747.0
variable,13,700001,23907.0,34683.0,38676.0
variable,13,700002,21477.0,32001.0,38424.0
variable,13,700003,37020.0,47616.0,38496.0
variable,14,700000,45942.0,60055.09,42013.09
variable,14,700001,20424.0,35103.7363,42579.7363
variable,14,700002,46351.0,60344.1878,41893.1878
variable,14,700003,35341.0,49870.4165,42429.4165
