arm,n_hands,seed,final_money,total_income,total_expenditure
control,0,700000,22341.0,21981.0,2640
control,0,700001,22341.0,21981.0,2640
control,0,700002,22341.0,21981.0,2640
control,0,700003,22341.0,21981.0,2640
control,1,700000,27907.0,31417.0,6510
control,1,700001,27398.0,30588.0,6190
control,1,700002,27398.0,30588.0,6190
control,1,700003,27398.0,30588.0,6190
control,2,700000,27891.0,31191.0,6300
control,2,700001,27891.0,31191.0,6300
control,2,700002,27734.0,31194.0,6460
control,2,700003,27891.0,31191.0,6300
control,3,700000,27648.0,31008.0,6360
control,3,700001,27648.0,31008.0,6360
control,3,700002,27648.0,31008.0,6360
control,3,700003,27648.0,31008.0,6360
control,4,700000,27619.0,30989.0,6370
control,4,700001,27619.0,30989.0,6370
control,4,700002,27619.0,30989.0,6370
control,4,700003,27619.0,30989.0,6370
variable,4,700000,39428.0,29918.0,20490
variable,4,700001,39348.0,29918.0,20570
variable,4,700002,39348.0,29918.0,20570
variable,4,700003,39348.0,29918.0,20570
variable,5,700000,38001.0,29921.0,21920
variable,5,700001,37601.0,29921.0,22320
variable,5,700002,37841.0,29921.0,22080
variable,5,700003,37841.0,29921.0,22080
variable,6,700000,36640.0,29920.0,23280
variable,6,700001,36398.0,29918.0,23520
variable,6,700002,36398.0,29918.0,23520
variable,6,700003,36398.0,29918.0,23520
variable,7,700000,32920.0,29950.0,27030
variable,7,700001,33080.0,29950.0,26870
variable,7,700002,33486.0,29956.0,26470
variable,7,700003,33080.0,29950.0,26870
variable,8,700000,30666.0,30006.0,29340
variable,8,700001,30186.0,30006.0,29820
variable,8,700002,30266.0,30006.0,29740
variable,8,700003,30266.0,30006.0,29740
variable,9,700000,28874.0,30034.0,31160
variable,9,700001,28874.0,30034.0,31160
variable,9,700002,28314.0,30034.0,31720
variable,9,700003,28394.0,30034.0,31640
variable,10,700000,25725.0,30055.0,34330
variable,10,700001,25329.0,30059.0,34730
variable,10,700002,25725.0,30055.0,34330
variable,10,700003,25725.0,30055.0,34330
variable,11,700000,21821.0,30101.0,38280
variable,11,700001,22541.0,30101.0,37560
variable,11,700002,22461.0,30101.0,37640
variable,11,700003,22461.0,30101.0,37640
variable,12,700000,16638.0,30118.0,43480
variable,12,700001,16638.0,30118.0,43480
variable,12,700002,16638.0,30118.0,43480
variable,12,700003,16638.0,30118.0,43480
variable,13,700000,10264.0,30254.0,49990
variable,13,700001,10264.0,30254.0,49990
variable,13,700002,10102.0,30252.0,50150
variable,13,700003,10264.0,30254.0,49990
